trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
2021-07-04,-59,33.97,20.56,0.73,5.71,-2.73,18.54,18.0,0.06,-2.9,LONG
2021-07-05,-59,24.4,21.69,0.64,10.39,-4.77,19.24,18.24,-0.01,-5.2,LONG
2021-07-06,59,25.17,16.03,0.4,7.7,3.88,18.35,19.11,4.15,0.09,LONG
2021-07-07,59,11.62,21.81,0.13,10.73,4.68,20.07,21.08,5.07,-2.18,SHORT
2021-07-08,-37,8.94,18.25,0.83,8.25,-4.02,19.78,18.92,0.36,-4.37,SHORT
2021-07-10,-59,12.52,12.62,0.77,6.74,-3.21,18.65,18.02,1.67,-3.35,LONG
2021-07-12,-59,10.54,9.04,0.75,3.94,-1.92,18.38,18.02,1.17,-1.97,SHORT
2021-07-14,-59,15.63,3.69,0.41,8.04,-4.05,17.51,16.75,1.38,-4.32,LONG
2021-07-14,-59,20.49,1.46,0.43,6.33,-3.18,16.87,16.3,0.28,-3.36,LONG
2021-07-15,-59,20.0,3.05,0.95,8.31,-3.97,16.93,16.21,1.67,-4.26,SHORT
2021-07-18,-17,36.22,0.58,0.84,4.48,2.17,15.34,15.7,2.31,-0.04,SHORT
2021-07-19,-59,35.32,3.81,0.87,6.17,-2.97,15.47,14.91,0.89,-3.6,SHORT
2021-07-20,-59,44.2,0.98,0.24,8.08,-4.13,14.52,13.85,1.55,-4.61,SHORT
2021-07-21,-31,52.68,0.31,0.44,9.76,4.91,13.73,14.49,5.53,-1.99,LONG
2021-07-24,7,29.51,16.43,0.37,7.94,-3.64,16.06,15.44,2.35,-3.9,LONG
2021-07-25,9,22.13,19.65,0.79,5.03,-2.43,16.68,16.25,0.59,-2.54,LONG
2021-07-26,59,20.87,19.95,0.94,5.49,2.66,16.73,17.22,2.93,-0.33,LONG
2021-07-30,59,3.38,30.29,0.71,4.63,2.23,19.36,19.81,2.32,-1.11,LONG
2021-08-02,59,3.39,45.38,0.78,9.53,4.46,22.72,23.84,4.92,-1.42,SHORT
2021-08-02,59,2.67,44.9,0.7,9.52,4.67,22.07,23.19,5.08,-2.71,LONG
2021-08-03,3,0.66,49.58,0.45,11.76,-5.24,23.48,22.14,3.76,-5.71,LONG
2021-08-05,-11,5.2,52.21,0.88,8.92,-4.23,24.2,23.13,0.6,-4.42,LONG
2021-08-07,59,11.64,49.45,0.88,5.57,2.73,23.9,24.6,2.95,-1.06,LONG
2021-08-08,-17,10.36,49.75,0.48,6.53,-3.06,24.71,23.81,0.97,-3.62,SHORT
2021-08-09,59,18.86,42.88,0.3,9.7,4.95,23.03,24.26,5.32,-4.09,SHORT
2021-08-11,59,12.09,39.02,0.8,7.5,3.56,24.56,25.49,3.76,-0.14,LONG
2021-08-12,3,7.45,39.67,0.53,11.68,-5.25,25.92,24.48,3.88,-5.58,LONG
2021-08-13,59,11.84,34.13,0.66,10.93,5.37,24.95,26.39,5.79,-0.77,LONG
2021-08-15,3,4.78,33.66,0.62,5.73,-2.84,27.17,26.37,1.46,-2.94,LONG
2021-08-16,59,2.94,32.96,0.63,7.67,3.6,27.94,29.01,3.83,-0.93,SHORT
2021-08-17,59,4.06,31.2,0.99,10.4,4.94,27.96,29.43,5.26,-2.92,SHORT
2021-08-20,-1,12.35,16.53,0.61,7.97,3.95,25.35,26.45,4.34,-3.26,LONG
2021-08-20,59,5.68,20.81,0.33,10.42,4.64,27.11,28.44,4.9,-1.47,LONG
