trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
2021-07-04,37,41.45,22.5,0.9,5.36,2.62,0.66,0.67,2.93,2.93,SHORT
2021-07-04,57,34.08,23.92,0.59,6.47,3.05,0.67,0.69,3.24,-1.04,LONG
2021-07-05,-13,25.39,24.94,0.48,6.49,-3.04,0.7,0.67,0.09,-3.16,SHORT
2021-07-06,59,29.32,18.76,0.18,7.6,3.9,0.65,0.68,4.12,0.38,SHORT
2021-07-08,-59,20.87,15.57,0.48,3.75,-1.88,0.65,0.64,0.28,-2.44,SHORT
2021-07-09,-59,22.89,10.5,0.31,6.63,-3.36,0.62,0.6,0.06,-3.54,LONG
2021-07-12,43,13.27,9.6,0.59,4.53,2.18,0.64,0.65,2.61,-0.61,SHORT
2021-07-14,-59,14.47,4.12,0.74,5.67,-2.79,0.62,0.6,0.31,-2.99,LONG
2021-07-15,-59,14.03,4.75,0.99,6.54,-3.16,0.62,0.6,1.0,-3.37,SHORT
2021-07-17,-59,20.58,1.21,0.74,5.45,-2.69,0.59,0.57,1.32,-2.83,LONG
2021-07-19,-59,21.93,3.58,0.85,5.4,-2.61,0.59,0.57,0.36,-2.69,SHORT
2021-07-20,-59,27.41,0.18,0.18,6.19,-3.16,0.56,0.54,2.14,-3.45,SHORT
2021-07-21,-31,33.69,2.57,0.48,9.82,4.92,0.53,0.56,5.47,-1.7,LONG
2021-07-25,9,11.29,11.08,0.95,3.43,-1.69,0.61,0.6,0.48,-1.74,LONG
2021-07-26,59,10.75,10.66,0.92,3.52,1.73,0.61,0.62,1.83,-0.26,LONG
2021-07-28,59,2.76,15.37,0.47,6.53,3.06,0.64,0.67,3.27,-2.11,LONG
2021-08-01,59,1.65,33.62,0.76,3.12,1.55,0.75,0.76,1.74,-0.63,SHORT
2021-08-02,59,6.41,31.87,0.71,10.27,5.03,0.72,0.76,5.46,-0.99,SHORT
2021-08-03,-29,6.23,33.41,0.76,8.15,-3.84,0.74,0.71,0.83,-4.36,LONG
2021-08-05,47,11.02,30.97,0.45,6.01,3.02,0.71,0.74,3.15,-2.3,SHORT
2021-08-05,-41,9.72,32.2,0.61,6.35,-3.0,0.73,0.71,0.37,-3.1,LONG
2021-08-07,59,10.63,31.63,0.95,5.3,2.58,0.73,0.75,2.66,-1.34,SHORT
2021-08-07,59,9.79,31.93,0.55,4.27,2.05,0.75,0.76,2.19,-0.78,LONG
2021-08-09,31,3.03,37.46,0.12,10.54,-4.6,0.82,0.78,2.94,-4.9,LONG
2021-08-09,59,8.88,32.54,0.47,8.65,4.34,0.78,0.82,4.57,-2.36,LONG
2021-08-10,59,4.56,32.89,0.45,8.85,4.05,0.82,0.85,4.23,-2.08,SHORT
2021-08-11,59,2.12,34.06,0.46,7.7,3.57,0.85,0.88,3.86,-0.19,LONG
2021-08-13,59,0.36,43.49,0.64,12.33,6.06,0.97,1.03,7.03,-1.5,LONG
2021-08-14,59,6.09,51.1,0.16,15.25,6.33,1.09,1.18,7.84,-1.63,LONG
2021-08-16,17,5.38,62.99,0.96,9.68,-4.6,1.28,1.21,3.29,-5.62,SHORT
2021-08-19,17,16.98,54.7,0.38,11.86,6.02,1.1,1.17,6.44,-4.26,SHORT
2021-08-20,59,14.87,55.62,0.69,13.37,6.03,1.14,1.22,6.76,-4.52,LONG
2021-08-22,31,10.45,58.41,0.68,7.26,-3.43,1.26,1.22,1.49,-3.73,LONG
2021-08-23,59,17.48,52.8,0.88,6.74,3.23,1.23,1.27,3.64,-0.4,SHORT
2021-08-24,-43,16.82,50.5,0.82,8.81,-4.16,1.25,1.19,1.4,-4.48,SHORT
2021-08-26,-53,23.2,39.51,0.45,6.3,-2.96,1.17,1.14,1.06,-3.07,SHORT
2021-08-27,-13,33.24,29.02,0.18,10.61,5.49,1.07,1.14,5.88,-1.88,LONG
2021-08-30,-59,19.94,18.84,0.91,5.0,-2.45,1.14,1.11,0.28,-2.54,SHORT
2021-08-31,-31,21.27,10.37,0.26,4.89,2.47,1.1,1.13,2.58,-0.83,LONG
2021-09-02,59,6.19,14.89,0.39,6.83,3.17,1.24,1.28,3.41,-1.09,SHORT
2021-09-04,59,5.07,15.09,0.77,6.07,2.91,1.25,1.29,3.23,-2.58,SHORT
2021-09-06,59,4.72,15.09,0.42,4.84,2.43,1.26,1.29,2.82,-1.4,LONG
2021-09-06,59,1.74,18.9,0.31,6.13,2.86,1.31,1.35,2.97,0.19,LONG
2021-09-07,31,1.93,23.86,0.26,8.4,-3.8,1.39,1.33,0.2,-4.23,SHORT
2021-09-10,-17,25.16,5.44,0.82,6.24,3.06,1.09,1.13,3.53,-0.01,SHORT
2021-09-12,11,26.16,7.63,0.62,5.94,2.82,1.08,1.11,2.94,-1.93,LONG
2021-09-13,-59,21.01,11.4,0.44,6.56,-3.07,1.12,1.08,0.68,-3.48,SHORT
2021-09-16,29,23.63,11.01,0.25,3.94,1.88,1.1,1.12,2.01,-1.47,LONG
2021-09-16,-27,20.74,12.44,0.52,4.8,-2.29,1.12,1.09,0.73,-2.39,SHORT
