score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
51,33.39,14.92,0.96,5.09,2.49,286.84,298.11,3.93,3.93,SHORT
59,25.77,17.82,0.46,7.26,3.38,298.1,308.55,3.51,-1.79,SHORT
-17,18.78,19.27,0.58,7.51,-3.51,307.59,295.78,-0.35,-3.84,LONG
59,17.56,16.49,0.64,5.04,2.5,302.0,309.76,2.57,-0.05,LONG
59,9.56,20.37,0.15,6.86,3.14,319.5,331.57,3.78,-0.27,SHORT
31,5.17,21.33,0.63,6.7,-3.16,327.43,316.6,0.12,-3.31,SHORT
59,4.9,16.58,0.93,3.38,1.66,316.1,322.47,2.02,-1.29,SHORT
59,3.55,16.98,0.61,4.66,2.24,321.81,329.38,2.35,-0.51,SHORT
-59,7.43,10.84,0.48,4.09,-2.04,308.82,302.24,0.1,-2.13,LONG
59,7.31,10.96,0.98,7.53,3.62,309.23,321.31,3.91,-2.54,SHORT
-59,5.11,11.72,0.71,7.4,-3.49,315.78,304.3,2.25,-3.64,SHORT
-3,9.85,5.28,0.79,4.2,2.07,300.11,307.0,2.3,-0.2,SHORT
-59,9.01,5.17,0.84,3.52,-1.72,301.78,296.45,0.48,-1.77,SHORT
-59,18.13,0.64,0.16,8.44,-4.35,280.25,266.59,0.95,-4.87,SHORT
-31,27.02,3.56,0.46,10.59,5.32,264.19,279.36,5.74,-1.2,LONG
43,14.31,6.01,0.99,3.82,1.88,293.01,298.98,2.04,-0.45,LONG
-21,11.02,8.71,0.83,4.18,-2.03,301.46,294.22,0.75,-2.4,LONG
59,10.76,8.92,0.94,3.89,1.9,302.17,308.22,2.0,-0.1,SHORT
59,9.64,9.4,0.94,9.41,4.47,303.79,318.13,4.72,-1.94,SHORT
59,4.41,12.9,0.72,3.98,1.93,317.12,324.06,2.19,-0.62,SHORT
59,2.92,14.58,0.72,6.31,3.0,322.81,332.9,3.13,-1.53,SHORT
59,0.61,17.44,0.55,6.65,3.13,332.5,343.28,3.24,-0.46,SHORT
-17,3.03,17.61,0.83,3.57,-1.76,330.56,323.84,1.23,-2.03,SHORT
59,5.76,15.83,0.6,5.33,2.65,323.46,332.4,2.76,-1.09,LONG
-23,3.04,19.01,0.35,5.42,-2.55,334.87,326.01,0.48,-2.65,LONG
59,3.24,19.91,0.81,4.99,2.41,338.08,346.87,2.6,-1.97,SHORT
59,3.25,20.94,0.75,4.88,2.36,342.27,350.94,2.53,-0.52,LONG
31,1.13,24.43,0.29,5.75,-2.69,356.25,346.28,0.97,-2.8,SHORT
59,5.8,19.95,0.38,6.45,3.25,342.0,353.58,3.39,-2.49,LONG
59,1.97,20.1,0.49,7.15,3.34,354.46,366.78,3.48,-1.46,LONG
59,0.88,23.71,0.39,8.08,3.71,372.03,386.96,4.01,-0.1,LONG
59,0.41,26.49,0.85,8.99,4.36,385.82,403.49,4.58,-0.67,LONG
3,0.29,30.88,0.88,4.75,-2.33,408.9,397.66,0.66,-2.75,LONG
59,1.15,31.32,0.71,4.64,2.24,414.4,424.03,2.32,-0.69,SHORT
59,2.79,31.09,0.95,6.41,3.1,415.84,429.46,3.28,-1.5,SHORT
59,9.47,25.08,0.79,6.85,3.36,396.31,410.2,3.5,-1.27,LONG
59,2.49,30.62,0.15,10.42,4.57,431.51,452.65,4.9,-2.13,LONG
59,3.4,32.99,0.62,3.49,1.74,449.26,457.35,1.8,-0.33,SHORT
59,5.01,31.94,1.0,4.65,2.27,449.21,460.12,2.43,-0.36,LONG
31,2.19,38.55,0.21,14.14,-5.98,499.19,466.73,1.04,-6.5,LONG
59,5.02,33.76,0.39,8.86,4.47,472.22,494.52,4.72,0.18,LONG
17,1.05,37.14,0.17,7.99,-3.61,503.49,483.64,3.19,-3.94,SHORT
59,7.61,29.4,0.43,2.98,1.49,486.61,494.34,1.59,-0.13,SHORT
-43,9.16,25.89,0.68,4.17,-2.07,480.04,469.51,0.19,-2.19,SHORT
-15,13.52,20.46,0.19,5.09,2.59,460.28,472.68,2.69,-1.69,SHORT
35,12.48,19.6,0.84,5.65,2.72,464.48,477.53,2.81,-1.78,LONG
59,7.88,19.35,0.79,4.56,2.21,488.82,500.67,2.42,-0.55,SHORT
17,5.28,19.6,0.59,3.54,-1.72,505.7,495.51,0.92,-2.02,LONG
-55,6.69,15.6,0.6,4.66,-2.32,496.3,480.93,1.9,-3.1,SHORT
