trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,current_btc_rate,result
2021-07-04,59,13.33,18.76,0.89,6.29,3.03,1.4,1.45,3.16,-1.6,2.23,LONG
2021-07-05,3,7.3,21.15,0.5,8.18,-3.78,1.46,1.4,-0.49,-4.44,-4.89,LONG
2021-07-06,59,9.8,17.0,0.32,5.91,2.98,1.4,1.45,3.08,0.26,2.57,SHORT
2021-07-08,-43,8.04,16.35,0.73,3.0,-1.49,1.4,1.38,0.14,-1.53,-2.02,SHORT
2021-07-09,-17,13.69,11.63,0.12,6.21,3.18,1.33,1.37,3.45,-3.01,2.19,SHORT
2021-07-12,5,11.99,12.21,0.71,3.64,1.81,1.34,1.36,1.86,-0.98,2.97,SHORT
2021-07-12,31,10.25,10.94,0.73,3.31,1.61,1.35,1.37,1.76,-0.4,0.36,SHORT
2021-07-13,-59,11.68,5.71,0.56,6.12,-3.05,1.31,1.27,0.63,-3.18,-2.2,SHORT
2021-07-14,-59,15.7,1.94,0.35,5.57,-2.81,1.26,1.23,0.28,-2.99,-1.18,LONG
2021-07-15,-59,15.97,2.75,0.98,7.27,-3.51,1.26,1.21,1.86,-3.81,-2.91,LONG
2021-07-16,-59,19.82,0.26,0.56,6.73,-3.35,1.23,1.18,1.48,-3.57,-1.51,SHORT
2021-07-18,-17,27.39,0.18,0.97,3.91,1.92,1.17,1.19,1.96,-0.07,1.12,SHORT
2021-07-19,-59,26.95,2.41,0.82,4.42,-2.15,1.18,1.15,0.78,-2.23,-1.69,SHORT
2021-07-20,-59,34.41,0.22,0.23,6.51,-3.32,1.12,1.08,1.11,-3.86,-1.87,SHORT
2021-07-21,-31,44.26,1.95,0.41,10.3,5.2,1.05,1.12,5.95,-1.53,2.93,LONG
2021-07-24,-5,27.06,11.39,0.76,5.09,-2.45,1.19,1.15,1.78,-2.6,-0.32,LONG
2021-07-25,53,23.4,13.35,0.64,5.28,2.53,1.21,1.24,2.64,-0.84,2.29,SHORT
2021-07-25,5,18.43,14.48,0.53,4.41,-2.11,1.23,1.21,0.42,-2.22,-0.61,LONG
2021-07-26,59,17.27,13.88,0.9,3.94,1.94,1.23,1.25,2.03,-0.36,1.34,LONG
2021-07-30,59,7.01,15.76,0.95,3.43,1.69,1.28,1.31,1.75,-0.48,-0.07,LONG
2021-08-01,59,3.45,17.51,0.81,3.53,1.72,1.32,1.34,1.85,-0.58,0.45,SHORT
2021-08-03,-41,4.76,17.01,0.9,4.41,-2.17,1.31,1.28,1.08,-2.32,-1.94,LONG
2021-08-05,3,2.36,22.01,0.91,5.26,-2.55,1.38,1.34,0.76,-2.78,-5.93,LONG
2021-08-07,59,2.99,22.42,0.83,4.45,2.16,1.39,1.42,2.37,-1.7,5.42,SHORT
2021-08-07,59,3.22,23.03,0.76,4.66,2.25,1.4,1.44,2.56,-0.46,0.95,LONG
2021-08-09,31,0.46,26.97,0.23,6.56,-3.03,1.47,1.43,1.49,-3.15,-2.33,SHORT
2021-08-09,59,4.58,23.22,0.47,6.07,3.04,1.43,1.47,3.17,-2.26,4.48,LONG
2021-08-10,59,1.25,23.1,0.54,7.55,3.52,1.48,1.53,3.88,-1.15,-0.81,LONG
2021-08-11,59,6.47,33.95,0.17,16.65,6.82,1.68,1.81,7.67,-0.43,1.33,SHORT
2021-08-13,59,4.43,42.74,0.8,10.73,4.99,1.83,1.93,5.28,-0.45,2.17,LONG
2021-08-15,31,5.89,57.55,0.71,7.94,-3.74,2.19,2.1,2.84,-3.89,-1.81,LONG
2021-08-17,3,0.01,57.91,0.91,10.36,-4.97,2.17,2.05,1.27,-5.38,-2.77,LONG
2021-08-18,-17,8.0,55.49,0.37,7.07,-3.57,2.07,1.99,3.33,-3.88,-1.41,SHORT
2021-08-18,11,18.05,50.51,0.38,11.48,5.82,1.93,2.05,6.5,-2.09,1.49,LONG
2021-08-20,59,10.65,53.56,0.39,15.5,6.62,2.11,2.26,7.15,-2.7,2.41,LONG
2021-08-22,59,8.17,58.51,0.87,6.3,3.08,2.44,2.52,3.2,-0.06,0.56,LONG
2021-08-23,59,1.9,61.99,0.07,11.86,5.07,2.71,2.86,5.49,-0.48,1.77,LONG
2021-08-24,31,0.24,64.73,0.28,10.85,-4.79,2.92,2.77,0.97,-5.28,-1.92,SHORT
2021-08-26,-17,11.6,57.88,0.9,7.19,-3.45,2.74,2.64,1.71,-3.69,-1.56,SHORT
2021-08-27,31,21.35,50.49,0.34,11.64,5.93,2.53,2.69,6.38,-1.27,1.29,LONG
2021-08-29,-23,11.43,49.51,0.44,6.08,-3.05,2.85,2.75,0.59,-3.47,-1.64,LONG
2021-08-31,45,16.24,38.67,0.29,5.81,2.94,2.74,2.82,3.04,-1.15,1.57,SHORT
2021-09-02,59,14.84,35.92,0.81,6.62,3.17,2.77,2.86,3.27,-1.61,1.92,LONG
2021-09-02,59,10.82,34.75,0.44,6.77,3.16,2.87,2.99,3.97,-1.19,2.06,SHORT
2021-09-05,3,9.93,34.04,0.97,4.54,-2.22,2.97,2.89,0.11,-2.61,-0.36,SHORT
2021-09-05,45,15.25,28.84,0.22,5.7,2.9,2.84,2.92,3.02,-0.11,0.54,SHORT
2021-09-06,-41,11.84,27.6,0.42,4.81,-2.29,2.91,2.84,0.56,-2.41,-0.63,SHORT
2021-09-07,-59,12.27,19.66,0.4,4.53,-2.27,2.84,2.65,1.48,-6.44,-0.34,SHORT
2021-09-10,-59,23.23,4.43,0.79,9.44,-4.42,2.52,2.4,2.66,-4.68,-1.64,SHORT
2021-09-11,11,30.57,0.41,0.57,12.48,6.19,2.38,2.55,6.89,-0.53,1.63,LONG
2021-09-13,-59,19.81,8.13,0.81,10.98,-5.31,2.58,2.43,0.42,-5.78,-2.29,SHORT
2021-09-15,-17,29.86,4.74,0.98,4.97,2.43,2.4,2.46,2.74,-1.43,0.97,LONG
2021-09-17,-59,24.31,8.98,0.52,9.39,-4.3,2.51,2.39,0.22,-4.53,-1.73,LONG
2021-09-17,-59,27.69,6.81,0.37,5.53,-2.79,2.42,2.35,0.91,-2.97,-1.01,LONG
2021-09-18,-3,30.82,5.85,0.5,5.42,2.71,2.35,2.42,2.84,-1.6,2.72,SHORT
2021-09-20,-59,28.94,7.86,0.85,5.59,-2.7,2.37,2.31,1.06,-2.83,-2.07,SHORT
2021-09-20,-59,33.9,6.22,0.36,5.86,-2.95,2.28,2.2,0.44,-3.51,-1.89,SHORT
2021-09-22,-59,47.62,0.98,0.38,14.26,-7.26,2.08,1.91,6.84,-7.94,-7.82,LONG
2021-09-22,-17,54.4,0.55,0.71,15.35,7.44,1.99,2.15,8.1,-0.9,4.64,LONG
2021-09-24,-5,25.57,14.6,0.58,7.38,-3.45,2.33,2.24,0.72,-3.69,-2.7,LONG
2021-09-26,59,25.65,12.69,0.83,12.15,5.84,2.28,2.42,6.23,-1.75,-0.92,SHORT
2021-09-26,-59,20.46,12.06,0.91,9.83,-4.64,2.3,2.18,-0.04,-5.26,-2.52,LONG
2021-09-29,-59,25.59,5.24,0.48,6.83,-3.42,2.13,2.05,2.05,-3.56,-2.19,SHORT
2021-09-29,-31,31.27,3.09,0.36,6.8,3.43,2.04,2.11,3.69,-0.57,2.98,SHORT
2021-09-30,-3,28.56,5.82,0.76,6.11,2.92,2.06,2.13,3.01,-0.68,5.29,SHORT
2021-10-01,17,25.18,9.02,0.41,4.17,1.99,2.12,2.16,2.06,-0.96,2.34,LONG
2021-10-04,-3,11.82,12.76,0.95,4.05,-1.98,2.25,2.21,0.02,-2.05,-1.12,SHORT
2021-10-05,59,14.05,10.39,0.42,4.64,2.33,2.19,2.25,2.49,-0.43,2.0,SHORT
2021-10-06,-31,9.79,11.25,0.49,3.83,-1.84,2.24,2.19,0.01,-1.89,-0.1,LONG
2021-10-07,59,9.6,9.89,0.84,6.38,3.12,2.21,2.29,3.45,-2.61,-1.33,SHORT
2021-10-09,59,6.84,10.42,0.59,4.53,2.26,2.24,2.29,2.34,-0.75,2.48,SHORT
2021-10-10,-41,5.24,11.68,0.61,3.69,-1.78,2.27,2.23,-0.11,-1.85,-0.72,SHORT
2021-10-12,-59,9.1,7.73,0.34,5.5,-2.78,2.19,2.11,2.85,-3.66,3.87,LONG
2021-10-12,-59,9.04,5.18,0.89,7.7,-3.73,2.17,2.08,0.06,-4.04,-1.8,LONG
2021-10-14,-17,11.54,3.39,0.5,4.72,2.36,2.12,2.17,2.53,-1.72,1.65,LONG
2021-10-15,57,7.47,5.72,0.76,3.2,1.59,2.17,2.21,1.84,-1.52,3.73,LONG
2021-10-18,-59,6.58,5.84,0.53,3.75,-1.87,2.18,2.13,0.44,-2.16,-1.85,LONG
2021-10-20,-17,9.04,0.95,0.72,3.07,1.52,2.11,2.15,1.58,-0.83,-0.67,LONG
2021-10-21,59,4.89,4.07,0.31,5.51,2.58,2.19,2.26,3.06,-0.38,-0.66,SHORT
2021-10-24,-59,5.07,3.44,0.76,2.02,-1.0,2.17,2.15,0.04,-1.04,-0.69,SHORT
2021-10-25,51,7.46,1.66,0.41,3.71,1.86,2.12,2.16,1.93,-0.17,3.04,SHORT
2021-10-26,59,5.93,2.91,0.62,3.05,1.49,2.15,2.18,1.54,-0.12,-0.38,SHORT
2021-10-27,-59,6.07,2.81,0.93,3.98,-1.96,2.14,2.07,0.86,-3.24,-0.71,SHORT
2021-10-30,-45,13.16,1.89,0.57,3.46,-1.67,2.02,1.98,0.01,-1.72,-1.56,SHORT
2021-10-31,11,16.86,0.29,0.37,4.74,2.38,1.96,2.01,2.59,-0.62,-0.06,SHORT
2021-11-03,35,15.93,3.97,0.63,3.2,1.55,1.97,2.01,1.9,-1.03,-0.45,LONG
2021-11-05,-59,10.29,8.35,0.53,9.9,-4.52,2.07,1.96,1.76,-5.0,-3.03,LONG
2021-11-06,45,13.31,5.2,0.99,2.96,1.46,1.98,2.01,1.53,-0.43,0.24,SHORT
2021-11-08,59,10.07,7.35,0.72,3.02,1.47,2.02,2.05,1.55,-0.6,3.3,LONG
2021-11-09,59,4.73,11.95,0.21,6.54,3.02,2.13,2.19,3.15,-0.91,0.83,LONG
2021-11-11,17,1.02,18.05,0.47,12.74,-5.63,2.27,2.13,2.59,-6.27,-0.87,SHORT
2021-11-12,-57,7.41,10.35,0.82,4.57,-2.25,2.08,2.03,0.96,-2.31,-1.19,LONG
2021-11-15,-59,7.8,8.96,0.93,2.83,-1.39,2.05,2.02,0.96,-1.46,-0.68,LONG
2021-11-15,29,7.7,8.4,0.83,2.98,1.47,2.04,2.07,1.53,0.12,0.6,SHORT
2021-11-16,-59,8.14,7.37,0.75,4.12,-2.04,2.02,1.96,-0.29,-2.87,-1.68,SHORT
2021-11-18,-59,17.07,1.7,0.98,5.24,-2.55,1.88,1.83,1.58,-2.62,-1.83,SHORT
2021-11-20,-3,23.86,0.94,0.57,10.98,5.45,1.79,1.89,5.81,-1.76,2.37,SHORT
2021-11-20,23,19.06,3.91,0.45,7.76,3.59,1.86,1.93,3.74,-0.11,1.02,SHORT
2021-11-21,-17,15.43,7.11,0.38,5.1,-2.41,1.92,1.87,-0.08,-2.55,-1.38,SHORT
2021-11-22,-59,21.14,3.7,0.05,4.71,-2.41,1.84,1.79,-0.05,-2.68,-1.65,SHORT
2021-11-24,-59,27.7,2.68,0.68,4.55,-2.26,1.75,1.71,0.08,-2.31,-1.33,SHORT
2021-11-26,-59,34.94,3.61,0.91,7.73,-3.7,1.68,1.61,0.55,-3.99,-3.34,SHORT
2021-11-28,-59,48.48,3.4,0.79,3.5,-1.71,1.54,1.52,-0.05,-1.81,-0.7,LONG
2021-11-30,-59,37.66,8.98,0.89,4.87,-2.36,1.6,1.56,1.58,-2.47,-2.71,SHORT
2021-12-01,23,39.98,7.8,0.44,5.29,2.65,1.55,1.6,2.92,-0.75,0.37,SHORT
2021-12-02,29,38.48,8.66,0.92,5.91,2.88,1.55,1.59,3.04,-1.8,-1.4,LONG
2021-12-04,-41,22.27,17.54,0.28,15.64,-6.57,1.72,1.6,0.37,-7.12,-1.76,SHORT
2021-12-04,-59,32.56,9.3,0.28,13.3,-6.85,1.56,1.43,0.1,-7.87,-5.83,SHORT
2021-12-06,-59,44.57,1.64,0.73,10.76,-5.25,1.38,1.3,-0.21,-5.65,-2.67,LONG
2021-12-09,-59,38.95,8.79,0.79,6.22,-2.98,1.4,1.35,0.84,-3.12,-2.99,SHORT
2021-12-11,-31,55.37,0.34,0.39,9.89,5.0,1.21,1.27,5.32,-1.49,2.82,LONG
2021-12-13,-59,33.59,11.13,0.92,7.05,-3.42,1.35,1.3,0.74,-3.58,-2.62,SHORT
