trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,current_btc_rate,result
2021-07-04,55,20.49,11.23,0.79,3.81,2.46,33760.94,34590.32,2.46,2.46,2.46,LONG
2021-07-04,59,15.95,13.33,0.46,4.89,2.68,34653.32,35581.43,2.68,-0.77,2.68,SHORT
2021-07-05,-17,11.24,13.7,0.61,4.66,-2.49,35280.17,34401.21,-0.56,-2.49,-2.49,SHORT
2021-07-06,59,13.37,8.31,0.29,6.38,3.36,33672.72,34804.1,3.36,0.01,3.36,SHORT
2021-07-07,59,9.61,8.96,0.67,4.81,2.44,34206.0,35039.03,2.44,-0.7,2.44,SHORT
2021-07-08,-59,8.59,7.05,0.73,3.9,-2.02,33845.63,33162.91,0.12,-2.02,-2.02,SHORT
2021-07-10,-1,11.19,4.48,0.46,5.45,2.87,32855.0,33799.38,2.87,-1.72,2.87,LONG
2021-07-12,53,7.8,6.18,0.75,3.66,1.89,33497.98,34130.85,1.89,-0.56,1.89,LONG
2021-07-12,-59,5.14,7.2,0.43,3.95,-1.94,34253.88,33588.17,0.96,-1.94,-1.94,SHORT
2021-07-14,-59,10.07,2.88,0.69,3.47,-2.68,32708.66,31831.16,0.19,-2.68,-2.68,LONG
2021-07-15,-59,9.53,3.5,0.94,4.95,-2.51,32803.0,31978.58,1.0,-2.51,-2.51,SHORT
2021-07-18,-3,14.35,0.97,0.86,2.53,1.3,31496.65,31904.99,1.3,-0.12,1.3,SHORT
2021-07-19,-59,13.26,2.54,0.8,4.32,-3.23,31765.23,30740.01,0.29,-3.23,-3.23,LONG
2021-07-20,-59,15.86,0.35,0.39,4.82,-3.3,30823.62,29807.91,0.48,-3.3,-3.3,SHORT
2021-07-21,-31,20.0,1.32,0.42,5.86,3.1,29775.89,30699.01,3.1,-0.91,3.1,LONG
2021-07-23,59,10.27,6.93,0.83,2.75,1.37,32268.12,32711.23,1.37,-0.25,1.37,LONG
2021-07-26,59,0.44,15.03,0.28,4.64,2.25,35370.67,36167.28,2.25,-0.34,2.25,LONG
2021-07-30,3,0.12,30.49,0.99,3.65,-2.5,40012.89,39012.38,0.53,-2.5,-2.5,LONG
2021-08-01,59,2.49,35.14,0.48,3.47,2.24,41448.1,42376.89,2.24,-0.77,2.24,SHORT
2021-08-03,-43,11.25,30.69,0.61,4.5,-2.46,39147.47,38184.27,1.52,-2.46,-2.46,LONG
2021-08-05,7,14.72,28.28,0.57,5.56,2.87,38201.33,39297.28,2.87,-1.64,2.87,LONG
2021-08-05,-47,11.29,30.04,0.38,6.48,-3.14,39731.31,38482.72,0.3,-3.14,-3.14,LONG
2021-08-07,59,9.25,30.78,0.72,10.22,4.99,40882.39,42924.23,4.99,-2.33,4.99,SHORT
2021-08-09,31,3.7,34.69,0.25,5.51,-2.71,44601.11,43394.09,1.49,-2.71,-2.71,LONG
2021-08-09,59,6.58,31.47,0.61,4.67,2.4,43787.71,44836.79,2.4,-2.17,2.4,LONG
2021-08-12,59,4.46,29.71,0.69,4.6,2.47,45589.99,46717.07,2.47,-0.48,2.47,SHORT
