trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,current_btc_rate,result
2021-07-04,23,37.85,24.87,0.85,3.46,1.69,0.25,0.25,1.79,-1.12,2.21,SHORT
2021-07-05,-57,33.63,24.03,0.99,4.08,-2.0,0.25,0.24,-0.15,-2.27,-3.01,SHORT
2021-07-06,-15,38.31,18.54,0.27,8.63,4.4,0.23,0.24,4.79,0.28,3.14,SHORT
2021-07-08,-59,34.84,15.08,0.43,7.79,-3.92,0.22,0.21,0.32,-4.43,-2.02,SHORT
2021-07-09,-31,42.72,9.24,0.28,10.5,5.37,0.21,0.22,5.7,-5.38,-0.22,LONG
2021-07-12,-59,28.37,9.06,0.74,4.09,-1.99,0.22,0.21,1.32,-2.07,-2.28,SHORT
2021-07-13,-59,32.22,3.3,0.46,7.05,-3.54,0.21,0.2,0.17,-3.86,-1.94,LONG
2021-07-14,-59,38.31,2.27,0.32,5.53,-2.79,0.2,0.19,0.12,-3.55,-0.99,LONG
2021-07-15,-59,38.93,3.42,0.87,8.65,-4.19,0.2,0.19,1.64,-4.46,-3.47,SHORT
2021-07-16,-59,49.4,1.1,0.4,10.37,-5.24,0.19,0.17,1.52,-5.64,-2.47,SHORT
2021-07-18,-31,62.43,0.96,0.23,9.33,4.79,0.17,0.18,5.53,-1.7,0.8,LONG
2021-07-19,-59,49.65,8.54,0.63,8.52,-4.21,0.18,0.17,1.23,-4.45,-1.99,LONG
2021-07-20,-59,53.44,6.57,0.44,7.71,-3.87,0.17,0.17,0.93,-4.79,-3.3,LONG
2021-07-21,17,53.88,7.28,0.84,11.88,5.71,0.17,0.18,6.26,-1.23,2.63,LONG
2021-07-23,53,31.91,17.77,0.93,5.39,2.62,0.19,0.2,2.93,-0.82,1.11,SHORT
2021-07-25,59,25.98,18.57,0.78,8.89,4.18,0.19,0.2,4.51,-1.85,2.17,SHORT
2021-07-26,59,17.85,17.71,0.9,5.04,2.45,0.2,0.2,2.96,-0.46,3.62,SHORT
2021-07-28,59,8.99,18.84,0.86,7.12,3.4,0.21,0.21,3.58,-1.72,0.79,SHORT
2021-07-30,59,8.03,17.96,0.89,3.1,1.53,0.2,0.21,1.71,-0.41,-0.02,LONG
2021-08-01,59,5.4,18.45,0.89,4.73,2.32,0.21,0.21,2.39,-0.62,0.6,SHORT
2021-08-03,-49,7.59,16.64,0.91,4.1,-2.01,0.2,0.2,0.85,-2.5,-2.25,SHORT
2021-08-05,-3,11.41,13.66,0.42,5.95,2.99,0.2,0.2,3.15,-0.96,3.43,SHORT
2021-08-05,-55,8.8,15.46,0.42,4.68,-2.23,0.2,0.2,0.45,-2.37,-3.69,LONG
2021-08-07,59,8.62,13.32,0.94,4.06,2.0,0.2,0.21,2.1,-1.19,2.36,SHORT
2021-08-07,59,6.93,14.49,0.72,6.83,3.24,0.2,0.21,3.6,-0.53,0.92,LONG
2021-08-10,59,0.54,30.09,0.56,19.03,9.41,0.24,0.27,10.86,-3.73,5.95,SHORT
2021-08-11,59,0.41,34.85,0.92,7.23,3.47,0.26,0.27,4.24,-0.33,0.15,SHORT
2021-08-12,59,0.11,36.89,0.75,10.49,4.86,0.26,0.28,5.12,-0.26,0.65,SHORT
2021-08-15,59,0.01,44.66,0.68,8.19,3.84,0.29,0.31,4.02,-1.72,0.27,LONG
2021-08-18,-11,3.05,52.15,0.51,12.4,-6.19,0.32,0.3,6.22,-6.61,-2.86,LONG
2021-08-19,59,12.23,48.02,0.57,14.63,7.24,0.3,0.32,8.16,-6.2,2.46,SHORT
2021-08-20,59,10.12,48.98,0.43,8.53,3.91,0.32,0.33,4.6,-1.18,3.38,SHORT
2021-08-21,5,9.49,49.27,0.54,6.38,-3.0,0.33,0.31,0.63,-3.97,-1.97,LONG
2021-08-22,-35,14.52,45.46,0.35,4.94,-2.49,0.32,0.31,1.5,-2.65,-0.73,LONG
2021-08-23,59,16.12,42.4,0.88,5.36,2.63,0.31,0.32,2.72,-0.54,1.97,SHORT
2021-08-24,-43,15.09,39.34,0.79,4.97,-2.4,0.32,0.31,0.55,-2.51,-0.66,SHORT
2021-08-26,-59,21.81,24.71,0.77,6.03,-2.89,0.29,0.28,1.15,-3.07,-1.57,SHORT
2021-08-27,-17,29.82,12.41,0.25,11.08,5.7,0.27,0.28,6.07,-1.07,2.29,LONG
2021-08-29,-59,20.43,13.84,0.5,5.67,-2.83,0.29,0.28,1.96,-3.0,-1.37,LONG
2021-08-30,17,21.92,10.77,0.68,5.39,2.67,0.28,0.29,3.01,-0.97,-0.47,SHORT
2021-09-01,23,25.48,6.71,0.56,7.49,3.73,0.27,0.28,4.48,-0.82,1.09,SHORT
2021-09-02,35,22.21,7.94,0.61,6.04,2.87,0.28,0.29,3.16,-1.77,2.87,LONG
2021-09-02,59,14.94,11.44,0.27,7.99,3.64,0.29,0.31,4.17,-0.9,-0.07,SHORT
