trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,current_btc_rate,result
2021-07-04,59,22.06,21.71,0.67,6.82,3.23,2152.64,2225.73,3.4,2.88,2.86,LONG
2021-07-04,59,16.09,23.68,0.42,5.9,2.77,2226.71,2300.0,3.29,-1.6,1.75,LONG
2021-07-05,17,9.03,25.62,0.53,9.07,-4.17,2322.13,2216.41,0.04,-4.55,-4.77,SHORT
2021-07-06,59,12.32,19.92,0.25,7.29,3.71,2195.38,2282.59,3.97,0.19,2.15,LONG
2021-07-07,59,5.84,24.11,0.2,7.23,3.3,2321.82,2404.33,3.55,-1.08,1.95,SHORT
2021-07-08,-17,5.68,23.64,0.94,5.04,-2.47,2314.64,2253.26,0.37,-2.65,-2.08,SHORT
2021-07-11,-59,13.34,17.74,0.77,6.82,-3.25,2147.4,2074.48,2.06,-3.4,-1.69,LONG
2021-07-12,7,14.66,16.32,0.7,5.68,2.81,2111.14,2172.63,2.91,-1.45,3.22,SHORT
2021-07-13,-59,13.01,16.17,0.69,4.5,-2.17,2140.26,2090.47,1.26,-2.33,-2.62,SHORT
2021-07-14,-59,18.67,10.47,0.34,7.69,-3.89,2030.78,1940.1,0.45,-4.47,-1.94,LONG
2021-07-14,-59,24.29,6.52,0.32,6.55,-3.31,1940.31,1870.19,0.18,-3.61,-2.68,LONG
2021-07-15,-59,20.94,8.99,0.66,8.05,-3.77,1993.82,1912.32,2.25,-4.09,-2.76,LONG
2021-07-18,11,26.22,3.23,0.71,4.16,2.01,1898.55,1941.3,2.25,-0.01,1.0,SHORT
2021-07-19,-59,27.15,4.27,0.93,6.28,-3.06,1890.8,1830.89,1.23,-3.17,-2.11,SHORT
2021-07-20,-59,32.65,2.8,0.38,6.18,-3.11,1818.4,1758.46,1.05,-3.3,-1.72,LONG
2021-07-21,-3,34.57,3.2,0.74,6.95,3.42,1785.2,1849.0,3.57,-1.59,2.63,LONG
2021-07-23,59,18.02,15.12,0.72,5.06,2.43,2024.0,2074.91,2.52,-0.46,1.32,LONG
2021-07-25,59,11.82,18.99,0.27,6.77,3.12,2124.34,2193.63,3.26,-0.83,2.37,SHORT
2021-07-25,31,7.6,20.63,0.36,4.36,-2.08,2183.54,2136.85,0.41,-2.14,-0.04,LONG
2021-07-26,59,7.32,20.78,0.95,4.16,2.03,2188.15,2235.15,2.15,-0.6,1.13,SHORT
2021-07-31,59,0.7,28.08,0.42,6.22,2.92,2382.45,2454.7,3.03,-2.6,3.57,LONG
2021-08-01,59,0.03,34.57,0.48,5.36,2.54,2530.37,2597.68,2.66,-0.6,1.93,SHORT
2021-08-03,59,1.85,35.91,0.87,7.39,3.53,2554.72,2651.37,3.78,-1.63,-0.17,SHORT
2021-08-03,3,2.56,37.4,0.67,6.29,-2.99,2607.09,2525.41,0.93,-3.13,-1.49,SHORT
2021-08-04,59,8.38,34.55,0.48,7.37,3.69,2506.5,2606.46,3.99,-1.77,1.94,LONG
2021-08-05,-17,2.55,39.7,0.31,12.7,-5.52,2725.0,2558.36,0.65,-6.12,-5.19,LONG
2021-08-07,59,2.45,42.29,0.71,8.07,3.79,2892.29,3016.42,4.29,-0.88,2.1,LONG
2021-08-09,31,2.1,47.44,0.13,10.74,-4.68,3163.26,3000.32,0.83,-5.15,-2.05,LONG
2021-08-09,59,4.81,42.94,0.39,7.75,3.91,3014.06,3140.07,4.18,-3.79,4.35,LONG
2021-08-11,59,4.85,41.62,0.9,5.88,2.87,3143.97,3239.7,3.04,-0.66,1.69,SHORT
2021-08-12,-17,6.05,40.13,0.89,5.06,-2.45,3161.52,3075.09,2.44,-2.73,-2.54,SHORT
2021-08-13,59,11.03,35.83,0.56,8.24,4.1,3046.63,3182.28,4.45,-0.32,3.35,LONG
2021-08-15,-11,7.29,37.07,0.55,3.85,-1.92,3266.31,3187.51,0.71,-2.41,-2.03,LONG
2021-08-17,-17,7.08,35.95,0.79,6.64,-3.17,3312.31,3203.11,0.88,-3.3,-1.88,SHORT
2021-08-17,45,12.97,30.15,0.21,6.33,3.22,3146.82,3260.64,3.62,-0.9,2.21,SHORT
2021-08-20,-7,16.66,21.34,1.0,5.84,2.84,3014.31,3105.66,3.03,-1.77,4.55,LONG
2021-08-22,31,7.25,23.61,0.22,4.02,-1.91,3286.65,3216.81,0.7,-2.12,-0.62,LONG
2021-08-22,-27,9.0,19.84,0.44,3.25,-1.63,3226.39,3168.68,1.5,-1.79,-1.08,LONG
2021-08-23,59,8.15,17.9,0.9,4.71,2.29,3241.29,3320.39,2.44,-0.22,1.86,LONG
2021-08-24,-11,4.15,16.12,0.45,4.63,-2.21,3323.0,3246.9,1.13,-2.29,-1.94,SHORT
2021-08-26,-59,5.46,9.27,0.68,5.37,-2.57,3227.9,3142.1,0.7,-2.66,-2.49,SHORT
2021-08-27,5,9.25,3.9,0.34,6.26,3.16,3093.81,3195.0,3.27,-0.96,1.59,LONG
2021-08-29,-55,4.31,7.62,0.66,2.39,-1.19,3247.47,3193.03,1.2,-1.68,-1.06,LONG
2021-08-30,-59,5.12,6.89,0.84,4.35,-2.14,3225.47,3154.39,0.19,-2.2,-1.89,LONG
2021-08-31,59,5.06,6.87,0.98,6.44,3.11,3230.42,3338.09,3.33,-1.21,1.16,LONG
2021-09-02,59,0.03,12.62,0.31,8.98,4.06,3430.49,3577.99,4.3,-1.27,0.81,LONG
2021-09-03,31,2.57,24.45,0.64,3.11,-1.55,3788.94,3728.77,0.46,-1.59,-1.43,LONG
2021-09-05,59,0.56,28.85,0.62,3.59,1.79,3889.95,3961.97,1.85,-1.3,0.67,SHORT
2021-09-06,-11,1.35,30.32,0.59,3.97,-1.91,3952.56,3867.81,0.48,-2.14,-1.42,LONG
2021-09-07,-17,3.65,29.26,0.79,2.84,-1.41,3929.01,3856.33,0.55,-1.85,-0.97,SHORT
2021-09-10,-59,18.75,16.24,0.6,5.16,-2.56,3426.43,3329.55,2.57,-2.83,-1.47,SHORT
2021-09-12,-3,24.53,12.13,0.62,4.67,2.24,3267.28,3355.46,2.7,-1.05,0.81,LONG
2021-09-13,-59,19.5,15.49,0.43,7.47,-3.46,3405.65,3282.28,0.73,-3.62,-2.46,LONG
2021-09-16,45,18.32,15.14,0.1,5.14,2.4,3435.29,3522.04,2.53,-2.04,2.64,LONG
2021-09-17,-13,13.84,16.06,0.77,5.42,-2.67,3570.46,3467.81,0.58,-2.87,-0.44,SHORT
2021-09-18,49,19.36,11.28,0.32,6.93,3.51,3401.0,3529.0,3.76,-0.79,2.93,SHORT
2021-09-19,-59,17.93,11.32,0.8,5.17,-2.49,3435.36,3334.18,0.45,-2.95,-1.78,SHORT
2021-09-20,-59,21.51,8.0,0.42,5.36,-2.69,3328.99,3223.82,0.49,-3.16,-2.63,SHORT
2021-09-22,-59,37.13,0.0,0.2,13.24,-6.89,2978.34,2755.03,4.13,-7.5,-5.06,LONG
2021-09-23,-31,48.58,2.95,0.54,15.46,7.68,2765.47,3001.83,8.55,-0.91,5.68,LONG
2021-09-24,-17,27.17,11.17,0.48,4.59,-2.19,3150.7,3077.63,0.2,-2.32,-1.26,SHORT
2021-09-26,-59,32.01,5.87,0.97,5.72,-2.78,2921.08,2829.07,0.29,-3.15,-1.57,LONG
2021-09-29,-31,32.37,4.14,0.36,6.43,3.24,2803.34,2897.47,3.36,-0.4,2.86,SHORT
2021-09-30,23,29.66,7.06,0.73,6.03,2.88,2848.38,2945.0,3.39,-0.45,3.07,LONG
2021-10-01,51,22.95,12.26,0.29,7.51,3.44,2999.45,3108.09,3.62,-0.86,2.47,LONG
2021-10-04,17,8.41,23.08,0.79,4.41,-2.14,3418.21,3337.22,0.16,-2.37,-1.51,LONG
2021-10-06,59,9.23,22.29,0.81,5.01,2.47,3386.12,3474.67,2.62,-0.62,3.2,LONG
2021-10-06,3,4.56,24.88,0.29,5.5,-2.58,3517.64,3424.0,0.7,-2.66,-0.66,LONG
2021-10-10,-29,5.47,27.2,0.86,2.83,-1.39,3577.65,3494.88,0.23,-2.31,-0.72,SHORT
2021-10-11,25,11.12,23.08,0.21,5.74,2.92,3415.01,3519.72,3.07,-1.03,3.36,LONG
2021-10-12,-45,7.59,24.15,0.51,7.64,-3.55,3543.09,3407.0,-0.05,-3.84,-1.18,LONG
2021-10-13,-47,9.84,22.58,0.66,4.12,-2.04,3492.9,3417.55,1.17,-2.16,-2.92,LONG
2021-10-14,59,7.36,24.92,0.43,5.89,2.77,3610.24,3718.74,3.01,-0.52,0.84,LONG
2021-10-16,59,3.11,28.33,0.56,4.69,2.24,3872.7,3965.02,2.38,-1.19,0.12,SHORT
2021-10-17,59,5.47,26.87,0.78,4.61,2.28,3833.29,3924.5,2.38,-0.51,-0.1,SHORT
2021-10-18,-23,5.7,25.52,0.94,7.61,-3.65,3851.17,3703.53,1.15,-3.83,-2.08,LONG
2021-10-20,59,7.81,20.16,0.54,5.8,2.89,3748.1,3860.51,3.0,-0.29,3.14,LONG
2021-10-20,59,3.39,19.52,0.16,4.22,2.0,3881.49,3962.07,2.08,-1.28,1.29,LONG
2021-10-21,59,2.44,23.37,0.18,8.85,3.96,4164.13,4336.37,4.14,-0.7,-0.39,SHORT
2021-10-24,59,4.22,18.41,0.71,7.01,3.45,3975.55,4124.91,3.76,-0.73,1.51,LONG
2021-10-24,-11,0.92,22.0,0.18,5.95,-2.76,4170.5,4047.19,0.4,-2.96,-1.43,LONG
2021-10-26,59,3.8,19.4,0.62,5.49,2.73,4084.6,4200.37,2.83,-0.28,4.47,LONG
2021-10-27,17,1.84,21.86,0.17,4.13,-1.96,4224.13,4124.57,1.76,-2.36,-4.84,LONG
2021-10-27,59,4.97,19.69,0.58,5.08,2.53,4133.37,4247.76,2.77,-0.28,0.88,SHORT
2021-10-28,59,10.72,14.69,0.5,10.14,5.07,3923.58,4136.36,5.42,-0.59,3.5,LONG
2021-10-30,31,1.18,23.67,0.33,4.63,-2.2,4421.53,4313.07,0.19,-2.45,-1.52,LONG
2021-10-31,-17,3.86,20.27,0.54,4.71,-2.35,4324.82,4215.86,1.69,-2.52,-2.24,LONG
2021-11-01,-45,5.08,18.22,0.85,5.51,-2.7,4288.87,4167.0,0.91,-2.84,-2.61,LONG
2021-11-02,59,4.2,16.88,0.86,5.61,2.71,4322.72,4448.84,2.92,-0.8,3.98,LONG
2021-11-04,17,0.64,20.97,0.94,4.79,-2.33,4606.59,4495.26,0.09,-2.42,-2.34,LONG
2021-11-06,-35,5.12,17.34,0.55,2.86,-1.43,4477.29,4411.3,0.86,-1.47,-0.55,LONG
2021-11-08,59,4.61,17.19,0.79,4.74,2.29,4521.7,4629.76,2.39,-0.36,2.1,SHORT
2021-11-08,59,2.77,17.32,0.31,3.04,1.47,4616.51,4686.11,1.51,0.06,2.56,LONG
2021-11-10,59,2.72,18.74,0.39,2.7,1.36,4734.99,4801.54,1.41,-1.13,1.07,SHORT
2021-11-12,-41,3.92,16.6,0.56,4.37,-2.1,4721.19,4619.35,1.87,-2.16,-1.49,LONG
2021-11-14,-49,6.18,13.5,0.82,2.63,-1.31,4644.42,4581.35,1.08,-1.36,-0.07,LONG
2021-11-15,59,6.72,12.55,0.92,3.97,1.95,4629.75,4723.86,2.03,0.31,0.59,SHORT
2021-11-16,-59,7.94,10.15,0.73,4.98,-2.46,4567.01,4430.87,-0.38,-2.98,-1.75,SHORT
2021-11-18,-59,13.59,2.27,0.67,5.65,-2.7,4288.0,4164.13,1.23,-2.89,-2.14,SHORT
2021-11-19,-17,23.15,2.46,0.25,8.99,4.6,3997.72,4193.64,4.9,-0.46,1.23,LONG
2021-11-22,-59,15.63,3.81,0.17,4.16,-2.11,4259.28,4164.43,-0.04,-2.23,-2.11,SHORT
2021-11-23,-5,20.85,1.31,0.44,7.24,3.64,4086.41,4244.78,3.88,-0.53,1.55,LONG
2021-11-24,-59,13.46,7.43,0.22,8.01,-3.63,4341.36,4174.99,0.78,-3.83,-2.8,LONG
2021-11-25,47,15.19,6.39,0.66,4.76,2.36,4271.29,4379.66,2.54,-0.49,1.95,LONG
2021-11-26,7,8.74,11.67,0.17,7.21,-3.29,4528.2,4372.03,0.48,-3.45,-2.86,SHORT
2021-11-28,-59,20.24,4.79,0.65,3.84,-1.86,4095.33,4015.79,0.0,-1.94,-1.18,LONG
2021-11-30,29,8.47,11.79,0.18,4.19,-1.98,4445.09,4353.0,1.26,-2.07,-3.22,LONG
2021-12-02,3,4.57,14.26,0.82,5.5,-2.7,4586.67,4455.1,0.73,-2.87,-2.44,LONG
2021-12-03,59,5.69,12.67,0.64,4.38,2.18,4514.32,4615.0,2.23,-0.91,1.18,SHORT
2021-12-04,-59,12.28,6.51,0.54,14.49,-7.2,4213.67,3866.09,0.55,-8.25,-9.65,LONG
2021-12-06,-59,10.93,6.46,0.62,5.2,-2.49,4197.52,4089.92,-0.09,-2.56,-2.42,LONG
2021-12-08,59,8.28,8.6,0.77,3.91,1.93,4305.83,4395.73,2.09,-1.76,-0.92,LONG
2021-12-09,-31,5.05,10.24,0.44,5.33,-2.52,4435.7,4318.69,0.99,-2.64,-2.16,SHORT
2021-12-11,-31,20.13,0.13,0.4,8.51,4.29,3895.85,4072.02,4.52,-1.55,3.62,LONG
2021-12-13,-59,13.33,6.06,0.79,4.61,-2.23,4129.16,4032.94,0.23,-2.33,-1.06,SHORT
2021-12-16,-59,22.37,3.0,0.61,5.21,-2.49,3856.67,3752.93,1.02,-2.69,-2.42,LONG
2021-12-17,-59,18.35,6.11,0.64,4.16,-2.07,3958.7,3870.59,0.85,-2.23,-1.67,LONG
2021-12-20,-59,18.63,7.2,0.77,3.87,-1.91,3922.51,3844.23,1.35,-2.0,-0.52,LONG
2021-12-21,55,15.92,7.36,0.91,5.9,2.85,3943.64,4060.02,2.95,-0.71,4.93,SHORT
2021-12-23,-59,10.75,6.82,0.76,3.75,-1.86,3978.63,3900.0,0.62,-1.98,-1.01,LONG
2021-12-26,59,8.52,8.37,0.44,2.89,1.45,4045.19,4110.27,1.61,-0.6,0.32,SHORT
2021-12-26,-19,6.94,9.42,0.61,3.05,-1.49,4093.88,4026.94,0.15,-1.64,-1.48,LONG
2021-12-28,59,6.65,8.3,0.69,2.51,1.25,4062.4,4116.14,1.32,-0.68,2.03,SHORT
2021-12-28,-57,6.26,7.34,0.74,2.36,-1.17,4037.35,3985.44,-0.16,-1.29,-1.74,SHORT
2021-12-30,-31,16.17,2.07,0.28,5.95,3.01,3628.49,3741.25,3.11,-1.2,2.28,SHORT
