score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,current_high_price_ratio,current_low_price_ratio,today_open_price,current_price,result
59,4.66,11.08,0.74,4.76,2.3,2.42,-1.42,1.22,1.25,LONG
59,1.36,13.82,0.48,7.56,3.51,3.73,0.15,1.27,1.31,LONG
59,0.92,17.03,0.44,6.88,3.21,3.35,-2.33,1.32,1.36,LONG
59,5.1,23.24,0.37,12.12,5.33,5.75,-0.5,1.42,1.5,SHORT
17,3.06,28.78,0.69,5.99,-2.86,2.8,-3.49,1.48,1.43,SHORT
-43,7.36,22.54,0.6,7.43,-3.69,0.9,-3.89,1.37,1.32,SHORT
-27,23.34,10.85,0.46,12.14,6.1,7.07,-5.57,1.19,1.28,SHORT
-3,22.4,10.76,0.28,7.14,3.62,3.77,-1.79,1.2,1.25,SHORT
-59,29.02,6.77,0.64,13.88,-6.81,1.87,-7.71,1.14,1.06,LONG
-59,34.36,4.68,0.46,8.98,-4.5,4.0,-5.06,1.1,1.05,LONG
11,36.5,5.36,0.9,11.55,5.52,5.94,-0.96,1.09,1.16,LONG
59,20.19,16.72,0.14,15.79,6.5,7.25,-1.02,1.24,1.33,SHORT
17,14.19,20.33,0.38,8.84,-4.02,3.25,-4.6,1.31,1.25,LONG
59,12.05,21.81,0.73,8.86,4.15,4.39,-3.4,1.34,1.4,SHORT
-11,12.05,21.51,0.98,4.05,-1.99,0.25,-2.21,1.35,1.32,LONG
59,14.22,20.02,0.6,4.55,2.26,2.36,-0.34,1.33,1.36,LONG
-23,10.67,21.96,0.41,4.55,-2.16,0.38,-2.46,1.36,1.33,SHORT
13,16.98,15.83,0.18,8.28,4.25,4.46,-0.64,1.27,1.33,LONG
59,0.3,27.89,0.11,18.66,7.41,8.33,-3.1,1.48,1.61,LONG
3,2.28,39.43,0.66,5.59,-2.77,1.93,-2.95,1.62,1.58,LONG
-11,1.77,45.53,0.44,16.09,-6.87,3.33,-8.57,1.77,1.62,LONG
-17,3.77,45.43,0.34,11.18,-4.95,3.25,-5.34,1.77,1.67,SHORT
59,17.55,36.48,0.3,16.13,8.33,9.12,-4.02,1.57,1.71,LONG
59,0.72,49.79,0.65,11.94,5.42,5.88,-2.01,2.01,2.13,LONG
59,3.64,53.18,0.61,20.76,8.76,9.85,-0.66,2.18,2.39,SHORT
3,3.5,56.63,0.72,20.9,-8.98,0.73,-9.95,2.3,2.07,SHORT
-41,14.89,47.34,0.85,8.73,-4.24,1.23,-4.51,2.01,1.91,SHORT
-59,27.56,37.75,0.47,42.59,-14.78,3.61,-17.47,1.8,1.49,LONG
-59,55.79,19.8,0.63,15.13,-7.42,5.11,-8.28,1.46,1.34,SHORT
11,73.68,11.51,0.7,33.63,15.76,18.79,-3.85,1.32,1.56,SHORT
35,45.52,21.33,0.99,13.83,6.46,6.93,0.01,1.55,1.66,LONG
7,27.3,30.89,0.18,17.85,-7.23,0.47,-8.09,1.78,1.64,LONG
-47,36.89,25.68,0.31,10.18,-5.19,1.19,-5.49,1.66,1.56,SHORT
-59,49.86,19.61,0.38,13.82,-7.03,3.2,-7.58,1.51,1.4,LONG
-31,61.96,16.06,0.51,15.12,7.55,8.29,-3.82,1.4,1.52,LONG
59,30.97,31.85,0.99,7.23,3.49,3.69,-1.0,1.74,1.8,SHORT
59,28.74,32.55,0.8,4.96,2.4,2.77,-2.11,1.75,1.8,LONG
3,21.07,35.61,0.48,10.14,-4.6,0.16,-5.47,1.84,1.74,SHORT
19,17.49,22.17,0.68,3.85,1.86,2.39,-0.87,1.68,1.72,SHORT
-59,21.33,15.03,0.42,11.41,-5.76,1.73,-6.15,1.57,1.47,LONG
-59,19.92,15.06,0.91,12.46,-5.8,0.56,-6.22,1.58,1.48,LONG
