,score,bollinger_up_diff_ratio,bollinger_down_diff_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,current_high_price_ratio,current_low_price_ratio,result
0,59,3.19,12.94,0.85,2.53,1.24,1.28,0.68,short
1,59,3.9,12.16,0.91,3.35,1.65,1.69,0.02,long
2,31,1.15,16.65,0.06,6.71,-3.06,2.08,3.38,long
3,3,0.31,13.94,0.86,2.85,-1.4,0.52,1.82,short
4,-59,5.71,7.89,0.55,4.81,-2.4,0.56,2.57,short
5,-59,14.62,1.82,0.83,5.83,-2.86,0.08,2.94,long
6,-59,13.06,3.72,0.78,6.7,-3.2,0.55,3.32,short
7,-17,19.22,0.46,0.17,5.63,2.87,2.98,2.26,short
8,-59,25.15,1.19,0.58,9.32,-4.63,0.78,4.92,long
9,-59,27.57,0.17,0.87,8.97,-4.34,0.06,4.56,long
10,-59,31.11,0.38,0.58,4.76,-2.37,0.96,2.61,long
11,-3,34.59,1.1,0.72,7.3,3.59,3.75,0.52,long
12,13,19.77,12.56,0.54,4.13,-1.99,1.19,2.08,long
13,-1,19.98,12.6,0.92,4.79,-2.35,0.6,2.54,long
14,49,22.63,11.11,0.55,5.2,2.59,2.68,0.88,long
15,31,12.71,17.7,0.9,2.47,-1.22,0.17,1.95,short
16,59,14.64,15.91,0.34,3.28,1.65,1.84,0.02,short
17,-31,11.7,16.08,0.78,4.55,-2.2,-0.06,2.84,short
18,-7,17.87,9.52,0.05,7.28,3.76,3.97,0.4,long
19,59,7.46,12.77,0.65,5.59,2.77,2.93,1.92,short
20,59,4.7,13.77,0.72,6.19,2.96,3.24,0.67,short
21,31,2.56,16.41,0.38,4.6,-2.19,0.54,2.31,long
22,-43,4.32,15.55,0.78,5.23,-2.57,2.27,2.71,short
23,59,7.4,13.01,0.64,4.31,2.08,2.13,0.19,short
24,-59,23.09,2.56,0.94,5.37,-2.61,1.57,2.77,short
25,-3,32.06,2.54,0.25,8.28,4.23,4.89,0.6,short
26,-59,34.32,0.42,0.94,12.88,-6.09,0.32,6.53,long
27,-59,48.82,0.04,0.8,8.17,-3.98,1.68,4.35,short
28,-59,60.87,6.28,0.5,20.33,-8.44,4.08,9.56,long
29,-59,73.88,8.93,0.95,9.76,-4.63,2.04,4.98,short
30,17,87.09,7.6,0.62,19.26,9.42,10.48,0.76,long
31,41,65.59,21.34,0.86,8.69,4.22,5.12,1.33,short
32,-53,58.7,24.57,0.7,8.0,-3.76,-0.17,4.0,long
33,-59,57.72,23.98,0.78,8.43,-4.12,0.77,4.62,short
34,43,51.93,18.22,0.67,9.09,4.22,4.69,4.05,short
35,51,35.57,17.19,0.74,6.08,3.0,3.25,1.94,short
36,57,27.86,17.85,0.62,6.35,3.01,3.14,0.91,long
37,27,17.14,18.75,0.27,6.09,-2.83,-0.1,3.04,short
38,-59,20.63,12.1,0.36,9.51,-4.82,2.87,5.12,long
39,-3,16.09,6.73,0.77,3.62,1.76,2.53,0.61,short
40,-59,21.0,0.4,0.37,9.94,-5.03,1.27,5.45,long
41,-3,22.1,1.48,0.95,9.2,4.42,4.68,2.89,long
