,score,bollinger_up_diff_ratio,bollinger_down_diff_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,current_high_price_ratio,current_low_price_ratio,result
0,15,22.34,54.48,0.62,6.79,-3.2,1.45,3.36,short
1,1,28.18,35.21,0.62,5.32,2.65,2.87,1.98,short
2,59,18.2,25.58,0.68,4.63,2.23,2.32,-0.01,long
3,-53,10.14,22.25,0.89,9.22,-4.45,1.11,5.86,short
4,-59,24.76,3.02,0.9,9.31,-4.49,0.08,5.05,long
5,-3,28.4,1.03,0.48,7.75,3.88,4.4,1.44,short
6,-59,30.68,1.96,0.85,9.17,-4.44,1.43,4.75,short
7,-17,41.8,3.03,0.88,3.66,1.79,2.07,0.27,long
8,13,24.3,15.28,0.76,4.85,-2.39,2.18,2.52,long
9,47,25.47,14.5,0.76,2.96,1.47,1.62,-0.0,long
10,31,12.22,21.25,0.97,3.96,-1.94,1.53,2.1,long
11,-23,14.42,19.24,0.58,3.33,-1.66,-0.01,1.79,short
12,7,29.43,9.2,0.27,16.75,8.71,9.8,0.75,short
13,59,18.07,16.18,0.25,11.21,4.92,5.2,1.75,short
14,-59,13.61,10.4,0.73,5.65,-2.79,0.94,4.02,long
15,-59,14.57,9.66,0.82,6.06,-2.97,1.98,3.26,short
16,-59,17.66,8.98,0.25,7.16,-3.29,1.88,3.42,short
17,-59,33.84,0.07,0.31,16.45,-8.49,-6.3,29.37,long
18,-59,43.81,1.25,0.72,9.4,-4.38,1.74,4.71,short
19,-59,59.75,3.23,0.21,10.76,-5.55,4.87,6.13,long
20,-59,65.32,0.15,0.83,14.67,-7.0,-0.13,9.18,long
21,-59,80.7,5.6,0.93,9.32,-4.42,1.28,4.68,short
22,-17,186.51,22.51,0.33,52.17,28.58,40.52,6.21,short
23,-59,108.57,15.72,0.32,52.71,-16.26,6.64,19.87,long
24,-59,149.54,14.62,0.57,14.35,-7.11,3.33,8.35,short
25,-59,134.81,33.02,0.23,19.91,-7.95,6.28,8.99,long
26,-31,121.62,40.22,0.55,6.83,-3.21,-0.08,3.42,short
27,-59,122.3,39.99,0.47,7.63,-3.83,0.32,4.22,short
28,-59,111.6,39.27,0.74,8.43,-3.96,-0.18,4.37,long
29,35,101.87,39.81,0.97,6.2,3.0,3.82,2.94,long
30,-45,76.23,39.11,0.36,9.68,-4.36,0.65,4.77,long
31,47,74.78,34.41,0.36,7.21,3.64,3.95,1.46,short
32,49,64.37,33.95,0.78,5.64,2.71,2.79,0.82,long
33,59,11.02,35.27,0.61,3.45,1.72,1.78,0.63,short
34,-59,12.92,28.63,0.59,13.93,-6.88,1.97,8.41,long
