score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,current_high_price_ratio,current_low_price_ratio,today_open_price,current_price,result
59,1.44,90.03,0.26,11.51,5.03,5.78,-3.01,1.47,1.55,LONG
-11,8.64,96.24,0.68,12.95,-6.33,2.93,-7.1,1.76,1.64,SHORT
-43,30.78,89.44,0.95,14.36,-6.74,1.46,-8.56,1.54,1.41,LONG
19,55.81,62.78,0.5,13.83,6.92,7.54,-2.43,1.29,1.39,SHORT
-59,71.33,50.91,0.61,26.61,-12.94,3.33,-15.99,1.16,0.97,LONG
-17,79.25,27.3,0.21,12.96,6.74,7.58,-1.98,1.05,1.13,SHORT
11,80.86,24.17,0.93,20.18,9.28,10.34,-1.78,1.04,1.14,LONG
17,32.56,37.85,0.71,9.86,-4.57,3.24,-4.86,1.4,1.34,LONG
59,31.63,31.32,0.58,6.88,3.24,3.57,-1.55,1.4,1.45,LONG
31,14.17,41.54,0.64,9.2,-4.26,0.3,-4.91,1.65,1.57,SHORT
-29,19.17,36.81,0.97,9.6,-4.6,-0.46,-7.55,1.56,1.44,SHORT
25,28.78,27.32,0.3,15.6,8.05,8.92,-1.1,1.39,1.51,LONG
59,8.53,36.66,0.13,19.05,7.55,8.4,0.95,1.62,1.75,SHORT
-45,14.14,34.79,0.8,5.54,-2.73,2.19,-2.84,1.57,1.52,LONG
59,17.05,33.0,0.85,11.6,5.57,6.04,-0.73,1.54,1.63,SHORT
-59,21.94,29.54,0.35,9.8,-4.4,4.36,-4.71,1.48,1.41,SHORT
-59,25.27,17.26,0.72,9.43,-4.39,2.03,-4.67,1.4,1.34,LONG
-59,14.06,15.74,0.65,18.71,-8.07,7.73,-9.2,1.49,1.36,LONG
59,13.63,14.82,0.8,16.53,7.41,8.32,-1.42,1.5,1.62,SHORT
-27,7.42,18.8,0.6,15.61,-6.85,3.37,-7.8,1.59,1.47,SHORT
-59,49.88,2.44,0.66,34.78,-13.47,2.88,-16.2,1.18,0.99,LONG
-59,77.28,6.56,0.51,30.22,-15.06,0.65,-17.99,1.01,0.83,LONG
-59,100.6,7.84,0.5,20.1,-10.05,6.92,-12.6,0.91,0.79,SHORT
29,87.78,19.83,0.9,18.12,8.46,9.38,-2.69,0.98,1.07,SHORT
-25,74.1,26.43,0.54,12.71,-5.66,1.02,-7.25,1.03,0.96,LONG
-59,80.82,24.84,0.48,10.79,-5.4,0.87,-6.43,0.98,0.91,SHORT
-59,92.36,22.18,0.46,14.32,-7.21,4.41,-8.09,0.9,0.83,LONG
-17,104.09,20.57,0.55,16.56,8.22,9.0,-3.98,0.83,0.91,SHORT
45,85.26,30.11,0.46,16.4,7.01,7.65,-2.43,0.91,0.98,LONG
55,55.36,39.91,0.81,7.02,3.35,3.49,-1.61,1.02,1.06,SHORT
-3,48.59,40.89,0.7,6.96,-3.3,-0.12,-3.59,1.05,1.01,SHORT
-59,53.64,34.91,0.41,12.54,-6.34,2.98,-7.01,0.97,0.9,LONG
25,40.49,28.13,0.27,3.62,1.73,2.57,0.26,0.95,0.97,SHORT
-59,33.24,8.39,0.4,14.93,-7.58,2.33,-8.46,0.86,0.79,LONG
