,시간,종가,시가,고가,저가,거래량
0,2021-01-10T04:00:00,0.33532,0.33415,0.33569,0.33361,2490215.0
1,2021-01-10T03:59:00,0.33416,0.33575,0.33584,0.33416,1342314.0
2,2021-01-10T03:58:00,0.33593,0.33625,0.33631,0.3355,644527.0
3,2021-01-10T03:57:00,0.3363,0.3371,0.33736,0.33587,1166821.0
4,2021-01-10T03:56:00,0.33707,0.33721,0.3377,0.337,663159.0
5,2021-01-10T03:55:00,0.33714,0.33816,0.33846,0.33687,1761822.0
6,2021-01-10T03:54:00,0.33833,0.33815,0.3384,0.337,1422463.0
7,2021-01-10T03:53:00,0.33814,0.33793,0.33832,0.33759,1367001.0
8,2021-01-10T03:52:00,0.33796,0.33772,0.33812,0.33649,1409825.0
9,2021-01-10T03:51:00,0.33793,0.33667,0.33826,0.33653,1500830.0
10,2021-01-10T03:50:00,0.33664,0.33497,0.33689,0.33467,1138008.0
11,2021-01-10T03:49:00,0.33497,0.33365,0.335,0.33323,894942.0
12,2021-01-10T03:48:00,0.3337,0.33457,0.33507,0.33338,975247.0
13,2021-01-10T03:47:00,0.33474,0.33455,0.33535,0.334,1037184.0
14,2021-01-10T03:46:00,0.33467,0.33658,0.33668,0.334,2817189.0
15,2021-01-10T03:45:00,0.33657,0.33539,0.33763,0.33476,1765899.0
16,2021-01-10T03:44:00,0.33538,0.33408,0.33565,0.33408,1078761.0
17,2021-01-10T03:43:00,0.33408,0.33285,0.3344,0.33282,1224727.0
18,2021-01-10T03:42:00,0.33283,0.33288,0.33307,0.33273,378484.0
19,2021-01-10T03:41:00,0.3328,0.33199,0.33296,0.33199,1391656.0
20,2021-01-10T03:40:00,0.33199,0.33179,0.33212,0.33163,434127.0
21,2021-01-10T03:39:00,0.33159,0.33279,0.3331,0.3312,1217453.0
22,2021-01-10T03:38:00,0.3329,0.33211,0.33296,0.3321,781586.0
23,2021-01-10T03:37:00,0.33205,0.33085,0.33211,0.33085,838538.0
24,2021-01-10T03:36:00,0.33105,0.33083,0.3315,0.3305,716950.0
25,2021-01-10T03:35:00,0.33076,0.33034,0.33087,0.32994,802656.0
26,2021-01-10T03:34:00,0.33041,0.32971,0.33044,0.32951,464462.0
27,2021-01-10T03:33:00,0.32977,0.32833,0.32989,0.32814,414759.0
28,2021-01-10T03:32:00,0.32834,0.32887,0.32896,0.32769,479102.0
29,2021-01-10T03:31:00,0.32872,0.32947,0.33,0.32864,377825.0
30,2021-01-10T03:30:00,0.3295,0.32939,0.3302,0.3288,548321.0
31,2021-01-10T03:29:00,0.32931,0.32859,0.32954,0.32794,553502.0
32,2021-01-10T03:28:00,0.32859,0.32947,0.32947,0.32681,1771215.0
33,2021-01-10T03:27:00,0.32945,0.33034,0.331,0.32945,1124367.0
34,2021-01-10T03:26:00,0.33036,0.32993,0.33064,0.3297,767663.0
35,2021-01-10T03:25:00,0.32988,0.32996,0.33,0.32896,557928.0
36,2021-01-10T03:24:00,0.32996,0.32974,0.33009,0.32922,385221.0
37,2021-01-10T03:23:00,0.32985,0.32995,0.33046,0.32801,2180332.0
38,2021-01-10T03:22:00,0.32987,0.32889,0.33035,0.32866,1393537.0
39,2021-01-10T03:21:00,0.32888,0.32794,0.329,0.32779,826546.0
40,2021-01-10T03:20:00,0.32795,0.32651,0.32797,0.32615,786280.0
41,2021-01-10T03:19:00,0.3265,0.32604,0.32652,0.32592,460045.0
42,2021-01-10T03:18:00,0.32601,0.32592,0.3265,0.32591,228692.0
43,2021-01-10T03:17:00,0.32607,0.32595,0.32649,0.32575,372721.0
44,2021-01-10T03:16:00,0.32587,0.3261,0.32611,0.32549,275531.0
45,2021-01-10T03:15:00,0.32604,0.32609,0.32617,0.32574,207914.0
46,2021-01-10T03:14:00,0.32619,0.32624,0.32632,0.32555,316126.0
47,2021-01-10T03:13:00,0.32621,0.32595,0.32639,0.3258,240575.0
48,2021-01-10T03:12:00,0.32595,0.32549,0.32647,0.32517,646189.0
49,2021-01-10T03:11:00,0.3255,0.32628,0.32691,0.325,872994.0
50,2021-01-10T03:10:00,0.32638,0.32556,0.3268,0.32547,901485.0
51,2021-01-10T03:09:00,0.32549,0.32458,0.32558,0.32369,808833.0
52,2021-01-10T03:08:00,0.32447,0.32409,0.32483,0.32397,642515.0
53,2021-01-10T03:07:00,0.32412,0.32367,0.32433,0.32366,479130.0
54,2021-01-10T03:06:00,0.32368,0.32329,0.32394,0.32315,534323.0
55,2021-01-10T03:05:00,0.32327,0.32351,0.32395,0.32325,355165.0
56,2021-01-10T03:04:00,0.32354,0.3244,0.32456,0.32333,389411.0
57,2021-01-10T03:03:00,0.32451,0.32415,0.32489,0.32388,362840.0
58,2021-01-10T03:02:00,0.32409,0.32353,0.32418,0.32291,448291.0
59,2021-01-10T03:01:00,0.32335,0.32317,0.32412,0.32317,877773.0
60,2021-01-10T03:00:00,0.32318,0.32473,0.32557,0.32282,1904289.0
61,2021-01-10T02:59:00,0.32479,0.32401,0.325,0.324,558311.0
62,2021-01-10T02:58:00,0.32407,0.32316,0.32427,0.32301,329899.0
63,2021-01-10T02:57:00,0.32327,0.32254,0.32327,0.32217,213306.0
64,2021-01-10T02:56:00,0.32265,0.32288,0.32356,0.32223,855664.0
65,2021-01-10T02:55:00,0.32283,0.32213,0.32295,0.3221,207116.0
66,2021-01-10T02:54:00,0.32206,0.32242,0.32257,0.32162,356624.0
67,2021-01-10T02:53:00,0.32242,0.32141,0.32268,0.32141,232089.0
68,2021-01-10T02:52:00,0.32147,0.32174,0.32228,0.32104,539374.0
69,2021-01-10T02:51:00,0.32175,0.32189,0.32238,0.32165,616449.0
70,2021-01-10T02:50:00,0.32191,0.32183,0.32212,0.32163,372168.0
71,2021-01-10T02:49:00,0.32189,0.3219,0.32192,0.32123,300194.0
72,2021-01-10T02:48:00,0.32189,0.32209,0.32214,0.32172,169040.0
73,2021-01-10T02:47:00,0.3222,0.32135,0.3222,0.32125,215862.0
74,2021-01-10T02:46:00,0.32134,0.321,0.32238,0.32082,694282.0
75,2021-01-10T02:45:00,0.321,0.32265,0.32281,0.321,802294.0
76,2021-01-10T02:44:00,0.3226,0.32103,0.32271,0.32079,1338446.0
77,2021-01-10T02:43:00,0.32103,0.32059,0.32106,0.32051,368547.0
78,2021-01-10T02:42:00,0.32061,0.32082,0.32105,0.32052,243651.0
79,2021-01-10T02:41:00,0.32081,0.32084,0.32131,0.32056,556959.0
80,2021-01-10T02:40:00,0.32079,0.3206,0.32101,0.3204,234161.0
81,2021-01-10T02:39:00,0.3204,0.32038,0.3207,0.32031,210925.0
82,2021-01-10T02:38:00,0.32041,0.32045,0.32066,0.31989,340810.0
83,2021-01-10T02:37:00,0.32037,0.32057,0.32076,0.32005,266007.0
84,2021-01-10T02:36:00,0.32056,0.32085,0.32095,0.32041,184504.0
85,2021-01-10T02:35:00,0.32083,0.32058,0.32106,0.32058,306933.0
86,2021-01-10T02:34:00,0.32061,0.32052,0.32091,0.32031,184393.0
87,2021-01-10T02:33:00,0.3205,0.32042,0.32079,0.32029,132096.0
88,2021-01-10T02:32:00,0.32044,0.31997,0.32056,0.31993,217634.0
89,2021-01-10T02:31:00,0.31997,0.32049,0.3207,0.3198,250182.0
90,2021-01-10T02:30:00,0.32046,0.32053,0.32095,0.32029,254884.0
91,2021-01-10T02:29:00,0.32063,0.3204,0.32076,0.32006,291214.0
92,2021-01-10T02:28:00,0.32041,0.32057,0.3211,0.32,233430.0
93,2021-01-10T02:27:00,0.32056,0.32109,0.32111,0.31998,418559.0
94,2021-01-10T02:26:00,0.32093,0.32112,0.32115,0.32013,442306.0
95,2021-01-10T02:25:00,0.3211,0.32066,0.32123,0.32052,412648.0
96,2021-01-10T02:24:00,0.3208,0.3197,0.32083,0.319,325231.0
97,2021-01-10T02:23:00,0.3196,0.31904,0.32,0.31871,349376.0
98,2021-01-10T02:22:00,0.31906,0.31881,0.3196,0.31827,905311.0
99,2021-01-10T02:21:00,0.31882,0.31998,0.32003,0.31881,682793.0
100,2021-01-10T02:20:00,0.31998,0.32044,0.32098,0.31998,757717.0
101,2021-01-10T02:19:00,0.32031,0.31991,0.3206,0.31991,364487.0
102,2021-01-10T02:18:00,0.3199,0.32019,0.32038,0.3199,361565.0
103,2021-01-10T02:17:00,0.32017,0.32036,0.32067,0.32007,520416.0
104,2021-01-10T02:16:00,0.32035,0.32012,0.32058,0.31992,499334.0
105,2021-01-10T02:15:00,0.32007,0.32013,0.3205,0.31972,501970.0
106,2021-01-10T02:14:00,0.32018,0.32044,0.32044,0.31971,272304.0
107,2021-01-10T02:13:00,0.32047,0.32005,0.32064,0.32003,269674.0
108,2021-01-10T02:12:00,0.32008,0.32019,0.32033,0.31951,399625.0
109,2021-01-10T02:11:00,0.3202,0.31955,0.32039,0.31953,382753.0
110,2021-01-10T02:10:00,0.31956,0.31921,0.3198,0.31906,434412.0
111,2021-01-10T02:09:00,0.3192,0.31925,0.31957,0.31875,445472.0
112,2021-01-10T02:08:00,0.31937,0.31926,0.31985,0.31925,437659.0
113,2021-01-10T02:07:00,0.31928,0.31937,0.31963,0.31878,531857.0
114,2021-01-10T02:06:00,0.31958,0.31923,0.3197,0.31913,310488.0
115,2021-01-10T02:05:00,0.31929,0.31955,0.31963,0.31901,514742.0
116,2021-01-10T02:04:00,0.31949,0.31941,0.31989,0.31932,510844.0
117,2021-01-10T02:03:00,0.31941,0.31965,0.31969,0.31862,808645.0
118,2021-01-10T02:02:00,0.31967,0.32027,0.32045,0.31948,261708.0
119,2021-01-10T02:01:00,0.32027,0.32001,0.3206,0.3193,637831.0
120,2021-01-10T02:00:00,0.32,0.31816,0.32041,0.31811,2062577.0
121,2021-01-10T01:59:00,0.31816,0.31746,0.3184,0.3173,378664.0
122,2021-01-10T01:58:00,0.31748,0.31739,0.31824,0.31703,609876.0
123,2021-01-10T01:57:00,0.31746,0.31833,0.31851,0.31603,2037759.0
124,2021-01-10T01:56:00,0.31838,0.3191,0.31912,0.31815,701302.0
125,2021-01-10T01:55:00,0.31906,0.31825,0.31942,0.31821,577582.0
126,2021-01-10T01:54:00,0.31826,0.32003,0.32013,0.31825,581722.0
127,2021-01-10T01:53:00,0.32004,0.31966,0.3202,0.31938,310810.0
128,2021-01-10T01:52:00,0.31961,0.31881,0.31996,0.31873,402880.0
129,2021-01-10T01:51:00,0.31879,0.31862,0.31914,0.31801,640493.0
130,2021-01-10T01:50:00,0.31841,0.31915,0.3201,0.31802,768692.0
