,시간,종가,시가,고가,저가,거래량
0,2021-01-10T04:00:00,40751.94,40737.86,40753.71,40733.08,49.868
1,2021-01-10T03:59:00,40737.87,40730.78,40741.82,40721.37,28.823
2,2021-01-10T03:58:00,40730.79,40752.39,40754.89,40673.99,103.711
3,2021-01-10T03:57:00,40755.13,40757.81,40762.32,40740.01,31.306
4,2021-01-10T03:56:00,40758.21,40740.34,40764.95,40740.34,45.636
5,2021-01-10T03:55:00,40740.34,40737.23,40741.27,40720.86,32.029
6,2021-01-10T03:54:00,40737.24,40726.39,40775.04,40726.39,86.357
7,2021-01-10T03:53:00,40726.4,40726.39,40726.4,40668.0,51.379
8,2021-01-10T03:52:00,40726.4,40722.97,40730.0,40718.32,18.125
9,2021-01-10T03:51:00,40722.98,40700.33,40731.26,40700.33,35.562
10,2021-01-10T03:50:00,40700.33,40674.75,40706.79,40660.0,25.23
11,2021-01-10T03:49:00,40674.75,40658.91,40706.69,40640.24,55.878
12,2021-01-10T03:48:00,40655.09,40677.29,40717.42,40640.0,113.99
13,2021-01-10T03:47:00,40677.29,40680.01,40727.95,40662.51,81.145
14,2021-01-10T03:46:00,40680.01,40748.39,40748.39,40680.0,86.522
15,2021-01-10T03:45:00,40748.39,40744.16,40770.0,40741.0,64.711
16,2021-01-10T03:44:00,40744.17,40738.24,40777.87,40738.23,59.19
17,2021-01-10T03:43:00,40738.24,40748.91,40792.59,40730.26,84.374
18,2021-01-10T03:42:00,40748.61,40833.34,40838.76,40725.01,105.969
19,2021-01-10T03:41:00,40831.88,40864.86,40886.39,40801.0,143.492
20,2021-01-10T03:40:00,40864.86,40795.17,40875.0,40790.0,100.27
21,2021-01-10T03:39:00,40794.1,40777.02,40822.83,40758.43,94.83
22,2021-01-10T03:38:00,40771.54,40771.99,40791.14,40738.78,39.717
23,2021-01-10T03:37:00,40772.0,40753.99,40776.25,40737.36,38.961
24,2021-01-10T03:36:00,40754.0,40768.02,40798.5,40700.9,115.451
25,2021-01-10T03:35:00,40763.27,40805.86,40810.0,40761.86,34.863
26,2021-01-10T03:34:00,40805.85,40810.8,40824.88,40777.0,74.202
27,2021-01-10T03:33:00,40810.79,40758.5,40841.43,40757.88,188.832
28,2021-01-10T03:32:00,40758.5,40767.51,40780.0,40753.0,40.105
29,2021-01-10T03:31:00,40766.16,40775.85,40786.53,40738.0,58.978
30,2021-01-10T03:30:00,40775.85,40733.04,40778.97,40730.0,48.016
31,2021-01-10T03:29:00,40736.47,40724.0,40762.98,40721.86,82.373
32,2021-01-10T03:28:00,40722.5,40682.42,40722.5,40650.07,61.338
33,2021-01-10T03:27:00,40682.42,40668.95,40722.0,40668.95,73.099
34,2021-01-10T03:26:00,40668.96,40674.43,40674.43,40664.03,43.092
35,2021-01-10T03:25:00,40674.43,40700.01,40700.01,40671.23,54.307
36,2021-01-10T03:24:00,40700.01,40686.48,40703.68,40679.99,44.765
37,2021-01-10T03:23:00,40686.49,40694.93,40699.47,40673.68,43.718
38,2021-01-10T03:22:00,40694.94,40714.91,40729.2,40694.93,39.971
39,2021-01-10T03:21:00,40714.9,40696.58,40737.6,40696.58,67.092
40,2021-01-10T03:20:00,40695.63,40694.14,40750.0,40650.0,171.765
41,2021-01-10T03:19:00,40694.14,40690.28,40695.08,40686.96,39.591
42,2021-01-10T03:18:00,40688.86,40689.01,40712.87,40686.03,62.748
43,2021-01-10T03:17:00,40689.0,40700.0,40724.23,40667.87,91.893
44,2021-01-10T03:16:00,40700.0,40721.27,40721.27,40700.0,29.939
45,2021-01-10T03:15:00,40720.91,40737.64,40737.64,40688.0,100.842
46,2021-01-10T03:14:00,40737.64,40758.52,40758.52,40707.59,97.487
47,2021-01-10T03:13:00,40758.52,40792.31,40792.32,40750.0,50.121
48,2021-01-10T03:12:00,40792.32,40767.3,40800.0,40750.9,94.545
49,2021-01-10T03:11:00,40767.3,40815.92,40825.83,40761.95,60.721
50,2021-01-10T03:10:00,40815.93,40760.06,40824.18,40747.35,127.411
51,2021-01-10T03:09:00,40760.05,40812.68,40812.69,40738.3,110.961
52,2021-01-10T03:08:00,40812.68,40806.81,40845.86,40731.5,189.725
53,2021-01-10T03:07:00,40806.82,40743.81,40848.88,40733.94,243.608
54,2021-01-10T03:06:00,40743.8,40740.11,40753.05,40721.62,74.356
55,2021-01-10T03:05:00,40740.61,40749.99,40760.0,40691.6,136.621
56,2021-01-10T03:04:00,40750.0,40727.91,40750.0,40660.01,213.965
57,2021-01-10T03:03:00,40727.91,40625.93,40760.0,40613.52,313.438
58,2021-01-10T03:02:00,40625.94,40571.09,40630.0,40569.16,172.008
59,2021-01-10T03:01:00,40571.09,40534.1,40580.0,40492.73,50.539
60,2021-01-10T03:00:00,40529.46,40493.46,40578.34,40493.46,119.987
61,2021-01-10T02:59:00,40493.46,40475.22,40500.0,40460.19,76.596
62,2021-01-10T02:58:00,40475.22,40500.81,40511.68,40470.01,33.93
63,2021-01-10T02:57:00,40500.8,40476.56,40500.81,40465.71,37.378
64,2021-01-10T02:56:00,40476.55,40519.35,40523.67,40445.79,63.512
65,2021-01-10T02:55:00,40519.35,40476.29,40533.61,40476.29,79.424
66,2021-01-10T02:54:00,40476.29,40475.72,40481.86,40443.5,46.374
67,2021-01-10T02:53:00,40475.73,40444.5,40490.0,40421.71,100.166
68,2021-01-10T02:52:00,40444.51,40534.81,40534.81,40439.0,156.202
69,2021-01-10T02:51:00,40534.82,40542.28,40580.0,40534.81,112.46
70,2021-01-10T02:50:00,40542.28,40538.67,40570.0,40532.0,51.562
71,2021-01-10T02:49:00,40538.67,40553.43,40553.43,40505.51,56.647
72,2021-01-10T02:48:00,40553.44,40566.94,40569.0,40520.0,80.421
73,2021-01-10T02:47:00,40566.94,40552.01,40585.0,40546.5,45.165
74,2021-01-10T02:46:00,40552.0,40564.67,40599.99,40541.23,101.231
75,2021-01-10T02:45:00,40571.3,40617.81,40674.26,40560.69,169.068
76,2021-01-10T02:44:00,40609.68,40537.68,40662.99,40530.67,285.405
77,2021-01-10T02:43:00,40537.68,40505.51,40539.97,40456.09,50.84
78,2021-01-10T02:42:00,40505.5,40498.22,40509.72,40498.21,17.31
79,2021-01-10T02:41:00,40503.53,40487.1,40537.0,40478.91,55.47
80,2021-01-10T02:40:00,40487.1,40505.14,40510.77,40451.37,124.323
81,2021-01-10T02:39:00,40505.13,40476.04,40525.0,40424.95,98.963
82,2021-01-10T02:38:00,40476.04,40545.27,40545.28,40470.0,50.126
83,2021-01-10T02:37:00,40549.18,40583.36,40590.0,40499.19,94.465
84,2021-01-10T02:36:00,40580.61,40557.04,40593.6,40548.81,60.43
85,2021-01-10T02:35:00,40557.04,40491.88,40570.0,40491.88,81.749
86,2021-01-10T02:34:00,40491.87,40505.3,40515.0,40454.03,79.994
87,2021-01-10T02:33:00,40504.48,40520.01,40574.6,40491.43,128.242
88,2021-01-10T02:32:00,40520.02,40460.0,40550.0,40456.76,93.354
89,2021-01-10T02:31:00,40464.6,40469.97,40485.0,40435.45,98.061
90,2021-01-10T02:30:00,40468.44,40519.18,40575.52,40468.0,115.522
91,2021-01-10T02:29:00,40521.04,40500.0,40573.77,40490.91,127.268
92,2021-01-10T02:28:00,40500.0,40442.66,40500.0,40436.11,61.744
93,2021-01-10T02:27:00,40449.36,40537.86,40538.77,40423.79,147.743
94,2021-01-10T02:26:00,40537.87,40577.03,40577.03,40497.0,86.948
95,2021-01-10T02:25:00,40577.02,40550.59,40587.51,40550.58,100.352
96,2021-01-10T02:24:00,40550.59,40585.87,40589.02,40532.62,94.598
97,2021-01-10T02:23:00,40585.86,40521.11,40589.28,40486.74,113.189
98,2021-01-10T02:22:00,40521.1,40497.98,40548.91,40489.0,70.423
99,2021-01-10T02:21:00,40497.98,40571.62,40571.62,40486.74,263.531
100,2021-01-10T02:20:00,40571.62,40567.32,40604.48,40561.5,114.829
101,2021-01-10T02:19:00,40567.32,40550.0,40570.0,40530.33,144.817
102,2021-01-10T02:18:00,40550.0,40574.09,40599.27,40550.0,100.964
103,2021-01-10T02:17:00,40572.76,40628.26,40636.26,40561.75,138.982
104,2021-01-10T02:16:00,40629.95,40588.7,40646.69,40541.2,201.576
105,2021-01-10T02:15:00,40588.71,40455.89,40616.11,40455.89,438.466
106,2021-01-10T02:14:00,40456.76,40483.21,40483.21,40409.03,155.161
107,2021-01-10T02:13:00,40483.21,40441.77,40486.16,40438.02,94.031
108,2021-01-10T02:12:00,40441.77,40469.79,40469.8,40413.58,82.229
109,2021-01-10T02:11:00,40469.8,40399.0,40477.51,40398.99,157.325
110,2021-01-10T02:10:00,40399.0,40398.57,40420.0,40384.3,112.423
111,2021-01-10T02:09:00,40398.57,40425.36,40425.36,40350.0,110.581
112,2021-01-10T02:08:00,40417.5,40429.06,40430.0,40392.31,134.715
113,2021-01-10T02:07:00,40430.0,40308.3,40470.43,40300.58,653.809
114,2021-01-10T02:06:00,40308.29,40244.52,40362.26,40240.51,295.088
115,2021-01-10T02:05:00,40246.54,40239.33,40273.41,40170.96,229.8
116,2021-01-10T02:04:00,40240.84,40265.4,40280.0,40220.84,111.317
117,2021-01-10T02:03:00,40268.68,40176.28,40280.0,40150.0,200.967
118,2021-01-10T02:02:00,40172.97,40232.39,40235.0,40135.83,212.03
119,2021-01-10T02:01:00,40235.0,40218.67,40248.42,40137.72,247.088
120,2021-01-10T02:00:00,40218.67,40071.3,40218.67,40057.6,276.514
121,2021-01-10T01:59:00,40071.32,40052.47,40099.49,40025.77,132.943
122,2021-01-10T01:58:00,40063.59,40042.02,40138.09,39940.47,529.175
123,2021-01-10T01:57:00,40046.53,40051.63,40051.64,39876.2,578.21
124,2021-01-10T01:56:00,40039.56,40077.59,40100.0,40000.0,413.005
125,2021-01-10T01:55:00,40079.37,40006.59,40137.23,39962.14,737.362
126,2021-01-10T01:54:00,40006.19,40328.87,40340.0,39850.0,1572.158
127,2021-01-10T01:53:00,40332.08,40296.41,40340.0,40252.25,113.289
128,2021-01-10T01:52:00,40296.41,40188.57,40300.0,40182.86,138.512
129,2021-01-10T01:51:00,40188.56,40235.92,40296.33,40180.0,229.941
130,2021-01-10T01:50:00,40245.11,40272.76,40327.21,40200.0,320.713
131,2021-01-10T01:49:00,40272.76,40303.26,40303.26,40203.46,293.513
132,2021-01-10T01:48:00,40303.27,40345.32,40366.59,40300.92,81.143
133,2021-01-10T01:47:00,40345.32,40410.18,40424.16,40345.32,115.166
134,2021-01-10T01:46:00,40410.15,40421.19,40440.0,40394.25,110.317
135,2021-01-10T01:45:00,40420.27,40348.04,40429.9,40337.52,109.831
136,2021-01-10T01:44:00,40344.55,40369.97,40370.0,40257.98,72.161
137,2021-01-10T01:43:00,40369.98,40299.0,40372.0,40269.61,98.711
138,2021-01-10T01:42:00,40294.36,40321.51,40321.51,40217.87,203.724
139,2021-01-10T01:41:00,40320.36,40400.61,40426.98,40306.3,118.617
140,2021-01-10T01:40:00,40403.1,40393.39,40435.29,40373.79,91.185
141,2021-01-10T01:39:00,40393.39,40408.9,40408.91,40275.0,189.773
142,2021-01-10T01:38:00,40408.91,40401.96,40435.92,40399.46,56.878
143,2021-01-10T01:37:00,40398.24,40383.83,40471.12,40381.37,109.105
144,2021-01-10T01:36:00,40383.84,40414.48,40436.74,40376.19,101.04
145,2021-01-10T01:35:00,40414.48,40469.67,40509.7,40410.87,155.842
146,2021-01-10T01:34:00,40469.65,40497.52,40502.19,40457.0,121.015
147,2021-01-10T01:33:00,40494.97,40422.56,40539.99,40415.63,221.153
148,2021-01-10T01:32:00,40422.55,40419.42,40508.0,40365.92,307.702
149,2021-01-10T01:31:00,40410.52,40306.25,40423.97,40302.34,262.068
150,2021-01-10T01:30:00,40306.48,40230.0,40319.76,40218.72,215.444
151,2021-01-10T01:29:00,40230.0,40312.62,40321.63,40156.44,398.161
152,2021-01-10T01:28:00,40307.18,40302.11,40330.0,40207.3,478.25
153,2021-01-10T01:27:00,40306.6,40387.46,40414.96,40300.0,272.206
154,2021-01-10T01:26:00,40385.7,40389.85,40446.44,40370.32,133.925
155,2021-01-10T01:25:00,40389.86,40347.26,40392.52,40343.35,97.787
156,2021-01-10T01:24:00,40350.75,40342.19,40382.21,40317.33,181.594
157,2021-01-10T01:23:00,40340.52,40344.28,40389.44,40310.0,188.13
158,2021-01-10T01:22:00,40344.28,40472.81,40480.0,40333.99,210.23
159,2021-01-10T01:21:00,40479.88,40385.24,40495.44,40319.09,653.963
160,2021-01-10T01:20:00,40385.21,40506.17,40515.3,40378.59,189.49
161,2021-01-10T01:19:00,40506.18,40526.52,40527.82,40470.04,72.517
162,2021-01-10T01:18:00,40526.43,40503.8,40526.43,40469.78,100.457
163,2021-01-10T01:17:00,40503.8,40481.19,40533.61,40473.65,69.486
164,2021-01-10T01:16:00,40481.19,40453.73,40497.92,40451.0,126.858
165,2021-01-10T01:15:00,40453.73,40471.46,40522.43,40451.0,115.978
166,2021-01-10T01:14:00,40471.01,40524.5,40540.0,40464.57,114.751
