,시간,종가,시가,고가,저가,거래량,변동폭(고가-저가),꼬리 노이즈(꼬리길이/봉길이)
0,2021-01-08T09:00:00,15.251,15.99,16.262,14.13,41229302.63,2.1319999999999997,0.65
1,2021-01-07T09:00:00,15.989,17.295,17.52,15.078,41306461.24,2.442,0.47
2,2021-01-06T09:00:00,17.29,14.537,17.366,14.158,49259450.11,3.208,0.14
3,2021-01-05T09:00:00,14.531,13.61,14.931,13.113,40608542.36,1.8179999999999996,0.49
4,2021-01-04T09:00:00,13.611,13.724,15.86,12.333,66724684.51,3.5269999999999992,0.97
5,2021-01-03T09:00:00,13.719,12.228,14.069,11.85,44451096.87,2.219000000000001,0.33
6,2021-01-02T09:00:00,12.226,11.868,12.455,11.456,25747352.18,0.9990000000000006,0.64
7,2021-01-01T09:00:00,11.869,11.244,12.485,11.071,23199628.14,1.4139999999999997,0.56
8,2020-12-31T09:00:00,11.244,11.248,11.756,10.944,18778512.86,0.8119999999999994,1.0
9,2020-12-30T09:00:00,11.248,11.779,11.99,11.071,21085878.86,0.9190000000000005,0.42
10,2020-12-29T09:00:00,11.781,12.619,13.057,10.806,33522575.32,2.2510000000000012,0.63
11,2020-12-28T09:00:00,12.62,12.172,12.974,11.979,33021138.05,0.995000000000001,0.55
12,2020-12-27T09:00:00,12.169,10.98,13.274,10.478,49945357.04,2.7959999999999994,0.57
13,2020-12-26T09:00:00,10.98,11.561,11.816,10.62,25207042.05,1.1960000000000015,0.51
14,2020-12-25T09:00:00,11.56,11.562,11.915,11.05,23552756.6,0.8649999999999984,1.0
15,2020-12-24T09:00:00,11.563,10.971,11.683,9.849,40364233.42,1.8339999999999996,0.68
16,2020-12-23T09:00:00,10.972,12.788,12.87,8.022,47463792.21,4.847999999999999,0.63
17,2020-12-22T09:00:00,12.788,12.314,12.848,11.809,18929126.96,1.0390000000000015,0.54
18,2020-12-21T09:00:00,12.317,13.064,13.287,12.082,19505156.54,1.205,0.38
19,2020-12-20T09:00:00,13.064,13.487,13.819,12.65,17512162.52,1.1690000000000005,0.64
20,2020-12-19T09:00:00,13.486,13.518,14.007,13.311,14656408.42,0.6959999999999997,0.95
21,2020-12-18T09:00:00,13.517,13.457,14.038,13.187,18652767.65,0.8510000000000009,0.93
22,2020-12-17T09:00:00,13.457,13.497,14.547,13.1,37795134.7,1.447000000000001,0.97
23,2020-12-16T09:00:00,13.498,12.693,13.519,12.313,19839160.1,1.2059999999999995,0.33
24,2020-12-15T09:00:00,12.692,12.858,13.034,12.47,10675359.81,0.5640000000000001,0.71
25,2020-12-14T09:00:00,12.858,12.942,12.991,12.322,15682282.1,0.6690000000000005,0.87
26,2020-12-13T09:00:00,12.941,12.229,13.277,12.026,17512226.03,1.2509999999999994,0.43
27,2020-12-12T09:00:00,12.228,11.645,12.358,11.603,12897473.52,0.7550000000000008,0.23
28,2020-12-11T09:00:00,11.644,11.916,11.994,11.423,16134782.51,0.5709999999999997,0.52
29,2020-12-10T09:00:00,11.916,12.616,12.671,11.855,11104064.24,0.815999999999999,0.14
30,2020-12-09T09:00:00,12.617,12.14,12.832,11.568,21962464.29,1.2640000000000011,0.62
31,2020-12-08T09:00:00,12.135,13.083,13.207,11.994,15423214.84,1.213000000000001,0.22
32,2020-12-07T09:00:00,13.082,13.52,13.574,12.88,10074465.96,0.6939999999999991,0.37
33,2020-12-06T09:00:00,13.519,13.177,13.55,12.771,13001058.02,0.7789999999999999,0.56
34,2020-12-05T09:00:00,13.177,12.685,13.357,12.53,13746693.91,0.827,0.41
35,2020-12-04T09:00:00,12.689,13.986,14.053,12.5,17842591.82,1.5530000000000008,0.16
36,2020-12-03T09:00:00,13.985,13.995,14.244,13.668,15606882.53,0.5760000000000005,0.98
37,2020-12-02T09:00:00,13.995,13.359,14.171,13.055,19765625.25,1.1159999999999997,0.43
38,2020-12-01T09:00:00,13.358,14.287,14.885,13.061,36355839.36,1.8239999999999998,0.49
39,2020-11-30T09:00:00,14.284,13.396,14.467,13.394,30242914.8,1.0730000000000004,0.17
40,2020-11-29T09:00:00,13.395,13.087,13.488,12.848,18889787.0,0.6399999999999988,0.52
41,2020-11-28T09:00:00,13.09,12.511,13.433,12.36,20781408.66,1.0730000000000004,0.46
42,2020-11-27T09:00:00,12.51,12.6,12.947,11.952,27988751.21,0.9949999999999992,0.91
43,2020-11-26T09:00:00,12.6,14.226,14.484,11.14,74641921.48,3.3439999999999994,0.51
44,2020-11-25T09:00:00,14.226,15.693,15.918,13.795,30426675.6,2.1229999999999993,0.31
45,2020-11-24T09:00:00,15.694,15.278,16.413,14.96,49938508.96,1.4529999999999994,0.71
46,2020-11-23T09:00:00,15.279,14.526,15.448,14.279,35992453.25,1.1690000000000005,0.36
47,2020-11-22T09:00:00,14.528,15.48,15.75,13.8,42454919.12,1.9499999999999993,0.51
48,2020-11-21T09:00:00,15.477,14.106,15.56,13.68,44234287.94,1.8800000000000008,0.27
49,2020-11-20T09:00:00,14.106,13.62,14.517,13.471,32701563.92,1.0459999999999994,0.54
50,2020-11-19T09:00:00,13.62,13.575,14.03,13.017,30165360.11,1.013,0.96
51,2020-11-18T09:00:00,13.573,13.426,14.394,12.51,54462879.99,1.8840000000000003,0.92
52,2020-11-17T09:00:00,13.427,12.629,13.473,12.556,32835123.79,0.9170000000000016,0.13
53,2020-11-16T09:00:00,12.628,12.123,12.825,11.991,21690526.14,0.8339999999999996,0.39
54,2020-11-15T09:00:00,12.121,12.566,12.662,11.815,18833935.23,0.8470000000000013,0.47
55,2020-11-14T09:00:00,12.565,12.867,12.938,12.316,16818505.51,0.6219999999999999,0.51
56,2020-11-13T09:00:00,12.867,12.405,13.012,12.299,26716326.22,0.713000000000001,0.35
57,2020-11-12T09:00:00,12.405,12.758,13.097,12.262,27372203.02,0.8349999999999991,0.58
58,2020-11-11T09:00:00,12.757,13.017,13.438,12.745,30859101.61,0.6930000000000014,0.62
59,2020-11-10T09:00:00,13.018,12.508,13.3,12.306,40236421.05,0.9940000000000015,0.49
60,2020-11-09T09:00:00,12.508,12.71,13.013,12.044,42897592.85,0.9689999999999994,0.79
61,2020-11-08T09:00:00,12.71,11.765,13.1,11.475,35995976.3,1.625,0.42
62,2020-11-07T09:00:00,11.766,12.172,13.741,11.45,77770982.99,2.2910000000000004,0.82
63,2020-11-06T09:00:00,12.171,10.971,12.294,10.916,37423777.89,1.3780000000000001,0.13
64,2020-11-05T09:00:00,10.971,10.469,11.271,10.077,36879942.16,1.1940000000000008,0.58
65,2020-11-04T09:00:00,10.469,10.392,10.666,9.741,33576738.1,0.9250000000000007,0.92
66,2020-11-03T09:00:00,10.394,10.779,10.782,9.953,31587442.06,0.8290000000000006,0.54
67,2020-11-02T09:00:00,10.779,11.569,11.69,10.707,27027561.19,0.9829999999999988,0.2
68,2020-11-01T09:00:00,11.57,11.222,11.59,11.015,14207461.0,0.5749999999999993,0.39
69,2020-10-31T09:00:00,11.222,11.092,11.396,10.906,17396073.25,0.4900000000000002,0.73
