,시간,종가,시가,고가,저가,거래량,변동폭(고가-저가),꼬리 노이즈(꼬리길이/봉길이)
0,2021-01-08T09:00:00,0.3206,0.3244,0.3499,0.2842,4005453426.1,0.06569999999999998,0.94
1,2021-01-07T09:00:00,0.3243,0.2491,0.3722,0.2456,7740961623.6,0.12659999999999996,0.41
2,2021-01-06T09:00:00,0.2489,0.2259,0.2744,0.2215,3038120490.3,0.052899999999999975,0.57
3,2021-01-05T09:00:00,0.2258,0.2361,0.2433,0.2155,2373323716.5,0.02779999999999999,0.63
4,2021-01-04T09:00:00,0.2361,0.2263,0.263,0.2152,3018635685.9,0.04780000000000001,0.79
5,2021-01-03T09:00:00,0.2265,0.2211,0.2402,0.2153,2172269341.4,0.024900000000000005,0.78
6,2021-01-02T09:00:00,0.221,0.2377,0.2385,0.21,2580820176.4,0.028499999999999998,0.41
7,2021-01-01T09:00:00,0.2377,0.2195,0.2516,0.2159,3969333715.9,0.03569999999999998,0.49
8,2020-12-31T09:00:00,0.2196,0.2112,0.2295,0.2046,3555598796.3,0.024900000000000005,0.66
9,2020-12-30T09:00:00,0.2113,0.2214,0.2368,0.191,6560269868.8,0.04580000000000001,0.78
10,2020-12-29T09:00:00,0.2213,0.2475,0.2528,0.1707,12899665671.3,0.08210000000000003,0.68
11,2020-12-28T09:00:00,0.2473,0.2843,0.3113,0.2326,3829241752.2,0.07870000000000002,0.53
12,2020-12-27T09:00:00,0.2844,0.2952,0.3124,0.2656,3237396553.9,0.04680000000000001,0.77
13,2020-12-26T09:00:00,0.2952,0.3178,0.3289,0.2831,4310050186.2,0.04580000000000001,0.51
14,2020-12-25T09:00:00,0.3178,0.3394,0.386,0.2759,9733465764.2,0.11010000000000003,0.8
15,2020-12-24T09:00:00,0.3394,0.2588,0.378,0.2371,10024950862.9,0.1409,0.43
16,2020-12-23T09:00:00,0.2588,0.4451,0.4473,0.2111,14985919736.8,0.23619999999999997,0.21
17,2020-12-22T09:00:00,0.4452,0.5153,0.5227,0.4012,3804407690.1,0.12150000000000005,0.42
