,시간,종가,시가,고가,저가,거래량,변동폭(고가-저가),꼬리 노이즈(꼬리길이/봉길이)
0,2021-12-25T09:00:00,547.5,542.21,550.95,539.29,529846.08,11.660000000000082,0.55
1,2021-12-24T09:00:00,542.2,548.94,554.46,537.08,819032.07,17.379999999999995,0.61
2,2021-12-23T09:00:00,548.92,533.75,552.46,524.33,938808.37,28.129999999999995,0.46
3,2021-12-22T09:00:00,533.74,528.51,545.49,527.25,854668.14,18.24000000000001,0.71
4,2021-12-21T09:00:00,528.46,523.96,536.01,517.17,784766.17,18.840000000000032,0.76
5,2021-12-20T09:00:00,523.96,529.72,534.93,506.0,892049.82,28.92999999999995,0.8
6,2021-12-19T09:00:00,529.71,533.68,544.82,527.42,687353.33,17.40000000000009,0.77
7,2021-12-18T09:00:00,533.68,525.51,537.87,516.58,748482.54,21.289999999999964,0.62
8,2021-12-17T09:00:00,525.5,526.01,536.04,510.81,1196478.07,25.22999999999996,0.98
9,2021-12-16T09:00:00,526.0,541.21,545.34,524.65,948522.62,20.690000000000055,0.26
10,2021-12-15T09:00:00,541.18,527.83,546.54,501.5,1551135.35,45.039999999999964,0.7
11,2021-12-14T09:00:00,527.86,520.77,534.9,509.78,1556236.83,25.120000000000005,0.72
12,2021-12-13T09:00:00,520.75,569.59,571.65,510.55,1397026.25,61.099999999999966,0.2
13,2021-12-12T09:00:00,569.58,564.11,574.41,558.51,718484.56,15.899999999999977,0.66
14,2021-12-11T09:00:00,564.12,551.85,572.51,541.41,1100350.28,31.100000000000023,0.61
15,2021-12-10T09:00:00,551.94,569.27,593.94,550.0,1399292.18,43.940000000000055,0.61
16,2021-12-09T09:00:00,569.26,607.05,616.68,567.29,1407982.36,49.389999999999986,0.23
17,2021-12-08T09:00:00,607.05,578.34,607.23,566.42,1363455.72,40.81000000000006,0.3
18,2021-12-07T09:00:00,578.34,586.77,592.59,571.45,1243614.83,21.139999999999986,0.6
19,2021-12-06T09:00:00,586.8,557.64,592.69,533.22,2328610.59,59.47000000000003,0.51
20,2021-12-05T09:00:00,557.65,568.07,581.63,541.1,1433343.11,40.52999999999997,0.74
21,2021-12-04T09:00:00,568.07,595.18,596.29,484.18,3061320.83,112.10999999999996,0.76
22,2021-12-03T09:00:00,595.17,620.37,628.29,570.77,1708149.77,57.51999999999998,0.56
23,2021-12-02T09:00:00,620.37,627.45,630.95,605.5,1365181.55,25.450000000000045,0.72
24,2021-12-01T09:00:00,627.45,622.65,650.75,619.23,1794699.14,31.519999999999982,0.85
25,2021-11-30T09:00:00,622.59,624.25,635.4,603.76,1794704.69,31.639999999999986,0.95
26,2021-11-29T09:00:00,624.25,611.45,629.71,602.25,1384038.91,27.460000000000036,0.53
27,2021-11-28T09:00:00,611.52,600.18,612.99,571.8,1819230.49,41.190000000000055,0.72
28,2021-11-27T09:00:00,600.19,587.65,621.16,583.9,1641391.03,37.25999999999999,0.66
29,2021-11-26T09:00:00,587.71,639.35,658.94,564.49,3394718.12,94.45000000000005,0.45
30,2021-11-25T09:00:00,639.3,590.56,647.49,587.67,1874586.4,59.82000000000005,0.19
31,2021-11-24T09:00:00,590.56,591.59,594.95,577.31,1336008.74,17.6400000000001,0.94
32,2021-11-23T09:00:00,591.6,559.78,605.7,558.16,1587689.7,47.54000000000008,0.33
33,2021-11-22T09:00:00,559.79,584.25,585.54,554.21,1335413.88,31.329999999999927,0.22
34,2021-11-21T09:00:00,584.2,604.62,605.43,580.27,931950.31,25.159999999999968,0.19
