,시간,종가,시가,고가,저가,거래량,변동폭(고가-저가),꼬리 노이즈(꼬리길이/봉길이)
0,2021-12-25T09:00:00,37.0,36.456,37.319,36.18,3459190.7,1.139000000000003,0.52
1,2021-12-24T09:00:00,36.453,37.342,37.753,35.8,4707206.2,1.953000000000003,0.54
2,2021-12-23T09:00:00,37.344,35.628,38.078,35.1,5827395.7,2.9780000000000015,0.42
3,2021-12-22T09:00:00,35.628,35.305,36.46,35.067,5673320.9,1.3930000000000007,0.77
4,2021-12-21T09:00:00,35.305,34.838,35.871,34.272,3693768.6,1.5990000000000038,0.71
5,2021-12-20T09:00:00,34.835,35.767,35.936,33.778,3803248.4,2.1580000000000013,0.57
6,2021-12-19T09:00:00,35.769,36.331,36.713,35.704,2241328.7,1.0090000000000003,0.44
7,2021-12-18T09:00:00,36.33,35.624,36.765,35.228,2816067.4,1.536999999999999,0.54
8,2021-12-17T09:00:00,35.615,37.19,39.0,35.308,5497112.9,3.692,0.57
9,2021-12-16T09:00:00,37.189,38.174,38.53,36.924,2951364.6,1.6060000000000016,0.39
10,2021-12-15T09:00:00,38.183,36.715,38.913,35.519,4786774.1,3.3939999999999984,0.57
11,2021-12-14T09:00:00,36.715,35.839,37.293,35.21,4106613.7,2.0829999999999984,0.58
12,2021-12-13T09:00:00,35.849,39.656,40.023,35.2,5436625.4,4.823,0.21
13,2021-12-12T09:00:00,39.656,40.402,40.494,38.653,2910897.0,1.841000000000001,0.59
14,2021-12-11T09:00:00,40.402,39.824,40.486,38.623,4885182.4,1.8629999999999995,0.69
15,2021-12-10T09:00:00,39.812,37.47,41.373,37.386,8977709.0,3.9869999999999948,0.41
16,2021-12-09T09:00:00,37.474,41.372,41.633,36.933,5089620.6,4.700000000000003,0.17
17,2021-12-08T09:00:00,41.373,39.137,43.6,38.771,9674510.6,4.829000000000001,0.54
18,2021-12-07T09:00:00,39.137,38.7,39.985,38.496,4638433.3,1.4889999999999972,0.71
19,2021-12-06T09:00:00,38.704,39.066,39.101,35.5,6896774.9,3.600999999999999,0.9
20,2021-12-05T09:00:00,39.058,40.977,41.734,36.786,6204829.4,4.948,0.61
21,2021-12-04T09:00:00,40.96,49.702,49.763,32.267,23861011.0,17.495999999999995,0.5
22,2021-12-03T09:00:00,49.703,53.744,53.9,47.393,5462213.0,6.506999999999998,0.38
23,2021-12-02T09:00:00,53.744,54.424,54.426,52.587,2824976.9,1.8389999999999986,0.63
24,2021-12-01T09:00:00,54.416,53.761,55.86,53.559,3844014.8,2.301000000000002,0.72
25,2021-11-30T09:00:00,53.751,54.662,55.694,53.043,4932564.0,2.6510000000000034,0.66
26,2021-11-29T09:00:00,54.663,56.456,57.216,53.849,3960964.4,3.3670000000000044,0.47
27,2021-11-28T09:00:00,56.45,57.765,57.841,52.265,6525570.1,5.5760000000000005,0.76
28,2021-11-27T09:00:00,57.758,52.798,59.508,52.559,9462759.0,6.949000000000005,0.29
