,시간,종가,시가,고가,저가,거래량,변동폭(고가-저가),꼬리 노이즈(꼬리길이/봉길이)
0,2021-12-25T09:00:00,98.213,95.745,101.0,95.002,13625187.0,5.998000000000005,0.59
1,2021-12-24T09:00:00,95.738,94.4,101.531,93.641,23141927.0,7.890000000000001,0.83
2,2021-12-23T09:00:00,94.401,85.305,95.08,84.051,25531672.0,11.028999999999996,0.18
3,2021-12-22T09:00:00,85.305,87.203,97.898,84.36,38023923.0,13.537999999999997,0.86
4,2021-12-21T09:00:00,87.2,82.046,88.8,79.365,22684910.0,9.435000000000002,0.45
5,2021-12-20T09:00:00,82.048,78.123,83.662,72.113,33909062.0,11.549000000000007,0.66
6,2021-12-19T09:00:00,78.129,74.187,78.998,72.128,18914195.0,6.8700000000000045,0.43
7,2021-12-18T09:00:00,74.178,65.563,74.499,62.313,17597331.0,12.185999999999993,0.29
8,2021-12-17T09:00:00,65.563,64.231,69.142,60.625,17812019.0,8.516999999999996,0.84
9,2021-12-16T09:00:00,64.222,61.608,68.65,60.93,17901701.0,7.720000000000006,0.66
10,2021-12-15T09:00:00,61.607,60.089,63.975,54.302,21392351.0,9.673000000000002,0.84
11,2021-12-14T09:00:00,60.097,52.921,60.648,52.02,20196853.0,8.628,0.17
12,2021-12-13T09:00:00,52.923,61.944,62.547,52.353,16019181.0,10.193999999999996,0.12
13,2021-12-12T09:00:00,61.943,60.082,62.516,57.423,11020943.0,5.092999999999996,0.63
14,2021-12-11T09:00:00,60.097,60.815,63.938,57.574,13490279.0,6.364000000000004,0.89
15,2021-12-10T09:00:00,60.8,66.411,72.022,60.345,18527497.0,11.677000000000007,0.52
16,2021-12-09T09:00:00,66.411,75.051,76.71,65.5,20059277.0,11.209999999999994,0.23
17,2021-12-08T09:00:00,75.053,68.724,75.945,65.05,18082838.0,10.894999999999996,0.42
18,2021-12-07T09:00:00,68.719,66.897,74.43,65.529,22634275.0,8.90100000000001,0.8
19,2021-12-06T09:00:00,66.912,68.15,68.349,59.7,35260178.0,8.649000000000001,0.86
20,2021-12-05T09:00:00,68.155,75.086,78.377,65.255,42682480.0,13.122,0.47
21,2021-12-04T09:00:00,75.084,63.464,78.29,48.0,47337310.0,30.290000000000006,0.62
22,2021-12-03T09:00:00,63.455,66.328,70.65,62.74,25290456.0,7.910000000000004,0.64
23,2021-12-02T09:00:00,66.323,63.989,66.578,61.276,21059062.0,5.302,0.56
24,2021-12-01T09:00:00,63.989,59.674,64.871,55.67,19332374.0,9.200999999999993,0.53
25,2021-11-30T09:00:00,59.67,51.632,60.208,50.49,24685491.0,9.717999999999996,0.17
26,2021-11-29T09:00:00,51.633,50.15,53.0,47.72,11879222.0,5.280000000000001,0.72
27,2021-11-28T09:00:00,50.133,43.892,50.261,42.063,21076765.0,8.198,0.24
28,2021-11-27T09:00:00,43.902,41.157,44.44,40.93,6237096.0,3.509999999999998,0.22
29,2021-11-26T09:00:00,41.16,43.613,45.219,37.851,17343287.0,7.368000000000002,0.67
30,2021-11-25T09:00:00,43.613,38.601,43.92,38.416,7068522.0,5.504000000000005,0.09
31,2021-11-24T09:00:00,38.604,42.773,43.08,37.835,6719856.0,5.244999999999997,0.21
32,2021-11-23T09:00:00,42.773,41.129,43.453,39.782,4997149.0,3.6710000000000065,0.55
33,2021-11-22T09:00:00,41.131,43.539,43.952,40.392,6495076.0,3.559999999999995,0.32
34,2021-11-21T09:00:00,43.53,45.25,45.429,42.609,4402084.0,2.8200000000000003,0.39
35,2021-11-20T09:00:00,45.25,42.409,45.568,41.38,5438777.0,4.187999999999995,0.32
36,2021-11-19T09:00:00,42.398,40.29,43.493,39.576,6689559.0,3.9170000000000016,0.46
37,2021-11-18T09:00:00,40.286,43.251,45.188,38.736,13161964.0,6.452000000000005,0.54
38,2021-11-17T09:00:00,43.233,43.242,43.941,40.44,8754741.0,3.5010000000000048,1.0
39,2021-11-16T09:00:00,43.234,48.177,48.186,40.51,11815703.0,7.676000000000002,0.36
40,2021-11-15T09:00:00,48.181,51.101,51.616,48.05,4132789.0,3.5660000000000025,0.18
41,2021-11-14T09:00:00,51.095,52.081,52.507,49.1,4210489.0,3.4069999999999965,0.71
42,2021-11-13T09:00:00,52.081,49.573,53.406,48.411,5818176.0,4.994999999999997,0.5
43,2021-11-12T09:00:00,49.573,50.501,50.688,47.032,7101070.0,3.656000000000006,0.75
44,2021-11-11T09:00:00,50.501,48.733,52.015,47.447,7582311.0,4.567999999999998,0.61
45,2021-11-10T09:00:00,48.735,50.27,55.017,43.399,14755347.0,11.618000000000002,0.87
46,2021-11-09T09:00:00,50.27,54.192,54.291,50.026,6783073.0,4.2649999999999935,0.08
47,2021-11-08T09:00:00,54.194,50.62,54.85,49.731,8136024.0,5.119,0.3
48,2021-11-07T09:00:00,50.619,51.239,52.727,50.363,4576649.0,2.363999999999997,0.74
49,2021-11-06T09:00:00,51.239,49.93,51.25,47.448,5323539.0,3.8019999999999996,0.66
50,2021-11-05T09:00:00,49.932,51.953,53.288,48.806,7851456.0,4.481999999999999,0.55
51,2021-11-04T09:00:00,51.954,48.026,52.265,46.1,13436468.0,6.164999999999999,0.36
52,2021-11-03T09:00:00,48.019,44.825,49.83,43.864,13889515.0,5.966000000000001,0.46
53,2021-11-02T09:00:00,44.826,44.096,45.54,42.807,6370641.0,2.732999999999997,0.73
54,2021-11-01T09:00:00,44.094,42.923,44.407,41.556,6336775.0,2.850999999999999,0.59
55,2021-10-31T09:00:00,42.922,43.363,43.696,41.186,5284120.0,2.509999999999998,0.82
56,2021-10-30T09:00:00,43.358,45.74,45.822,42.436,5112072.0,3.386000000000003,0.3
57,2021-10-29T09:00:00,45.74,42.971,46.115,42.201,8490082.0,3.9140000000000015,0.29
58,2021-10-28T09:00:00,42.974,39.94,43.718,39.537,10863246.0,4.1810000000000045,0.27
59,2021-10-27T09:00:00,39.927,43.922,44.947,37.5,20753513.0,7.447000000000003,0.46
60,2021-10-26T09:00:00,43.91,42.935,47.104,42.7,18225178.0,4.403999999999996,0.78
61,2021-10-25T09:00:00,42.934,41.435,43.869,41.248,10282244.0,2.621000000000002,0.43
62,2021-10-24T09:00:00,41.434,43.141,43.6,39.921,9465325.0,3.679000000000002,0.54
63,2021-10-23T09:00:00,43.149,43.776,44.175,41.51,11649511.0,2.664999999999999,0.76
64,2021-10-22T09:00:00,43.778,40.986,45.598,40.906,29549291.0,4.692,0.4
65,2021-10-21T09:00:00,40.985,42.697,43.746,39.0,24971494.0,4.746000000000002,0.64
66,2021-10-20T09:00:00,42.697,37.757,44.083,37.726,28554661.0,6.356999999999999,0.22
67,2021-10-19T09:00:00,37.755,35.843,38.4,35.613,9873867.0,2.786999999999999,0.31
68,2021-10-18T09:00:00,35.85,36.201,37.38,35.282,8556372.0,2.098000000000006,0.83
69,2021-10-17T09:00:00,36.197,36.671,37.447,34.865,8652668.0,2.5820000000000007,0.82
70,2021-10-16T09:00:00,36.677,37.001,38.518,36.267,9278558.0,2.2509999999999977,0.86
71,2021-10-15T09:00:00,37.009,37.19,38.047,35.672,12084533.0,2.375,0.92
72,2021-10-14T09:00:00,37.191,36.599,39.84,36.15,15097048.0,3.690000000000005,0.84
73,2021-10-13T09:00:00,36.602,37.613,38.971,35.201,13104171.0,3.769999999999996,0.73
74,2021-10-12T09:00:00,37.613,39.209,39.216,35.27,16695480.0,3.945999999999998,0.6
75,2021-10-11T09:00:00,39.199,39.255,40.785,37.523,13356364.0,3.2619999999999933,0.98
76,2021-10-10T09:00:00,39.259,42.543,43.347,38.9,10357303.0,4.447000000000003,0.26
77,2021-10-09T09:00:00,42.541,43.349,44.5,42.101,9251815.0,2.399000000000001,0.66
78,2021-10-08T09:00:00,43.345,46.582,48.555,43.059,19449960.0,5.496000000000002,0.41
79,2021-10-07T09:00:00,46.581,42.031,47.44,40.82,24170405.0,6.619999999999997,0.31
80,2021-10-06T09:00:00,42.03,44.688,44.844,40.406,19653593.0,4.438000000000002,0.4
81,2021-10-05T09:00:00,44.685,46.831,47.296,43.5,18262908.0,3.7959999999999994,0.43
82,2021-10-04T09:00:00,46.833,42.834,49.589,41.56,37243071.0,8.028999999999996,0.5
83,2021-10-03T09:00:00,42.826,41.559,46.225,41.536,29745576.0,4.689,0.73
84,2021-10-02T09:00:00,41.558,37.762,43.6,37.104,20883231.0,6.496000000000002,0.42
85,2021-10-01T09:00:00,37.758,38.838,40.165,36.5,18932146.0,3.664999999999999,0.71
86,2021-09-30T09:00:00,38.835,34.149,38.986,33.762,20969175.0,5.223999999999997,0.1
87,2021-09-29T09:00:00,34.152,33.122,36.39,32.999,15917821.0,3.3909999999999982,0.7
88,2021-09-28T09:00:00,33.122,36.765,37.231,32.909,19625822.0,4.322000000000003,0.16
89,2021-09-27T09:00:00,36.764,34.653,39.647,33.761,26817333.0,5.885999999999996,0.64
90,2021-09-26T09:00:00,34.647,37.842,37.949,33.28,20919599.0,4.668999999999997,0.32
91,2021-09-25T09:00:00,37.845,40.154,40.881,36.004,23352165.0,4.8770000000000024,0.53
92,2021-09-24T09:00:00,40.155,36.116,41.23,32.441,45500368.0,8.788999999999994,0.54
93,2021-09-23T09:00:00,36.114,33.15,36.79,32.441,27946266.0,4.348999999999997,0.32
94,2021-09-22T09:00:00,33.155,25.137,33.6,25.024,24079812.0,8.576,0.07
95,2021-09-21T09:00:00,25.137,27.519,29.513,23.89,25227059.0,5.623000000000001,0.58
96,2021-09-20T09:00:00,27.5,32.949,33.06,26.068,28869203.0,6.992000000000001,0.22
97,2021-09-19T09:00:00,32.945,34.8,36.513,31.942,14546064.0,4.570999999999998,0.59
98,2021-09-18T09:00:00,34.803,34.495,36.418,34.113,8087538.0,2.3049999999999997,0.87
99,2021-09-17T09:00:00,34.494,37.495,39.248,34.031,14287125.0,5.216999999999999,0.42
100,2021-09-16T09:00:00,37.486,36.759,39.842,35.14,18396137.0,4.701999999999998,0.85
101,2021-09-15T09:00:00,36.757,35.717,37.733,34.918,10706878.0,2.8149999999999977,0.63
102,2021-09-14T09:00:00,35.707,37.182,37.996,34.558,13478247.0,3.4380000000000024,0.57
103,2021-09-13T09:00:00,37.184,39.294,39.676,33.58,21751462.0,6.096000000000004,0.65
104,2021-09-12T09:00:00,39.286,39.213,43.55,37.781,24623417.0,5.768999999999998,0.99
105,2021-09-11T09:00:00,39.213,43.348,44.6,37.405,40353660.0,7.195,0.43
106,2021-09-10T09:00:00,43.35,30.622,44.176,30.556,84840293.0,13.620000000000001,0.07
107,2021-09-09T09:00:00,30.62,29.491,31.56,28.193,18584802.0,3.3669999999999973,0.66
108,2021-09-08T09:00:00,29.483,27.936,32.162,24.896,29213422.0,7.265999999999998,0.79
109,2021-09-07T09:00:00,27.933,32.363,32.725,20.443,32322151.0,12.282,0.64
110,2021-09-06T09:00:00,32.363,34.484,35.182,30.1,20278967.0,5.082000000000001,0.58
111,2021-09-05T09:00:00,34.489,31.431,35.411,31.111,19272064.0,4.300000000000001,0.29
112,2021-09-04T09:00:00,31.43,31.774,32.563,31.0,11448697.0,1.5630000000000024,0.78
113,2021-09-03T09:00:00,31.769,32.865,33.948,30.889,18488422.0,3.059000000000001,0.64
114,2021-09-02T09:00:00,32.865,31.791,33.948,31.372,17746051.0,2.5760000000000005,0.58
115,2021-09-01T09:00:00,31.789,31.563,32.589,30.502,19277399.0,2.0869999999999997,0.89
116,2021-08-31T09:00:00,31.562,33.465,34.483,30.501,21968002.0,3.9819999999999958,0.52
117,2021-08-30T09:00:00,33.453,33.318,36.01,32.03,26949555.0,3.979999999999997,0.97
118,2021-08-29T09:00:00,33.319,35.088,36.91,33.2,26151145.0,3.7099999999999937,0.52
119,2021-08-28T09:00:00,35.088,32.692,35.876,30.45,34396623.0,5.425999999999998,0.56
120,2021-08-27T09:00:00,32.683,26.874,32.943,26.292,37523277.0,6.650999999999996,0.13
121,2021-08-26T09:00:00,26.872,30.069,30.158,25.679,30200693.0,4.479000000000003,0.29
122,2021-08-25T09:00:00,30.072,29.619,31.287,28.376,23783803.0,2.910999999999998,0.84
123,2021-08-24T09:00:00,29.627,29.999,34.755,29.468,60584376.0,5.287000000000003,0.93
124,2021-08-23T09:00:00,30.0,28.015,30.371,27.05,22374496.0,3.320999999999998,0.4
125,2021-08-22T09:00:00,28.017,27.554,28.9,26.284,16563013.0,2.6159999999999997,0.82
126,2021-08-21T09:00:00,27.558,30.698,30.746,27.02,19974995.0,3.725999999999999,0.16
127,2021-08-20T09:00:00,30.696,29.46,31.5,28.51,28049168.0,2.9899999999999984,0.59
128,2021-08-19T09:00:00,29.467,30.732,33.543,28.717,51701317.0,4.8260000000000005,0.74
129,2021-08-18T09:00:00,30.734,25.299,31.95,22.576,58803670.0,9.373999999999999,0.42
130,2021-08-17T09:00:00,25.3,21.91,26.921,20.881,53678658.0,6.039999999999999,0.44
131,2021-08-16T09:00:00,21.916,19.31,23.985,19.161,37668621.0,4.823999999999998,0.46
132,2021-08-15T09:00:00,19.312,17.378,19.663,16.456,12002557.0,3.2070000000000007,0.4
133,2021-08-14T09:00:00,17.377,17.811,17.853,16.818,6920092.0,1.0350000000000001,0.58
134,2021-08-13T09:00:00,17.807,16.609,17.823,16.567,8569654.0,1.2560000000000002,0.05
135,2021-08-12T09:00:00,16.607,16.939,17.187,15.8,11944002.0,1.3870000000000005,0.76
136,2021-08-11T09:00:00,16.939,16.721,18.134,16.521,17723000.0,1.6129999999999995,0.86
137,2021-08-10T09:00:00,16.715,13.934,16.9,13.735,20515847.0,3.164999999999999,0.12
138,2021-08-09T09:00:00,13.934,13.411,14.383,12.958,13141633.0,1.424999999999999,0.63
139,2021-08-08T09:00:00,13.411,14.638,14.759,13.101,12775421.0,1.6579999999999995,0.26
140,2021-08-07T09:00:00,14.637,14.526,15.684,13.911,16166982.0,1.7729999999999997,0.94
141,2021-08-06T09:00:00,14.528,14.56,15.323,14.139,14705988.0,1.184000000000001,0.97
142,2021-08-05T09:00:00,14.56,14.523,15.151,13.715,21888208.0,1.436,0.97
143,2021-08-04T09:00:00,14.524,14.752,15.544,13.546,38467179.0,1.998000000000001,0.89
144,2021-08-03T09:00:00,14.755,12.318,14.898,11.633,44714809.0,3.2650000000000006,0.25
145,2021-08-02T09:00:00,12.319,11.985,12.495,11.125,19005834.0,1.3699999999999992,0.76
146,2021-08-01T09:00:00,11.992,10.74,12.227,10.512,16858486.0,1.7149999999999999,0.27
147,2021-07-31T09:00:00,10.74,10.84,11.349,10.541,11108850.0,0.8079999999999998,0.88
148,2021-07-30T09:00:00,10.842,11.04,11.122,10.029,15383645.0,1.093,0.82
149,2021-07-29T09:00:00,11.044,10.972,11.772,10.641,24390165.0,1.1310000000000002,0.94
150,2021-07-28T09:00:00,10.97,9.509,11.134,9.131,24581780.0,2.003,0.27
151,2021-07-27T09:00:00,9.511,8.505,9.603,8.052,17654731.0,1.5510000000000002,0.35
152,2021-07-26T09:00:00,8.506,8.246,9.781,8.179,24611080.0,1.6020000000000003,0.84
153,2021-07-25T09:00:00,8.248,8.481,8.527,7.766,14509735.0,0.7609999999999992,0.69
154,2021-07-24T09:00:00,8.479,7.89,8.499,7.508,16212624.0,0.9910000000000005,0.41
155,2021-07-23T09:00:00,7.89,7.327,7.93,6.864,15304469.0,1.0659999999999998,0.47
156,2021-07-22T09:00:00,7.324,6.611,7.499,6.564,17192297.0,0.9349999999999996,0.24
157,2021-07-21T09:00:00,6.608,5.863,6.78,5.676,14863267.0,1.104,0.33
158,2021-07-20T09:00:00,5.862,5.966,6.052,5.563,13706742.0,0.4889999999999999,0.79
159,2021-07-19T09:00:00,5.963,6.482,6.528,5.908,10297040.0,0.6199999999999992,0.16
160,2021-07-18T09:00:00,6.48,6.492,6.89,6.451,11254339.0,0.43900000000000006,0.97
161,2021-07-17T09:00:00,6.491,6.557,6.799,6.254,14605769.0,0.5450000000000008,0.88
162,2021-07-16T09:00:00,6.562,6.668,7.009,6.211,20102396.0,0.798,0.87
163,2021-07-15T09:00:00,6.669,6.931,7.22,6.475,18482228.0,0.7450000000000001,0.65
164,2021-07-14T09:00:00,6.931,7.118,7.45,6.58,28887062.0,0.8700000000000001,0.79
165,2021-07-13T09:00:00,7.118,7.857,8.15,6.955,20627638.0,1.1950000000000003,0.38
166,2021-07-12T09:00:00,7.857,8.436,8.564,7.52,21369040.0,1.0440000000000005,0.45
167,2021-07-11T09:00:00,8.435,7.892,8.73,7.884,27851818.0,0.8460000000000001,0.36
168,2021-07-10T09:00:00,7.888,8.098,8.6,7.45,30862594.0,1.1499999999999995,0.82
169,2021-07-09T09:00:00,8.094,6.699,8.534,6.433,50459862.0,2.101000000000001,0.34
170,2021-07-08T09:00:00,6.701,7.104,7.21,6.403,24513387.0,0.8070000000000004,0.5
171,2021-07-07T09:00:00,7.106,6.524,7.735,6.443,34298726.0,1.2920000000000007,0.55
172,2021-07-06T09:00:00,6.522,6.013,6.57,5.96,17526851.0,0.6100000000000003,0.17
173,2021-07-05T09:00:00,6.017,5.955,6.2,5.592,12036960.0,0.6080000000000005,0.9
174,2021-07-04T09:00:00,5.955,5.805,6.234,5.659,9855837.0,0.5750000000000002,0.74
175,2021-07-03T09:00:00,5.805,5.71,5.98,5.605,6475728.0,0.375,0.75
176,2021-07-02T09:00:00,5.709,5.878,6.088,5.504,10399936.0,0.5840000000000005,0.71
177,2021-07-01T09:00:00,5.875,6.567,6.581,5.707,16938642.0,0.8740000000000006,0.21
178,2021-06-30T09:00:00,6.567,6.011,6.672,5.679,21628433.0,0.9929999999999994,0.44
179,2021-06-29T09:00:00,6.01,5.538,6.328,5.4,19332477.0,0.9279999999999999,0.49
180,2021-06-28T09:00:00,5.538,5.422,5.685,5.201,11511253.0,0.484,0.76
181,2021-06-27T09:00:00,5.421,5.198,5.442,5.063,7724852.0,0.37900000000000045,0.41
182,2021-06-26T09:00:00,5.198,5.045,5.291,4.887,12221266.0,0.4040000000000008,0.62
183,2021-06-25T09:00:00,5.046,5.476,5.595,4.839,16808713.0,0.7559999999999993,0.43
184,2021-06-24T09:00:00,5.477,5.192,5.582,4.985,14883967.0,0.5969999999999995,0.52
185,2021-06-23T09:00:00,5.189,4.723,5.751,4.591,25162631.0,1.1600000000000001,0.6
186,2021-06-22T09:00:00,4.722,4.826,5.468,4.516,27699146.0,0.952,0.89
187,2021-06-21T09:00:00,4.826,5.861,5.914,4.759,18364297.0,1.1549999999999994,0.1
188,2021-06-20T09:00:00,5.862,5.723,5.9,5.367,9844830.0,0.5330000000000004,0.74
189,2021-06-19T09:00:00,5.723,5.955,6.037,5.644,9296123.0,0.3929999999999998,0.41
190,2021-06-18T09:00:00,5.952,6.159,6.599,5.683,15337717.0,0.9160000000000004,0.77
191,2021-06-17T09:00:00,6.159,6.172,6.436,6.025,8707788.0,0.4109999999999996,0.97
192,2021-06-16T09:00:00,6.173,6.582,6.582,5.96,13793413.0,0.6219999999999999,0.34
193,2021-06-15T09:00:00,6.584,6.194,6.874,6.051,19741596.0,0.8229999999999995,0.53
194,2021-06-14T09:00:00,6.197,6.055,6.337,5.818,11088106.0,0.5190000000000001,0.73
195,2021-06-13T09:00:00,6.055,5.5,6.133,5.342,10535228.0,0.7910000000000004,0.3
196,2021-06-12T09:00:00,5.499,5.559,5.877,5.164,16805803.0,0.7130000000000001,0.92
197,2021-06-11T09:00:00,5.558,6.142,6.346,5.448,16460617.0,0.8979999999999997,0.35
198,2021-06-10T09:00:00,6.142,6.014,6.47,5.562,24445706.0,0.9079999999999995,0.86
199,2021-06-09T09:00:00,6.018,5.595,6.04,5.242,19073065.0,0.798,0.47
200,2021-06-08T09:00:00,5.593,5.588,5.774,4.891,25297891.0,0.883,0.99
201,2021-06-07T09:00:00,5.589,6.251,6.654,5.496,19066965.0,1.1579999999999995,0.43
202,2021-06-06T09:00:00,6.251,6.044,6.336,6.022,11723372.0,0.31400000000000006,0.34
203,2021-06-05T09:00:00,6.044,6.38,6.907,5.75,23925193.0,1.157,0.71
204,2021-06-04T09:00:00,6.38,7.684,7.697,5.925,39764868.0,1.7720000000000002,0.26
205,2021-06-03T09:00:00,7.681,6.838,7.87,6.68,26270055.0,1.1900000000000004,0.29
206,2021-06-02T09:00:00,6.837,6.303,7.254,6.074,20771126.0,1.1799999999999997,0.55
207,2021-06-01T09:00:00,6.301,6.541,6.686,6.087,16789239.0,0.5990000000000002,0.6
208,2021-05-31T09:00:00,6.543,6.203,6.596,5.564,27025154.0,1.032,0.67
209,2021-05-30T09:00:00,6.205,5.496,6.603,5.1,25131699.0,1.5030000000000001,0.53
210,2021-05-29T09:00:00,5.495,5.907,6.15,5.091,21462857.0,1.0590000000000002,0.61
211,2021-05-28T09:00:00,5.906,6.716,6.879,5.362,34973604.0,1.5169999999999995,0.47
212,2021-05-27T09:00:00,6.714,7.339,7.346,6.411,29328854.0,0.9350000000000005,0.33
213,2021-05-26T09:00:00,7.339,6.652,7.974,6.358,44954005.0,1.6160000000000005,0.57
214,2021-05-25T09:00:00,6.65,6.642,7.05,5.174,54136192.0,1.8759999999999994,1.0
215,2021-05-24T09:00:00,6.642,4.09,7.3,4.086,88227090.0,3.2139999999999995,0.21
216,2021-05-23T09:00:00,4.09,6.583,7.109,3.911,49170624.0,3.198,0.22
217,2021-05-22T09:00:00,6.582,8.237,8.294,6.5,17416104.0,1.7940000000000005,0.08
218,2021-05-21T09:00:00,8.238,10.33,11.569,7.124,16175217.0,4.445000000000001,0.53
219,2021-05-20T09:00:00,10.337,9.466,11.8,8.054,20790277.0,3.7460000000000004,0.77
220,2021-05-19T09:00:00,9.461,15.68,15.968,6.523,18635789.0,9.445,0.34
221,2021-05-18T09:00:00,15.674,14.983,16.228,14.66,8068681.0,1.5680000000000014,0.56
222,2021-05-17T09:00:00,14.983,16.183,16.21,14.694,7688311.0,1.516,0.21
223,2021-05-16T09:00:00,16.187,15.217,17.444,15.165,10051642.0,2.279,0.57
224,2021-05-15T09:00:00,15.229,16.418,16.652,15.124,6212747.0,1.5280000000000005,0.22
225,2021-05-14T09:00:00,16.409,15.932,16.986,15.176,6984133.0,1.8100000000000005,0.74
226,2021-05-13T09:00:00,15.928,14.644,17.007,13.32,13337807.0,3.687000000000001,0.65
227,2021-05-12T09:00:00,14.688,16.336,17.962,14.321,11244244.0,3.641,0.55
228,2021-05-11T09:00:00,16.336,15.842,16.456,15.223,5274592.0,1.2329999999999988,0.6
229,2021-05-10T09:00:00,15.841,17.031,18.269,15.158,9226516.0,3.110999999999999,0.62
230,2021-05-09T09:00:00,17.032,17.023,17.54,16.65,6184756.0,0.8900000000000006,0.99
231,2021-05-08T09:00:00,17.033,16.574,17.206,16.528,5050572.0,0.6780000000000008,0.32
232,2021-05-07T09:00:00,16.574,16.783,17.02,16.44,5557923.0,0.5799999999999983,0.64
233,2021-05-06T09:00:00,16.784,17.041,17.469,16.368,7892468.0,1.1010000000000026,0.77
234,2021-05-05T09:00:00,17.041,16.297,17.575,16.237,6943850.0,1.338000000000001,0.44
235,2021-05-04T09:00:00,16.29,17.28,17.528,15.667,10102378.0,1.8609999999999989,0.47
236,2021-05-03T09:00:00,17.274,17.166,19.275,17.063,12940066.0,2.2119999999999997,0.95
237,2021-05-02T09:00:00,17.167,16.583,17.65,16.4,7884297.0,1.25,0.53
238,2021-05-01T09:00:00,16.583,16.715,16.857,16.207,4383483.0,0.6499999999999986,0.8
239,2021-04-30T09:00:00,16.714,16.285,16.991,15.7763,5633364.0,1.2146999999999988,0.65
240,2021-04-29T09:00:00,16.286,16.8326,17.0011,15.8,9850227.0,1.2011000000000003,0.54
241,2021-04-28T09:00:00,16.8238,17.7032,17.975,16.3667,10546769.0,1.6082999999999998,0.45
242,2021-04-27T09:00:00,17.7027,17.6449,19.5866,17.1228,12492064.0,2.463799999999999,0.98
243,2021-04-26T09:00:00,17.645,17.7191,18.0712,16.8363,9813879.0,1.2348999999999997,0.94
244,2021-04-25T09:00:00,17.7191,15.5893,18.92,15.53,21466608.0,3.3900000000000023,0.37
245,2021-04-24T09:00:00,15.5824,14.102,16.5498,13.5678,13176642.0,2.982000000000001,0.5
