,시간,종가,시가,고가,저가,거래량,변동폭(고가-저가),꼬리 노이즈(꼬리길이/봉길이)
0,2021-12-25T09:00:00,0.9252,0.9125,0.9345,0.8988,600733226.4,0.035699999999999954,0.64
1,2021-12-24T09:00:00,0.9126,0.9938,0.996,0.89,1374352460.0,0.10599999999999998,0.23
2,2021-12-23T09:00:00,0.9937,0.9531,1.0185,0.9361,1078985803.3,0.08239999999999992,0.51
3,2021-12-22T09:00:00,0.9531,0.9462,0.9738,0.9221,971623856.0,0.05169999999999997,0.87
4,2021-12-21T09:00:00,0.9462,0.8791,0.9606,0.8523,1158354714.3,0.10830000000000006,0.38
5,2021-12-20T09:00:00,0.879,0.8347,0.9149,0.8236,1489299634.2,0.09130000000000005,0.51
6,2021-12-19T09:00:00,0.8346,0.8261,0.8489,0.8187,446644523.2,0.030200000000000005,0.72
7,2021-12-18T09:00:00,0.8261,0.7963,0.8344,0.7904,386309934.8,0.04400000000000004,0.32
8,2021-12-17T09:00:00,0.7963,0.8047,0.8323,0.7749,603529557.2,0.05740000000000001,0.85
9,2021-12-16T09:00:00,0.8045,0.826,0.8361,0.8025,429801248.4,0.03359999999999996,0.36
10,2021-12-15T09:00:00,0.8259,0.8101,0.8396,0.7767,817708081.5,0.06290000000000007,0.75
11,2021-12-14T09:00:00,0.8101,0.7815,0.8212,0.7716,780331490.9,0.04960000000000009,0.42
12,2021-12-13T09:00:00,0.7815,0.8393,0.8444,0.76,904869244.1,0.08440000000000003,0.32
13,2021-12-12T09:00:00,0.8393,0.8388,0.857,0.8081,508539810.0,0.048899999999999944,0.99
14,2021-12-11T09:00:00,0.8388,0.7984,0.8442,0.7837,654558257.7,0.0605,0.33
15,2021-12-10T09:00:00,0.7985,0.8582,0.8829,0.791,1192495311.1,0.09189999999999998,0.35
16,2021-12-09T09:00:00,0.8582,0.8619,0.934,0.8315,1716885869.8,0.10250000000000004,0.96
17,2021-12-08T09:00:00,0.862,0.8155,0.8842,0.8022,912608032.9,0.08199999999999996,0.43
18,2021-12-07T09:00:00,0.8154,0.8252,0.8459,0.8037,614239631.6,0.042200000000000015,0.77
19,2021-12-06T09:00:00,0.8251,0.8041,0.8299,0.7475,1027076280.9,0.08239999999999992,0.75
20,2021-12-05T09:00:00,0.8041,0.8449,0.8623,0.7674,1085150217.8,0.09489999999999998,0.57
21,2021-12-04T09:00:00,0.8449,0.9212,0.9246,0.5764,2646451407.2,0.34819999999999995,0.78
22,2021-12-03T09:00:00,0.9213,0.9722,0.984,0.8854,683839452.6,0.09860000000000002,0.48
23,2021-12-02T09:00:00,0.9722,0.9906,0.9909,0.9545,432563898.5,0.03639999999999999,0.49
24,2021-12-01T09:00:00,0.9906,0.9989,1.0182,0.98,469236088.9,0.03820000000000001,0.78
25,2021-11-30T09:00:00,0.9989,0.9901,1.0301,0.97,768101941.1,0.06010000000000004,0.85
26,2021-11-29T09:00:00,0.9901,0.9686,1.0024,0.9632,603875928.0,0.03920000000000001,0.45
27,2021-11-28T09:00:00,0.9686,0.9455,0.9693,0.8779,731043457.0,0.09140000000000004,0.75
28,2021-11-27T09:00:00,0.9455,0.9392,0.9659,0.9338,406773721.6,0.03210000000000002,0.8
29,2021-11-26T09:00:00,0.9392,1.0448,1.0479,0.8836,1462883731.7,0.1643,0.36
30,2021-11-25T09:00:00,1.0447,1.0329,1.0663,1.023,531662841.5,0.043300000000000116,0.73
31,2021-11-24T09:00:00,1.0329,1.0671,1.0741,1.005,568220286.2,0.06910000000000016,0.51
32,2021-11-23T09:00:00,1.067,1.0365,1.0725,1.02,599870007.4,0.05249999999999999,0.42
33,2021-11-22T09:00:00,1.0366,1.0582,1.072,1.026,631253285.8,0.04600000000000004,0.53
34,2021-11-21T09:00:00,1.0581,1.0975,1.0988,1.055,398340231.5,0.04380000000000006,0.1
35,2021-11-20T09:00:00,1.0976,1.0903,1.1024,1.06,485487463.5,0.04239999999999999,0.83
36,2021-11-19T09:00:00,1.0903,1.0411,1.1034,1.0179,762380871.2,0.08549999999999991,0.42
37,2021-11-18T09:00:00,1.041,1.0959,1.162,1.0145,1370775805.8,0.14749999999999996,0.63
38,2021-11-17T09:00:00,1.0958,1.0881,1.1133,1.0584,794273702.8,0.05489999999999995,0.86
39,2021-11-16T09:00:00,1.0881,1.1728,1.1729,1.0332,1452970596.7,0.13970000000000016,0.39
40,2021-11-15T09:00:00,1.1729,1.1893,1.2214,1.165,631054962.1,0.056400000000000006,0.71
41,2021-11-14T09:00:00,1.1892,1.1899,1.2003,1.168,432597264.0,0.032299999999999995,0.98
42,2021-11-13T09:00:00,1.1899,1.189,1.2046,1.1668,501181067.4,0.037799999999999834,0.98
43,2021-11-12T09:00:00,1.1889,1.2151,1.234,1.1545,1016695627.6,0.0794999999999999,0.67
44,2021-11-11T09:00:00,1.2152,1.1902,1.2546,1.1764,1128190958.2,0.07820000000000005,0.68
45,2021-11-10T09:00:00,1.1903,1.2578,1.3525,1.0944,2233877998.1,0.2581,0.74
46,2021-11-09T09:00:00,1.2578,1.2832,1.29,1.2229,1101778108.4,0.06709999999999994,0.62
47,2021-11-08T09:00:00,1.2832,1.2215,1.298,1.2205,1340933285.4,0.07750000000000012,0.2
48,2021-11-07T09:00:00,1.2215,1.1517,1.2386,1.1458,808446244.3,0.0928,0.25
49,2021-11-06T09:00:00,1.1518,1.1591,1.1769,1.095,584288633.1,0.08190000000000008,0.91
50,2021-11-05T09:00:00,1.1591,1.2012,1.2022,1.13,651170697.5,0.07220000000000004,0.42
51,2021-11-04T09:00:00,1.2012,1.2114,1.2602,1.1623,1173342410.9,0.09789999999999988,0.9
52,2021-11-03T09:00:00,1.2113,1.1361,1.2374,1.127,1918949199.5,0.11040000000000005,0.32
53,2021-11-02T09:00:00,1.1361,1.0927,1.1486,1.0864,731230269.6,0.06220000000000003,0.3
54,2021-11-01T09:00:00,1.0927,1.1137,1.1337,1.0701,677670855.7,0.06359999999999988,0.67
55,2021-10-31T09:00:00,1.1135,1.0853,1.1566,1.0686,1070880986.7,0.08800000000000008,0.68
56,2021-10-30T09:00:00,1.0856,1.0834,1.118,1.0611,628368061.7,0.05690000000000017,0.96
57,2021-10-29T09:00:00,1.0833,1.0588,1.0918,1.0536,654494024.7,0.03820000000000001,0.36
58,2021-10-28T09:00:00,1.0586,0.9955,1.0813,0.9811,1334734444.5,0.10019999999999996,0.37
59,2021-10-27T09:00:00,0.9951,1.1084,1.1259,0.931,1835516022.9,0.19489999999999985,0.42
60,2021-10-26T09:00:00,1.1082,1.0958,1.1624,1.09,1132048689.7,0.07240000000000002,0.83
61,2021-10-25T09:00:00,1.0957,1.083,1.1045,1.079,444948307.4,0.025500000000000078,0.5
62,2021-10-24T09:00:00,1.083,1.0949,1.0976,1.0501,541990420.0,0.047499999999999876,0.75
63,2021-10-23T09:00:00,1.0948,1.0896,1.1029,1.077,453708448.7,0.025900000000000034,0.8
64,2021-10-22T09:00:00,1.0895,1.0893,1.13,1.0737,826110651.1,0.056299999999999795,1.0
65,2021-10-21T09:00:00,1.0894,1.1464,1.1662,1.0834,1178418735.9,0.08279999999999998,0.31
66,2021-10-20T09:00:00,1.1464,1.0922,1.1544,1.088,824214508.3,0.06640000000000001,0.18
67,2021-10-19T09:00:00,1.0923,1.0835,1.1018,1.0653,516343386.1,0.03649999999999998,0.76
