,시간,종가,시가,고가,저가,거래량
0,2021-01-20T04:00:00,23.065,23.02,23.065,23.003,1399.5
1,2021-01-20T03:59:00,23.016,22.981,23.017,22.976,3735.0
2,2021-01-20T03:58:00,22.996,23.027,23.033,22.95,11536.0
3,2021-01-20T03:57:00,23.009,23.026,23.034,23.001,1240.7
4,2021-01-20T03:56:00,23.022,23.034,23.046,23.007,1247.0
5,2021-01-20T03:55:00,23.031,23.053,23.053,23.013,433.8
6,2021-01-20T03:54:00,23.058,23.052,23.07,23.019,1652.0
7,2021-01-20T03:53:00,23.053,23.075,23.075,23.04,2517.1
8,2021-01-20T03:52:00,23.073,23.07,23.076,23.046,2561.7
9,2021-01-20T03:51:00,23.07,23.028,23.07,23.019,1317.4
10,2021-01-20T03:50:00,23.02,23.016,23.053,23.016,991.1
11,2021-01-20T03:49:00,23.004,23.024,23.03,23.004,806.5
12,2021-01-20T03:48:00,23.025,23.019,23.046,23.017,967.3
13,2021-01-20T03:47:00,23.013,23.035,23.057,22.991,1849.3
14,2021-01-20T03:46:00,23.024,23.035,23.044,23.005,1483.0
15,2021-01-20T03:45:00,23.042,23.042,23.051,23.022,1811.8
16,2021-01-20T03:44:00,23.044,23.02,23.067,23.002,2670.2
17,2021-01-20T03:43:00,23.022,23.014,23.036,23.008,1545.8
18,2021-01-20T03:42:00,23.017,23.017,23.055,23.009,4616.0
19,2021-01-20T03:41:00,23.025,23.138,23.138,22.844,58096.9
20,2021-01-20T03:40:00,23.138,23.146,23.147,23.138,127.2
21,2021-01-20T03:39:00,23.142,23.138,23.157,23.138,224.5
22,2021-01-20T03:38:00,23.138,23.151,23.159,23.138,787.2
23,2021-01-20T03:37:00,23.148,23.152,23.163,23.141,592.4
24,2021-01-20T03:36:00,23.151,23.161,23.167,23.151,479.9
25,2021-01-20T03:35:00,23.161,23.166,23.169,23.161,292.8
26,2021-01-20T03:34:00,23.172,23.161,23.177,23.161,46.1
27,2021-01-20T03:33:00,23.161,23.166,23.177,23.161,52.1
28,2021-01-20T03:32:00,23.174,23.16,23.174,23.159,235.8
29,2021-01-20T03:31:00,23.169,23.18,23.185,23.155,589.4
30,2021-01-20T03:30:00,23.181,23.181,23.191,23.178,20.4
31,2021-01-20T03:29:00,23.186,23.169,23.186,23.163,295.4
32,2021-01-20T03:28:00,23.164,23.162,23.174,23.161,146.1
33,2021-01-20T03:27:00,23.162,23.164,23.172,23.155,689.5
34,2021-01-20T03:26:00,23.172,23.166,23.181,23.161,362.0
35,2021-01-20T03:25:00,23.168,23.206,23.207,23.168,58.4
36,2021-01-20T03:24:00,23.209,23.168,23.21,23.168,815.6
37,2021-01-20T03:23:00,23.169,23.179,23.181,23.168,338.3
38,2021-01-20T03:22:00,23.169,23.176,23.195,23.162,1912.8
39,2021-01-20T03:21:00,23.176,23.207,23.207,23.169,1765.6
40,2021-01-20T03:20:00,23.207,23.222,23.225,23.197,630.1
41,2021-01-20T03:19:00,23.216,23.213,23.225,23.203,211.0
42,2021-01-20T03:18:00,23.213,23.2,23.225,23.2,796.1
43,2021-01-20T03:17:00,23.191,23.202,23.206,23.188,971.1
44,2021-01-20T03:16:00,23.209,23.211,23.211,23.2,916.7
45,2021-01-20T03:15:00,23.21,23.195,23.212,23.165,1812.1
46,2021-01-20T03:14:00,23.194,23.22,23.222,23.166,2711.3
47,2021-01-20T03:13:00,23.219,23.256,23.256,23.197,1726.8
48,2021-01-20T03:12:00,23.272,23.291,23.296,23.251,388.4
49,2021-01-20T03:11:00,23.3,23.27,23.3,23.27,656.1
50,2021-01-20T03:10:00,23.27,23.282,23.294,23.27,141.8
51,2021-01-20T03:09:00,23.281,23.284,23.293,23.27,242.3
52,2021-01-20T03:08:00,23.284,23.28,23.308,23.28,1202.9
53,2021-01-20T03:07:00,23.28,23.311,23.323,23.28,1810.3
54,2021-01-20T03:06:00,23.324,23.359,23.359,23.311,383.4
55,2021-01-20T03:05:00,23.347,23.293,23.35,23.28,1218.3
56,2021-01-20T03:04:00,23.293,23.352,23.352,23.293,939.6
57,2021-01-20T03:03:00,23.344,23.362,23.367,23.328,1070.3
58,2021-01-20T03:02:00,23.364,23.407,23.428,23.364,2547.9
59,2021-01-20T03:01:00,23.407,23.42,23.428,23.407,402.3
60,2021-01-20T03:00:00,23.418,23.475,23.475,23.405,1209.7
61,2021-01-20T02:59:00,23.475,23.484,23.496,23.475,234.6
62,2021-01-20T02:58:00,23.476,23.494,23.528,23.474,2868.2
63,2021-01-20T02:57:00,23.481,23.399,23.493,23.399,3562.1
64,2021-01-20T02:56:00,23.399,23.339,23.408,23.331,1314.7
65,2021-01-20T02:55:00,23.335,23.375,23.386,23.323,1678.8
66,2021-01-20T02:54:00,23.377,23.356,23.398,23.356,308.5
67,2021-01-20T02:53:00,23.357,23.376,23.396,23.357,515.2
68,2021-01-20T02:52:00,23.376,23.352,23.395,23.323,3140.7
69,2021-01-20T02:51:00,23.364,23.241,23.406,23.241,14323.6
70,2021-01-20T02:50:00,23.238,23.249,23.249,23.234,208.0
71,2021-01-20T02:49:00,23.246,23.243,23.246,23.223,801.0
72,2021-01-20T02:48:00,23.228,23.256,23.261,23.228,1416.4
73,2021-01-20T02:47:00,23.262,23.277,23.279,23.256,44.6
74,2021-01-20T02:46:00,23.277,23.279,23.285,23.272,307.2
75,2021-01-20T02:45:00,23.278,23.27,23.278,23.263,103.9
76,2021-01-20T02:44:00,23.255,23.269,23.269,23.255,2.9
77,2021-01-20T02:43:00,23.262,23.278,23.278,23.255,220.8
78,2021-01-20T02:42:00,23.278,23.28,23.28,23.264,13.2
79,2021-01-20T02:41:00,23.269,23.279,23.304,23.269,932.7
80,2021-01-20T02:40:00,23.276,23.262,23.282,23.262,38.8
81,2021-01-20T02:39:00,23.267,23.293,23.293,23.252,1542.5
82,2021-01-20T02:38:00,23.291,23.324,23.326,23.278,648.3
83,2021-01-20T02:37:00,23.321,23.267,23.321,23.266,2773.2
