,시간,종가,시가,고가,저가,거래량
0,2021-01-20T04:00:00,21.074,20.996,21.089,20.953,43179.66
1,2021-01-20T03:59:00,20.999,20.943,21.036,20.848,95077.06
2,2021-01-20T03:58:00,20.942,21.151,21.184,20.757,280020.24
3,2021-01-20T03:57:00,21.152,21.173,21.179,21.11,77483.37
4,2021-01-20T03:56:00,21.173,21.239,21.239,21.142,96566.05
5,2021-01-20T03:55:00,21.238,21.282,21.29,21.22,13804.89
6,2021-01-20T03:54:00,21.282,21.277,21.314,21.234,30452.11
7,2021-01-20T03:53:00,21.281,21.37,21.37,21.275,23859.46
8,2021-01-20T03:52:00,21.367,21.398,21.401,21.354,21052.13
9,2021-01-20T03:51:00,21.398,21.262,21.398,21.248,28495.57
10,2021-01-20T03:50:00,21.264,21.219,21.309,21.205,30251.74
11,2021-01-20T03:49:00,21.218,21.26,21.263,21.2,56178.5
12,2021-01-20T03:48:00,21.268,21.348,21.359,21.243,106191.35
13,2021-01-20T03:47:00,21.342,21.378,21.41,21.317,20189.16
14,2021-01-20T03:46:00,21.378,21.409,21.423,21.333,58248.25
15,2021-01-20T03:45:00,21.41,21.447,21.447,21.4,26123.34
16,2021-01-20T03:44:00,21.44,21.427,21.467,21.4,31213.39
17,2021-01-20T03:43:00,21.426,21.436,21.457,21.411,18516.45
18,2021-01-20T03:42:00,21.436,21.47,21.481,21.409,25198.18
19,2021-01-20T03:41:00,21.468,21.498,21.518,21.465,13749.85
20,2021-01-20T03:40:00,21.496,21.58,21.58,21.494,17418.07
21,2021-01-20T03:39:00,21.579,21.486,21.589,21.486,23188.79
22,2021-01-20T03:38:00,21.485,21.509,21.514,21.471,4286.48
23,2021-01-20T03:37:00,21.515,21.519,21.523,21.492,10300.18
24,2021-01-20T03:36:00,21.522,21.541,21.558,21.502,21719.19
25,2021-01-20T03:35:00,21.537,21.543,21.56,21.531,6023.9
26,2021-01-20T03:34:00,21.543,21.543,21.558,21.529,5960.89
27,2021-01-20T03:33:00,21.544,21.545,21.578,21.53,8915.38
28,2021-01-20T03:32:00,21.545,21.547,21.571,21.53,9101.62
29,2021-01-20T03:31:00,21.548,21.575,21.575,21.542,11423.87
30,2021-01-20T03:30:00,21.576,21.574,21.586,21.568,6488.25
31,2021-01-20T03:29:00,21.569,21.567,21.58,21.549,8967.62
32,2021-01-20T03:28:00,21.571,21.525,21.578,21.502,7748.31
33,2021-01-20T03:27:00,21.522,21.551,21.552,21.5,12667.33
34,2021-01-20T03:26:00,21.55,21.527,21.578,21.51,11385.0
35,2021-01-20T03:25:00,21.527,21.539,21.601,21.527,25317.47
36,2021-01-20T03:24:00,21.541,21.497,21.546,21.494,10818.82
37,2021-01-20T03:23:00,21.497,21.484,21.527,21.45,21396.5
38,2021-01-20T03:22:00,21.49,21.517,21.53,21.467,29959.4
39,2021-01-20T03:21:00,21.516,21.614,21.614,21.5,48301.42
40,2021-01-20T03:20:00,21.618,21.664,21.664,21.588,14398.48
41,2021-01-20T03:19:00,21.667,21.622,21.674,21.622,9415.95
42,2021-01-20T03:18:00,21.622,21.67,21.67,21.599,27598.6
43,2021-01-20T03:17:00,21.67,21.666,21.687,21.648,13784.57
44,2021-01-20T03:16:00,21.674,21.613,21.694,21.603,19216.0
45,2021-01-20T03:15:00,21.614,21.637,21.637,21.553,47030.0
46,2021-01-20T03:14:00,21.633,21.637,21.647,21.597,48559.77
47,2021-01-20T03:13:00,21.642,21.666,21.677,21.615,59778.08
48,2021-01-20T03:12:00,21.665,21.749,21.749,21.657,29843.75
49,2021-01-20T03:11:00,21.749,21.734,21.75,21.73,6001.69
50,2021-01-20T03:10:00,21.733,21.782,21.782,21.73,3476.2
51,2021-01-20T03:09:00,21.782,21.792,21.799,21.767,4902.49
52,2021-01-20T03:08:00,21.787,21.746,21.792,21.744,9937.81
53,2021-01-20T03:07:00,21.751,21.799,21.799,21.746,12141.52
54,2021-01-20T03:06:00,21.8,21.798,21.8,21.75,14198.23
55,2021-01-20T03:05:00,21.796,21.732,21.808,21.727,19747.1
56,2021-01-20T03:04:00,21.735,21.805,21.805,21.732,25466.96
57,2021-01-20T03:03:00,21.811,21.837,21.837,21.769,28437.05
58,2021-01-20T03:02:00,21.838,21.853,21.853,21.831,4762.2
59,2021-01-20T03:01:00,21.853,21.823,21.867,21.817,6088.04
60,2021-01-20T03:00:00,21.824,21.881,21.882,21.819,9131.89
61,2021-01-20T02:59:00,21.88,21.873,21.894,21.871,3917.43
62,2021-01-20T02:58:00,21.874,21.889,21.896,21.859,7812.64
63,2021-01-20T02:57:00,21.887,21.85,21.89,21.844,8517.9
64,2021-01-20T02:56:00,21.851,21.846,21.898,21.846,6202.84
65,2021-01-20T02:55:00,21.852,21.866,21.881,21.838,6352.71
66,2021-01-20T02:54:00,21.859,21.85,21.884,21.843,11425.62
67,2021-01-20T02:53:00,21.85,21.88,21.906,21.826,14592.24
68,2021-01-20T02:52:00,21.877,21.82,21.88,21.811,12676.13
69,2021-01-20T02:51:00,21.818,21.808,21.858,21.795,16462.05
70,2021-01-20T02:50:00,21.809,21.804,21.839,21.791,6919.9
71,2021-01-20T02:49:00,21.803,21.846,21.848,21.758,48964.48
72,2021-01-20T02:48:00,21.848,21.895,21.906,21.837,17740.43
73,2021-01-20T02:47:00,21.895,21.883,21.921,21.872,26806.8
74,2021-01-20T02:46:00,21.883,21.908,21.944,21.88,15544.84
75,2021-01-20T02:45:00,21.909,21.932,21.95,21.892,21304.49
76,2021-01-20T02:44:00,21.936,21.887,21.937,21.881,10483.09
77,2021-01-20T02:43:00,21.888,21.908,21.937,21.885,9731.4
78,2021-01-20T02:42:00,21.903,21.913,21.938,21.9,14101.5
79,2021-01-20T02:41:00,21.916,21.908,21.956,21.901,15192.49
80,2021-01-20T02:40:00,21.91,21.869,21.91,21.869,13039.56
81,2021-01-20T02:39:00,21.869,21.904,21.912,21.836,22183.65
82,2021-01-20T02:38:00,21.904,21.906,21.938,21.886,28524.1
83,2021-01-20T02:37:00,21.908,21.977,21.988,21.851,25823.87
84,2021-01-20T02:36:00,21.977,21.885,21.981,21.876,11817.09
85,2021-01-20T02:35:00,21.89,21.87,21.918,21.87,12735.19
86,2021-01-20T02:34:00,21.867,21.877,21.897,21.85,10394.26
87,2021-01-20T02:33:00,21.879,21.972,21.985,21.851,25844.54
88,2021-01-20T02:32:00,21.977,21.947,21.994,21.923,40708.24
89,2021-01-20T02:31:00,21.945,21.846,21.946,21.846,29753.1
90,2021-01-20T02:30:00,21.85,21.774,21.85,21.762,19131.81
91,2021-01-20T02:29:00,21.784,21.804,21.813,21.753,19602.14
92,2021-01-20T02:28:00,21.803,21.833,21.839,21.798,5279.22
93,2021-01-20T02:27:00,21.838,21.809,21.839,21.797,8638.36
94,2021-01-20T02:26:00,21.81,21.787,21.814,21.787,4150.17
95,2021-01-20T02:25:00,21.783,21.796,21.811,21.781,15065.24
96,2021-01-20T02:24:00,21.798,21.788,21.817,21.781,15843.0
97,2021-01-20T02:23:00,21.786,21.791,21.811,21.774,7259.04
98,2021-01-20T02:22:00,21.789,21.792,21.816,21.782,8508.76
99,2021-01-20T02:21:00,21.795,21.798,21.811,21.775,7204.1
100,2021-01-20T02:20:00,21.802,21.805,21.808,21.767,8626.28
101,2021-01-20T02:19:00,21.802,21.789,21.816,21.779,8389.58
102,2021-01-20T02:18:00,21.788,21.8,21.82,21.772,11982.29
103,2021-01-20T02:17:00,21.799,21.819,21.828,21.799,11822.79
104,2021-01-20T02:16:00,21.819,21.786,21.82,21.766,8298.99
105,2021-01-20T02:15:00,21.786,21.776,21.82,21.775,19192.34
106,2021-01-20T02:14:00,21.775,21.786,21.789,21.763,6660.64
107,2021-01-20T02:13:00,21.781,21.743,21.789,21.743,10440.34
108,2021-01-20T02:12:00,21.745,21.765,21.769,21.708,8778.24
