,시간,종가,시가,고가,저가,거래량
0,2021-01-20T04:00:00,157.19,156.5,157.2,156.36,4535.379
1,2021-01-20T03:59:00,156.48,156.52,156.77,156.39,1954.774
2,2021-01-20T03:58:00,156.55,157.02,157.14,156.34,2727.356
3,2021-01-20T03:57:00,156.97,156.59,157.06,156.4,1816.261
4,2021-01-20T03:56:00,156.63,156.5,157.14,156.31,4977.126
5,2021-01-20T03:55:00,156.5,157.14,157.16,156.19,4694.713
6,2021-01-20T03:54:00,157.15,157.0,157.2,156.63,2860.055
7,2021-01-20T03:53:00,156.99,157.68,157.69,156.91,2301.21
8,2021-01-20T03:52:00,157.69,157.61,157.71,157.32,2370.797
9,2021-01-20T03:51:00,157.55,157.16,157.63,156.94,3685.476
10,2021-01-20T03:50:00,157.16,156.6,157.35,156.56,5605.594
11,2021-01-20T03:49:00,156.56,157.0,157.0,156.5,6017.638
12,2021-01-20T03:48:00,157.03,157.05,157.37,156.92,3822.712
13,2021-01-20T03:47:00,157.0,157.27,157.72,156.91,4980.487
14,2021-01-20T03:46:00,157.27,157.32,157.49,156.96,5556.315
15,2021-01-20T03:45:00,157.32,157.81,157.88,157.04,4056.982
16,2021-01-20T03:44:00,157.79,157.52,158.13,156.72,13379.769
17,2021-01-20T03:43:00,157.54,157.62,157.9,157.47,3038.904
18,2021-01-20T03:42:00,157.63,157.74,157.87,157.5,5140.24
19,2021-01-20T03:41:00,157.73,158.1,158.14,157.73,5758.486
20,2021-01-20T03:40:00,158.1,158.64,158.64,158.09,2818.845
21,2021-01-20T03:39:00,158.64,158.27,158.65,158.25,1814.018
22,2021-01-20T03:38:00,158.26,158.42,158.46,158.17,1477.5
23,2021-01-20T03:37:00,158.41,158.42,158.59,158.33,1703.769
24,2021-01-20T03:36:00,158.42,158.79,158.82,158.27,2477.424
25,2021-01-20T03:35:00,158.74,158.56,158.87,158.43,2816.441
26,2021-01-20T03:34:00,158.56,158.88,158.88,158.47,1393.349
27,2021-01-20T03:33:00,158.85,158.77,158.97,158.76,1604.18
28,2021-01-20T03:32:00,158.76,158.81,158.95,158.69,1520.607
29,2021-01-20T03:31:00,158.81,159.04,159.04,158.76,1527.738
30,2021-01-20T03:30:00,159.04,158.96,159.19,158.96,1791.147
31,2021-01-20T03:29:00,158.97,159.17,159.18,158.93,1651.737
32,2021-01-20T03:28:00,159.17,158.96,159.23,158.87,1928.82
33,2021-01-20T03:27:00,158.98,159.15,159.18,158.75,2250.835
34,2021-01-20T03:26:00,159.18,158.73,159.41,158.69,3346.761
35,2021-01-20T03:25:00,158.73,158.69,159.19,158.62,3045.372
36,2021-01-20T03:24:00,158.69,158.82,158.93,158.61,4448.384
37,2021-01-20T03:23:00,158.82,158.77,159.37,158.62,6428.623
38,2021-01-20T03:22:00,158.78,158.63,158.78,158.03,7761.054
39,2021-01-20T03:21:00,158.63,159.12,159.12,158.5,5176.951
40,2021-01-20T03:20:00,159.13,159.53,159.54,159.05,2359.302
