,시간,종가,시가,고가,저가,거래량,변동폭(고가-저가),꼬리 노이즈(꼬리길이/봉길이)
0,2021-01-18T09:00:00,0.37169,0.38082,0.3981,0.36426,798240774.0,0.03384000000000004,0.73
1,2021-01-17T09:00:00,0.38074,0.35128,0.39849,0.3408,1674206543.0,0.05769000000000002,0.49
2,2021-01-16T09:00:00,0.35125,0.30213,0.36936,0.3021,1310375588.0,0.06726000000000004,0.27
3,2021-01-15T09:00:00,0.30207,0.3125,0.33294,0.27731,958099123.0,0.05563000000000001,0.81
4,2021-01-14T09:00:00,0.3124,0.31256,0.32559,0.2965,700999375.0,0.029090000000000005,0.99
5,2021-01-13T09:00:00,0.31246,0.28919,0.316,0.27125,822559877.0,0.04475000000000001,0.48
6,2021-01-12T09:00:00,0.28929,0.27584,0.31559,0.26295,1231461927.0,0.052639999999999965,0.74
7,2021-01-11T09:00:00,0.27584,0.30185,0.30427,0.22938,1675029700.0,0.07488999999999998,0.65
8,2021-01-10T09:00:00,0.30187,0.3312,0.3423,0.28,1054957535.0,0.062299999999999967,0.53
9,2021-01-09T09:00:00,0.3312,0.30431,0.33898,0.29614,853182433.0,0.04283999999999999,0.37
10,2021-01-08T09:00:00,0.30429,0.29971,0.32357,0.26395,1536358960.0,0.059620000000000006,0.92
11,2021-01-07T09:00:00,0.29961,0.33317,0.356,0.27802,1598362034.0,0.07798,0.57
12,2021-01-06T09:00:00,0.3331,0.2586,0.34757,0.25305,2235795095.0,0.09451999999999999,0.21
13,2021-01-05T09:00:00,0.2585,0.22524,0.26438,0.20699,1706453485.0,0.05739,0.42
14,2021-01-04T09:00:00,0.22524,0.20674,0.241,0.19127,1986736544.0,0.049729999999999996,0.63
15,2021-01-03T09:00:00,0.2067,0.17758,0.21059,0.1727,1533085381.0,0.03789000000000001,0.23
16,2021-01-02T09:00:00,0.17759,0.17526,0.18516,0.16828,781281611.0,0.01687999999999998,0.86
17,2021-01-01T09:00:00,0.17517,0.18158,0.1851,0.16999,654388233.0,0.015109999999999985,0.58
18,2020-12-31T09:00:00,0.18153,0.18405,0.18675,0.17395,599868781.0,0.012800000000000006,0.8
19,2020-12-30T09:00:00,0.18411,0.19097,0.19411,0.1753,859626775.0,0.018809999999999993,0.64
20,2020-12-29T09:00:00,0.191,0.17656,0.19771,0.17326,2076062748.0,0.02445,0.41
