,시간,종가,시가,고가,저가,거래량,변동폭(고가-저가),꼬리 노이즈(꼬리길이/봉길이)
0,2021-01-18T09:00:00,45.442,45.861,46.967,44.145,3761963.01,2.8219999999999956,0.85
1,2021-01-17T09:00:00,45.857,43.169,46.784,41.0,5321151.21,5.783999999999999,0.54
2,2021-01-16T09:00:00,43.171,40.882,44.226,40.689,4005216.95,3.536999999999999,0.35
3,2021-01-15T09:00:00,40.88,41.912,42.69,38.696,3622510.35,3.9939999999999998,0.74
4,2021-01-14T09:00:00,41.911,40.208,42.039,39.68,3023256.98,2.3590000000000018,0.28
5,2021-01-13T09:00:00,40.192,38.274,40.512,37.0,3655018.8,3.5120000000000005,0.45
6,2021-01-12T09:00:00,38.275,38.114,39.998,37.135,3873565.39,2.8629999999999995,0.94
7,2021-01-11T09:00:00,38.104,42.394,42.464,35.13,7471566.19,7.333999999999996,0.42
8,2021-01-10T09:00:00,42.399,43.911,45.2,39.786,4438160.76,5.4140000000000015,0.72
9,2021-01-09T09:00:00,43.907,42.403,44.301,41.52,3048897.77,2.780999999999999,0.46
10,2021-01-08T09:00:00,42.394,43.566,43.69,40.054,4283914.41,3.6359999999999957,0.68
11,2021-01-07T09:00:00,43.57,42.286,44.928,41.3,4664178.86,3.628,0.65
12,2021-01-06T09:00:00,42.288,41.806,42.328,40.53,3385263.29,1.7980000000000018,0.73
13,2021-01-05T09:00:00,41.799,41.126,41.807,38.844,4157283.5,2.963000000000001,0.77
14,2021-01-04T09:00:00,41.142,41.301,43.646,38.011,6603696.97,5.634999999999998,0.97
15,2021-01-03T09:00:00,41.3,38.271,41.906,37.838,5731756.14,4.067999999999998,0.26
16,2021-01-02T09:00:00,38.271,37.795,39.06,36.79,2789507.96,2.270000000000003,0.79
17,2021-01-01T09:00:00,37.795,37.4,39.082,37.0,2613623.24,2.0820000000000007,0.81
18,2020-12-31T09:00:00,37.386,38.209,38.28,36.67,1803543.66,1.6099999999999994,0.49
19,2020-12-30T09:00:00,38.224,39.127,39.355,36.852,2447370.68,2.503,0.64
20,2020-12-29T09:00:00,39.122,36.023,39.5,35.372,7250595.49,4.128,0.25
21,2020-12-28T09:00:00,36.026,33.68,36.268,33.352,4737639.14,2.916000000000004,0.2
22,2020-12-27T09:00:00,33.676,33.641,35.132,31.792,4249254.43,3.3399999999999963,0.99
23,2020-12-26T09:00:00,33.638,33.235,34.106,32.578,2918075.41,1.5279999999999987,0.74
24,2020-12-25T09:00:00,33.231,32.525,33.532,31.745,2648964.1,1.7869999999999955,0.6
25,2020-12-24T09:00:00,32.504,31.161,32.776,30.354,3172919.14,2.422000000000004,0.45
26,2020-12-23T09:00:00,31.159,33.527,34.5,29.8,5435106.02,4.699999999999999,0.5
27,2020-12-22T09:00:00,33.527,32.13,33.858,30.5,4476925.13,3.357999999999997,0.58
28,2020-12-21T09:00:00,32.13,34.297,35.695,31.5,7192550.36,4.195,0.48
29,2020-12-20T09:00:00,34.29,33.346,35.7,32.6,6599639.99,3.1000000000000014,0.7
30,2020-12-19T09:00:00,33.337,31.0,34.356,30.931,5468744.51,3.4250000000000007,0.32
31,2020-12-18T09:00:00,31.0,30.238,31.26,29.638,1958227.68,1.6219999999999999,0.53
32,2020-12-17T09:00:00,30.237,30.564,31.634,29.746,3996558.39,1.8880000000000017,0.83
33,2020-12-16T09:00:00,30.563,29.471,30.67,29.035,2173014.46,1.6350000000000016,0.33
34,2020-12-15T09:00:00,29.47,30.04,30.335,29.305,1372204.44,1.0300000000000011,0.45
35,2020-12-14T09:00:00,30.031,29.185,30.194,28.69,2027509.43,1.5039999999999978,0.44
36,2020-12-13T09:00:00,29.182,28.163,29.323,28.023,1386617.61,1.3000000000000007,0.22
37,2020-12-12T09:00:00,28.162,27.359,28.235,27.283,1029509.45,0.9519999999999982,0.16
38,2020-12-11T09:00:00,27.356,27.699,27.784,26.747,1219804.25,1.036999999999999,0.67
39,2020-12-10T09:00:00,27.7,28.145,28.243,27.422,1036482.54,0.820999999999998,0.46
40,2020-12-09T09:00:00,28.152,27.682,28.398,26.932,1476065.49,1.466000000000001,0.68
41,2020-12-08T09:00:00,27.687,29.384,29.488,27.453,1961246.58,2.035,0.17
42,2020-12-07T09:00:00,29.38,29.508,29.668,29.09,1053377.07,0.5779999999999994,0.78
43,2020-12-06T09:00:00,29.499,29.73,30.162,29.057,1398524.3,1.1050000000000004,0.79
44,2020-12-05T09:00:00,29.74,29.04,30.041,28.682,1626331.61,1.3590000000000018,0.48
45,2020-12-04T09:00:00,29.039,30.72,31.16,28.757,2403792.7,2.4029999999999987,0.3
46,2020-12-03T09:00:00,30.721,30.286,30.859,29.884,1656800.75,0.9750000000000014,0.55
47,2020-12-02T09:00:00,30.278,30.205,30.993,29.504,2308003.41,1.4889999999999972,0.95
48,2020-12-01T09:00:00,30.206,31.54,32.0,29.164,4032903.5,2.8359999999999985,0.53
