,시간,종가,시가,고가,저가,거래량,변동폭(고가-저가),꼬리 노이즈(꼬리길이/봉길이)
0,2021-01-18T09:00:00,36686.86,35875.72,37547.94,34808.47,253386.703,2739.470000000001,0.7
1,2021-01-17T09:00:00,35869.83,36025.65,36898.0,33863.5,287686.129,3034.5,0.95
2,2021-01-16T09:00:00,36025.66,36755.25,38000.0,35366.0,301102.477,2634.0,0.72
3,2021-01-15T09:00:00,36755.24,39163.31,39790.0,34478.0,437610.113,5312.0,0.55
4,2021-01-14T09:00:00,39163.31,37416.34,40189.39,36764.33,353142.386,3425.0599999999977,0.49
5,2021-01-13T09:00:00,37421.07,34065.53,37880.0,32420.0,398188.088,5460.0,0.39
6,2021-01-12T09:00:00,34056.9,35406.92,36693.44,32600.0,449065.693,4093.4400000000023,0.67
7,2021-01-11T09:00:00,35408.46,38200.01,38322.18,30448.0,906275.651,7874.18,0.65
8,2021-01-10T09:00:00,38221.67,40136.05,41412.12,35268.0,436759.048,6144.120000000003,0.69
9,2021-01-09T09:00:00,40136.04,40638.91,41539.88,38733.28,260882.805,2806.5999999999985,0.82
10,2021-01-08T09:00:00,40637.23,39498.32,42125.51,36539.77,518080.826,5585.740000000005,0.8
11,2021-01-07T09:00:00,39498.92,36825.77,40565.62,36337.36,520147.908,4228.260000000002,0.37
12,2021-01-06T09:00:00,36823.68,33999.51,37037.51,33356.46,444019.83,3681.050000000003,0.23
13,2021-01-05T09:00:00,33999.52,32029.55,34500.0,29900.0,433720.833,4600.0,0.57
14,2021-01-04T09:00:00,32031.07,33053.93,33653.56,27800.0,506128.023,5853.559999999998,0.83
15,2021-01-03T09:00:00,33054.53,32198.41,34832.25,32000.02,487486.989,2832.2299999999996,0.7
16,2021-01-02T09:00:00,32199.91,29337.15,33480.0,28958.24,545541.08,4521.759999999998,0.37
17,2021-01-01T09:00:00,29337.16,28948.19,29668.86,28627.12,210716.398,1041.7400000000016,0.63
18,2020-12-31T09:00:00,28951.68,28906.99,29376.7,27848.0,313648.835,1528.7000000000007,0.97
19,2020-12-30T09:00:00,28906.99,27402.83,29063.72,27401.0,374737.655,1662.7200000000012,0.1
20,2020-12-29T09:00:00,27402.83,27101.45,27441.73,25913.01,260759.449,1528.7200000000012,0.8
21,2020-12-28T09:00:00,27102.66,26301.76,27538.82,26117.1,267563.468,1421.7200000000012,0.44
22,2020-12-27T09:00:00,26305.64,26508.84,28459.84,25850.0,540264.148,2609.84,0.92
23,2020-12-26T09:00:00,26508.83,24729.99,26926.0,24507.24,367265.555,2418.7599999999984,0.26
24,2020-12-25T09:00:00,24730.0,23738.75,24827.64,23450.0,284523.431,1377.6399999999994,0.28
25,2020-12-24T09:00:00,23737.44,23237.73,23819.81,22700.0,237754.257,1119.8100000000013,0.55
26,2020-12-23T09:00:00,23238.27,23826.74,24235.42,22572.52,394754.939,1662.8999999999978,0.65
27,2020-12-22T09:00:00,23826.99,22736.05,23850.0,22387.0,326124.313,1463.0,0.25
28,2020-12-21T09:00:00,22730.1,23472.96,24145.0,21920.0,476456.589,2225.0,0.67
29,2020-12-20T09:00:00,23472.96,23847.28,24376.0,23076.25,322289.774,1299.75,0.71
30,2020-12-19T09:00:00,23847.28,23124.35,24281.61,22735.81,337535.438,1545.7999999999993,0.53
31,2020-12-18T09:00:00,23124.35,22816.99,23330.0,22363.94,305997.222,966.0600000000013,0.68
32,2020-12-17T09:00:00,22816.99,21346.81,23888.04,21231.5,823435.821,2656.540000000001,0.45
33,2020-12-16T09:00:00,21346.8,19424.9,21600.0,19274.55,459302.012,2325.4500000000007,0.17
34,2020-12-15T09:00:00,19424.91,19270.71,19598.0,19039.64,248744.054,558.3600000000006,0.72
35,2020-12-14T09:00:00,19270.7,19175.06,19355.35,19004.72,181555.823,350.6299999999974,0.73
36,2020-12-13T09:00:00,19175.07,18800.0,19432.0,18705.46,239760.089,726.5400000000009,0.48
37,2020-12-12T09:00:00,18800.0,18031.71,18950.0,18012.21,196962.282,937.7900000000009,0.18
38,2020-12-11T09:00:00,18031.47,18254.0,18290.44,17555.0,317866.07,735.4399999999987,0.7
39,2020-12-10T09:00:00,18253.51,18537.97,18550.0,17916.0,233960.241,634.0,0.55
40,2020-12-09T09:00:00,18537.98,18319.33,18639.7,17650.0,353123.689,989.7000000000007,0.78
41,2020-12-08T09:00:00,18319.32,19172.87,19319.38,18133.33,280714.132,1186.0499999999993,0.28
42,2020-12-07T09:00:00,19172.88,19375.0,19446.36,18908.66,169402.371,537.7000000000007,0.62
43,2020-12-06T09:00:00,19375.02,19147.63,19449.1,18855.35,176004.606,593.75,0.62
44,2020-12-05T09:00:00,19147.62,18662.72,19203.46,18510.0,165912.647,693.4599999999991,0.3
45,2020-12-04T09:00:00,18664.2,19432.66,19537.16,18570.0,276271.939,967.1599999999999,0.21
46,2020-12-03T09:00:00,19434.3,19207.01,19640.0,18865.0,245020.576,775.0,0.71
47,2020-12-02T09:00:00,19207.01,18770.33,19365.0,18329.58,335717.482,1035.4199999999983,0.58
48,2020-12-01T09:00:00,18772.7,19722.09,19956.0,18050.0,553885.333,1906.0,0.5
49,2020-11-30T09:00:00,19720.0,18180.43,19944.0,18178.82,500482.574,1765.1800000000003,0.13
50,2020-11-29T09:00:00,18181.09,17717.74,18343.0,17523.0,256024.006,820.0,0.43
51,2020-11-28T09:00:00,17717.74,17144.11,17880.0,16865.78,268833.749,1014.2200000000012,0.43
52,2020-11-27T09:00:00,17144.1,17155.37,17465.0,16444.83,398072.933,1020.1699999999983,0.99
53,2020-11-26T09:00:00,17155.34,18741.66,18940.69,16181.0,850692.856,2759.6899999999987,0.43
54,2020-11-25T09:00:00,18741.67,19178.53,19554.19,18509.12,426276.99,1045.0699999999997,0.58
55,2020-11-24T09:00:00,19179.64,18382.07,19440.0,18000.0,477968.289,1440.0,0.45
56,2020-11-23T09:00:00,18382.07,18434.17,18812.65,18013.97,364221.378,798.6800000000003,0.93
57,2020-11-22T09:00:00,18435.2,18721.99,18780.0,17645.98,373779.417,1134.0200000000004,0.75
58,2020-11-21T09:00:00,18721.99,18662.85,18986.0,18302.08,342412.49,683.9199999999983,0.91
59,2020-11-20T09:00:00,18664.31,17811.68,18831.6,17748.92,407926.802,1082.6800000000003,0.21
60,2020-11-19T09:00:00,17811.68,17788.32,18200.0,17347.27,406500.977,852.7299999999996,0.97
61,2020-11-18T09:00:00,17788.32,17670.01,18520.0,17215.03,732937.097,1304.9700000000012,0.91
62,2020-11-17T09:00:00,17670.01,16707.0,17890.1,16550.0,524094.697,1340.0999999999985,0.28
63,2020-11-16T09:00:00,16707.07,15951.93,16882.0,15862.0,342459.329,1020.0,0.26
64,2020-11-15T09:00:00,15952.27,16064.51,16161.23,15768.0,210318.453,393.22999999999956,0.71
65,2020-11-14T09:00:00,16064.51,16320.54,16326.82,15700.0,266206.937,626.8199999999997,0.59
66,2020-11-13T09:00:00,16320.54,16289.01,16479.99,15955.6,306656.359,524.3900000000012,0.94
67,2020-11-12T09:00:00,16289.02,15690.24,16345.0,15437.7,471759.126,907.2999999999993,0.34
68,2020-11-11T09:00:00,15690.24,15294.68,16000.0,15274.89,330772.852,725.1100000000006,0.45
69,2020-11-10T09:00:00,15294.68,15328.72,15474.17,15071.0,244073.495,403.1700000000001,0.92
