,시간,종가,시가,고가,저가,거래량,변동폭(고가-저가),꼬리 노이즈(꼬리길이/봉길이)
0,2021-01-18T09:00:00,1262.99,1233.61,1265.96,1183.2,2562805.077,82.75999999999999,0.64
1,2021-01-17T09:00:00,1233.71,1230.32,1272.28,1165.0,3396518.439,107.27999999999997,0.97
2,2021-01-16T09:00:00,1230.19,1168.65,1296.79,1152.13,3980782.071,144.65999999999985,0.57
3,2021-01-15T09:00:00,1168.79,1234.5,1260.0,1070.0,5020898.727,190.0,0.65
4,2021-01-14T09:00:00,1234.86,1130.4,1249.32,1087.68,4079502.435,161.63999999999987,0.35
5,2021-01-13T09:00:00,1130.4,1050.67,1138.63,987.21,4029644.646,151.42000000000007,0.47
6,2021-01-12T09:00:00,1050.82,1086.84,1153.13,1007.0,5531356.605,146.1300000000001,0.75
7,2021-01-11T09:00:00,1086.94,1257.95,1264.5,915.2,11237262.772,349.29999999999995,0.51
8,2021-01-10T09:00:00,1257.96,1279.96,1354.66,1168.49,5913298.389,186.17000000000007,0.88
9,2021-01-09T09:00:00,1279.96,1218.55,1314.0,1173.0,4157466.015,141.0,0.56
10,2021-01-08T09:00:00,1218.39,1227.5,1279.06,1064.6,6994773.234,214.46000000000004,0.96
11,2021-01-07T09:00:00,1227.12,1212.98,1297.15,1150.0,5807791.01,147.1500000000001,0.9
12,2021-01-06T09:00:00,1212.64,1101.29,1218.0,1057.3,6952861.553,160.70000000000005,0.31
13,2021-01-05T09:00:00,1101.29,1043.12,1138.92,974.23,7526097.093,164.69000000000005,0.65
14,2021-01-04T09:00:00,1043.11,980.23,1173.94,890.0,12057661.067,283.94000000000005,0.78
15,2021-01-03T09:00:00,980.24,775.04,1022.51,769.19,9610267.802,253.31999999999994,0.19
16,2021-01-02T09:00:00,775.02,729.7,788.71,715.6,4176508.581,73.11000000000001,0.38
17,2021-01-01T09:00:00,729.77,737.18,750.4,714.55,1952291.25,35.85000000000002,0.79
18,2020-12-31T09:00:00,737.19,753.05,757.0,721.75,2876756.193,35.25,0.55
19,2020-12-30T09:00:00,753.04,733.45,760.76,717.52,3348883.502,43.24000000000001,0.55
20,2020-12-29T09:00:00,733.45,731.06,742.0,690.1,4261041.716,51.89999999999998,0.95
21,2020-12-28T09:00:00,731.07,685.97,749.5,681.91,5455254.006,67.59000000000003,0.33
22,2020-12-27T09:00:00,685.97,637.89,718.75,625.0,6363000.477,93.75,0.49
23,2020-12-26T09:00:00,637.9,627.17,654.32,615.1,3122352.524,39.22000000000003,0.73
24,2020-12-25T09:00:00,627.18,612.31,634.96,604.5,2623370.085,30.460000000000036,0.51
25,2020-12-24T09:00:00,612.31,585.49,615.42,565.2,3154682.001,50.219999999999914,0.47
26,2020-12-23T09:00:00,585.34,637.2,639.54,546.81,4594542.183,92.73000000000002,0.44
27,2020-12-22T09:00:00,637.2,608.24,638.7,588.41,3285945.398,50.29000000000008,0.42
28,2020-12-21T09:00:00,608.18,638.25,648.88,595.54,3621682.355,53.34000000000003,0.44
29,2020-12-20T09:00:00,638.27,658.82,662.99,620.93,2759178.686,42.06000000000006,0.51
30,2020-12-19T09:00:00,658.81,654.44,671.95,646.0,2635211.184,25.950000000000045,0.83
31,2020-12-18T09:00:00,654.51,643.09,665.85,630.1,2995266.462,35.75,0.68
32,2020-12-17T09:00:00,643.12,637.79,678.2,625.0,6624640.551,53.200000000000045,0.9
33,2020-12-16T09:00:00,637.8,588.8,640.47,581.04,3634225.42,59.430000000000064,0.18
34,2020-12-15T09:00:00,588.8,586.32,598.0,579.0,1866136.289,19.0,0.87
35,2020-12-14T09:00:00,586.33,590.92,591.63,575.57,1808415.505,16.059999999999945,0.71
36,2020-12-13T09:00:00,590.91,568.3,595.47,563.11,2311572.28,32.360000000000014,0.3
37,2020-12-12T09:00:00,568.34,544.8,574.0,543.34,1764546.873,30.659999999999968,0.23
38,2020-12-11T09:00:00,544.74,559.69,561.37,533.11,2929601.56,28.25999999999999,0.47
39,2020-12-10T09:00:00,559.71,573.28,575.67,548.52,2293137.506,27.149999999999977,0.5
40,2020-12-09T09:00:00,573.27,555.08,578.62,531.0,3460599.61,47.620000000000005,0.62
41,2020-12-08T09:00:00,555.17,591.84,595.75,548.0,3233758.126,47.75,0.23
42,2020-12-07T09:00:00,591.84,601.86,603.63,584.67,1665460.089,18.960000000000036,0.47
43,2020-12-06T09:00:00,601.86,596.98,607.93,583.2,2030749.593,24.729999999999905,0.8
44,2020-12-05T09:00:00,596.97,567.69,598.2,561.06,2107815.29,37.1400000000001,0.21
45,2020-12-04T09:00:00,567.68,616.21,620.99,564.91,3251195.251,56.08000000000004,0.13
46,2020-12-03T09:00:00,616.2,596.96,624.7,585.95,2791753.902,38.75,0.5
