,시간,종가,시가,고가,저가,거래량,변동폭(고가-저가),꼬리 노이즈(꼬리길이/봉길이)
0,2021-01-18T09:00:00,152.09,142.92,155.22,138.58,3147254.898,16.639999999999986,0.45
1,2021-01-17T09:00:00,142.91,143.65,147.24,136.36,2347455.834,10.879999999999995,0.93
2,2021-01-16T09:00:00,143.65,143.56,152.95,139.42,3039715.156,13.530000000000001,0.99
3,2021-01-15T09:00:00,143.54,152.61,156.0,130.33,3931814.915,25.669999999999987,0.65
4,2021-01-14T09:00:00,152.64,147.55,157.12,143.66,3461480.927,13.460000000000008,0.62
5,2021-01-13T09:00:00,147.63,133.55,148.59,126.0,3735324.722,22.590000000000003,0.38
6,2021-01-12T09:00:00,133.48,139.07,147.0,128.15,5077347.884,18.849999999999994,0.7
7,2021-01-11T09:00:00,139.06,170.31,171.06,112.55,11343644.875,58.510000000000005,0.47
8,2021-01-10T09:00:00,170.36,177.51,186.61,162.1,5920578.79,24.51000000000002,0.71
9,2021-01-09T09:00:00,177.56,172.5,179.54,163.58,4404269.027,15.95999999999998,0.68
10,2021-01-08T09:00:00,172.47,169.7,182.5,149.61,7460104.24,32.889999999999986,0.92
11,2021-01-07T09:00:00,169.65,169.2,182.13,161.83,6034438.23,20.299999999999983,0.98
12,2021-01-06T09:00:00,169.18,158.64,170.49,155.18,4017916.796,15.310000000000002,0.31
13,2021-01-05T09:00:00,158.6,155.58,163.42,146.54,4042152.23,16.879999999999995,0.82
14,2021-01-04T09:00:00,155.58,161.87,174.65,139.5,8310498.048,35.150000000000006,0.82
15,2021-01-03T09:00:00,161.97,137.09,165.99,135.55,9070260.102,30.439999999999998,0.18
16,2021-01-02T09:00:00,137.08,126.32,142.39,123.23,5716443.97,19.159999999999982,0.44
17,2021-01-01T09:00:00,126.31,124.37,134.23,123.07,3818243.55,11.159999999999997,0.83
18,2020-12-31T09:00:00,124.36,130.21,130.56,121.89,3004910.831,8.670000000000002,0.33
19,2020-12-30T09:00:00,130.21,129.04,133.29,122.73,3857615.453,10.559999999999988,0.89
20,2020-12-29T09:00:00,129.05,130.04,131.09,120.1,4358835.964,10.990000000000009,0.91
21,2020-12-28T09:00:00,130.04,127.97,137.58,126.44,5068093.822,11.140000000000015,0.81
22,2020-12-27T09:00:00,127.99,129.8,139.63,121.83,8863865.403,17.799999999999997,0.9
23,2020-12-26T09:00:00,129.79,127.87,135.39,125.11,7237393.522,10.279999999999987,0.81
24,2020-12-25T09:00:00,127.96,111.24,128.8,108.37,6734096.834,20.430000000000007,0.18
25,2020-12-24T09:00:00,111.25,102.44,112.44,98.66,5403149.019,13.780000000000001,0.36
