,시간,종가,시가,고가,저가,거래량
0,2021-01-05T04:00:00,39.848,39.868,39.884,39.728,9425.9
1,2021-01-05T03:59:00,39.862,39.854,39.885,39.824,975.68
2,2021-01-05T03:58:00,39.856,39.837,39.877,39.824,940.3
3,2021-01-05T03:57:00,39.837,39.912,39.919,39.806,1971.75
4,2021-01-05T03:56:00,39.912,39.841,39.939,39.841,1174.02
5,2021-01-05T03:55:00,39.849,39.812,39.865,39.812,2224.09
6,2021-01-05T03:54:00,39.829,39.799,39.842,39.799,3121.86
7,2021-01-05T03:53:00,39.797,39.786,39.821,39.776,1164.73
8,2021-01-05T03:52:00,39.785,39.636,39.8,39.632,9241.55
9,2021-01-05T03:51:00,39.637,39.605,39.648,39.58,913.41
10,2021-01-05T03:50:00,39.606,39.582,39.634,39.581,1143.57
11,2021-01-05T03:49:00,39.591,39.644,39.653,39.585,3855.3
12,2021-01-05T03:48:00,39.649,39.739,39.745,39.629,3227.24
13,2021-01-05T03:47:00,39.728,39.78,39.793,39.709,2232.13
14,2021-01-05T03:46:00,39.788,39.809,39.809,39.771,1009.47
15,2021-01-05T03:45:00,39.809,39.788,39.818,39.773,1525.48
16,2021-01-05T03:44:00,39.775,39.787,39.802,39.765,2958.04
17,2021-01-05T03:43:00,39.787,39.718,39.787,39.716,2910.12
18,2021-01-05T03:42:00,39.725,39.73,39.742,39.711,1607.2
19,2021-01-05T03:41:00,39.726,39.721,39.769,39.717,650.49
20,2021-01-05T03:40:00,39.728,39.768,39.781,39.717,1681.03
21,2021-01-05T03:39:00,39.768,39.789,39.791,39.746,2233.73
22,2021-01-05T03:38:00,39.787,39.785,39.792,39.742,1559.73
23,2021-01-05T03:37:00,39.789,40.1,40.102,39.771,28537.7
24,2021-01-05T03:36:00,40.1,40.029,40.108,40.029,6498.43
25,2021-01-05T03:35:00,40.037,39.955,40.037,39.952,3106.2
26,2021-01-05T03:34:00,39.953,39.95,39.995,39.889,6334.55
27,2021-01-05T03:33:00,39.95,39.956,39.958,39.934,1327.71
28,2021-01-05T03:32:00,39.956,39.905,39.957,39.897,1115.67
29,2021-01-05T03:31:00,39.903,39.865,39.915,39.864,2363.34
30,2021-01-05T03:30:00,39.87,39.868,39.88,39.817,1853.83
31,2021-01-05T03:29:00,39.865,39.837,39.884,39.783,2635.53
32,2021-01-05T03:28:00,39.84,39.821,39.85,39.801,1720.26
33,2021-01-05T03:27:00,39.807,39.77,39.838,39.767,1612.3
34,2021-01-05T03:26:00,39.77,39.713,39.787,39.689,1973.91
35,2021-01-05T03:25:00,39.714,39.693,39.714,39.669,641.21
36,2021-01-05T03:24:00,39.692,39.689,39.697,39.59,2229.19
37,2021-01-05T03:23:00,39.691,39.622,39.721,39.611,2010.96
38,2021-01-05T03:22:00,39.626,39.707,39.75,39.53,20513.04
39,2021-01-05T03:21:00,39.71,39.684,39.724,39.635,1553.91
40,2021-01-05T03:20:00,39.681,39.78,39.799,39.679,2558.0
41,2021-01-05T03:19:00,39.782,39.792,39.813,39.777,960.07
42,2021-01-05T03:18:00,39.802,39.798,39.826,39.733,5069.25
43,2021-01-05T03:17:00,39.8,39.886,39.893,39.8,2329.86
44,2021-01-05T03:16:00,39.883,39.842,39.9,39.828,1585.72
45,2021-01-05T03:15:00,39.841,39.872,39.886,39.808,1786.53
46,2021-01-05T03:14:00,39.868,39.896,39.9,39.855,889.52
47,2021-01-05T03:13:00,39.884,39.808,39.9,39.808,1237.11
48,2021-01-05T03:12:00,39.803,39.806,39.854,39.801,722.18
49,2021-01-05T03:11:00,39.801,39.795,39.819,39.744,738.95
50,2021-01-05T03:10:00,39.785,39.746,39.81,39.735,1486.08
51,2021-01-05T03:09:00,39.745,39.801,39.828,39.724,2455.8
52,2021-01-05T03:08:00,39.808,39.769,39.813,39.731,1816.67
53,2021-01-05T03:07:00,39.769,39.721,39.769,39.716,782.1
54,2021-01-05T03:06:00,39.724,39.697,39.74,39.679,2453.11
55,2021-01-05T03:05:00,39.704,39.729,39.742,39.668,1355.82
56,2021-01-05T03:04:00,39.743,39.715,39.75,39.673,822.44
57,2021-01-05T03:03:00,39.71,39.653,39.73,39.653,1396.77
58,2021-01-05T03:02:00,39.652,39.592,39.694,39.592,2353.0
59,2021-01-05T03:01:00,39.584,39.636,39.68,39.574,1763.25
60,2021-01-05T03:00:00,39.646,39.564,39.65,39.543,2728.47
61,2021-01-05T02:59:00,39.562,39.572,39.583,39.497,1012.6
62,2021-01-05T02:58:00,39.57,39.554,39.57,39.504,1570.77
63,2021-01-05T02:57:00,39.549,39.581,39.592,39.514,1437.54
64,2021-01-05T02:56:00,39.574,39.482,39.592,39.474,2550.45
65,2021-01-05T02:55:00,39.485,39.502,39.513,39.47,1176.88
66,2021-01-05T02:54:00,39.512,39.462,39.512,39.352,3567.56
67,2021-01-05T02:53:00,39.464,39.408,39.478,39.385,3059.57
68,2021-01-05T02:52:00,39.413,39.293,39.434,39.287,3256.3
69,2021-01-05T02:51:00,39.288,39.284,39.342,39.253,2239.73
70,2021-01-05T02:50:00,39.292,39.173,39.304,39.12,1737.01
71,2021-01-05T02:49:00,39.17,39.157,39.236,39.154,1237.96
72,2021-01-05T02:48:00,39.16,39.0,39.16,39.0,2084.02
73,2021-01-05T02:47:00,38.994,38.931,39.0,38.926,1945.96
74,2021-01-05T02:46:00,38.91,39.093,39.093,38.893,10117.29
75,2021-01-05T02:45:00,39.095,39.211,39.213,39.036,2600.71
76,2021-01-05T02:44:00,39.207,39.201,39.236,39.166,1917.96
77,2021-01-05T02:43:00,39.196,39.062,39.208,39.035,14381.95
78,2021-01-05T02:42:00,39.061,39.16,39.16,39.026,3672.86
79,2021-01-05T02:41:00,39.16,39.286,39.294,39.155,1432.6
80,2021-01-05T02:40:00,39.284,39.238,39.297,39.238,2184.7
81,2021-01-05T02:39:00,39.238,39.113,39.238,39.108,1089.1
82,2021-01-05T02:38:00,39.112,39.099,39.142,39.085,1502.22
83,2021-01-05T02:37:00,39.095,39.192,39.192,39.095,1824.26
84,2021-01-05T02:36:00,39.184,39.196,39.244,39.152,968.76
85,2021-01-05T02:35:00,39.197,39.162,39.22,39.162,768.21
86,2021-01-05T02:34:00,39.162,39.192,39.216,39.151,2153.61
87,2021-01-05T02:33:00,39.183,39.236,39.25,39.165,943.14
88,2021-01-05T02:32:00,39.236,39.165,39.274,39.132,1881.86
89,2021-01-05T02:31:00,39.162,39.141,39.219,39.124,2599.44
90,2021-01-05T02:30:00,39.141,39.235,39.303,39.141,1235.02
91,2021-01-05T02:29:00,39.237,39.343,39.369,39.203,2043.35
92,2021-01-05T02:28:00,39.344,39.455,39.457,39.328,722.2
93,2021-01-05T02:27:00,39.451,39.43,39.48,39.384,1049.1
94,2021-01-05T02:26:00,39.433,39.335,39.491,39.334,3621.82
95,2021-01-05T02:25:00,39.33,39.31,39.33,39.237,1534.59
96,2021-01-05T02:24:00,39.315,39.4,39.413,39.305,933.53
97,2021-01-05T02:23:00,39.4,39.364,39.402,39.332,1274.41
98,2021-01-05T02:22:00,39.359,39.243,39.367,39.207,11739.37
99,2021-01-05T02:21:00,39.242,39.294,39.32,39.242,1801.49
100,2021-01-05T02:20:00,39.293,39.194,39.32,39.172,1875.0
101,2021-01-05T02:19:00,39.188,39.207,39.217,39.13,1280.56
102,2021-01-05T02:18:00,39.199,39.144,39.226,39.144,1675.13
103,2021-01-05T02:17:00,39.144,39.167,39.199,39.085,2416.18
104,2021-01-05T02:16:00,39.167,39.166,39.24,39.119,4076.12
105,2021-01-05T02:15:00,39.167,39.233,39.281,39.155,6453.35
